""	"Abiotrophia"	"Acetanaerobacterium"	"Acetatifactor"	"Acetitomaculum"	"Acetivibrio"	"Achromobacter"	"Acidaminococcus"	"Acinetobacter"	"Actinomyces"	"Aerococcus"	"Aeromonas"	"Aestuariispira"	"Akkermansia"	"Alistipes"	"Allisonella"	"Allobaculum"	"Alloprevotella"	"Alloscardovia"	"Anaerobiospirillum"	"Anaerococcus"	"Anaerofilum"	"Anaerofustis"	"Anaeroglobus"	"Anaerophaga"	"Anaerosporobacter"	"Anaerostipes"	"Anaerotruncus"	"Anaerovorax"	"Anoxybacillus"	"Aquabacterium"	"Arcanobacterium"	"Asticcacaulis"	"Atopobium"	"Azospira"	"Bacillus"	"Bacteroides"	"Barnesiella"	"Bifidobacterium"	"Bilophila"	"Blautia"	"Brachyspira"	"Brevibacterium"	"Bulleidia"	"Butyricicoccus"	"Butyricimonas"	"Butyrivibrio"	"Campylobacter"	"Cardiobacterium"	"Carnobacterium"	"Catabacter"	"Catenibacterium"	"Cellulosilyticum"	"Centipeda"	"Cerasicoccus"	"Cetobacterium"	"Christensenella"	"Citrobacter"	"Cloacibacillus"	"Cloacibacterium"	"Clostridium_III"	"Clostridium_IV"	"Clostridium_XI"	"Clostridium_XVIII"	"Clostridium_XlVa"	"Clostridium_XlVb"	"Clostridium_sensu_stricto"	"Collinsella"	"Comamonas"	"Coprobacillus"	"Coprobacter"	"Coprococcus"	"Coriobacterium"	"Corynebacterium"	"Cronobacter"	"Cryptobacterium"	"Desulfovibrio"	"Dialister"	"Dolosigranulum"	"Dorea"	"Dysgonomonas"	"Eggerthella"	"Eggerthia"	"Eisenbergiella"	"Elusimicrobium"	"Enhydrobacter"	"Enterobacter"	"Enterococcus"	"Enterorhabdus"	"EscherichiaShigella"	"Eubacterium"	"Ezakiella"	"Facklamia"	"Faecalibacterium"	"Faecalicoccus"	"Faecalitalea"	"Finegoldia"	"Flavonifractor"	"Fretibacterium"	"Fructobacillus"	"Fusicatenibacter"	"Fusobacterium"	"Gardnerella"	"Gemella"	"Gemmiger"	"Gordonibacter"	"Granulicatella"	"Haemophilus"	"Hafnia"	"Helicobacter"	"Herbaspirillum"	"Hespellia"	"Holdemanella"	"Holdemania"	"Howardella"	"Hungatella"	"Hydrogenoanaerobacterium"	"Intestinibacter"	"Intestinimonas"	"Jeotgalicoccus"	"Jonquetella"	"Kingella"	"Lachnoanaerobaculum"	"Lactobacillus"	"Lactococcus"	"Lactonifactor"	"Leptotrichia"	"Leuconostoc"	"Lysinibacillus"	"Mannheimia"	"Massilia"	"Megamonas"	"Megasphaera"	"Methanobrevibacter"	"Methanomassiliicoccus"	"Methanosphaera"	"Mitsuokella"	"Mobiluncus"	"Mogibacterium"	"Morganella"	"Moryella"	"Mucispirillum"	"Murimonas"	"Negativicoccus"	"Neisseria"	"Novosphingobium"	"Odoribacter"	"Oligosphaera"	"Olsenella"	"Oribacterium"	"Oscillibacter"	"Oxalobacter"	"Parabacteroides"	"Paraeggerthella"	"Paraprevotella"	"Parasutterella"	"Parvimonas"	"Pediococcus"	"Pelomonas"	"Peptococcus"	"Peptoniphilus"	"Peptostreptococcus"	"Phascolarctobacterium"	"Phenylobacterium"	"Phocaeicola"	"Porphyrobacter"	"Porphyromonas"	"Prevotella"	"Propionispira"	"Proteus"	"Providencia"	"Pseudobutyrivibrio"	"Pseudoflavonifractor"	"Pseudomonas"	"Pseudoramibacter"	"Pseudoscardovia"	"Pyramidobacter"	"Rhizobium"	"Rhodococcus"	"Rikenella"	"Robinsoniella"	"Romboutsia"	"Roseburia"	"Rothia"	"Ruminococcus"	"Ruminococcus2"	"Saccharibacteria_genera_incertae_sedis"	"Salmonella"	"Scardovia"	"Selenomonas"	"Senegalimassilia"	"Serratia"	"Shuttleworthia"	"Slackia"	"Snodgrassella"	"Solobacterium"	"Sphaerochaeta"	"Sphingomonas"	"Sporobacter"	"Staphylococcus"	"Stomatobaculum"	"Streptobacillus"	"Streptococcus"	"Streptophyta"	"Subdoligranulum"	"Succinatimonas"	"Succiniclasticum"	"Succinivibrio"	"Sutterella"	"Syntrophomonas"	"Tepidiphilus"	"Terrisporobacter"	"Treponema"	"Tumebacillus"	"Turicibacter"	"Ureaplasma"	"Vagococcus"	"Varibaculum"	"Veillonella"	"Victivallis"	"Weissella"	"Yersinia"	"unclassified_Acanthopleuribacteraceae"	"unclassified_Acetobacteraceae"	"unclassified_Acidaminococcaceae"	"unclassified_Actinomycetaceae"	"unclassified_Aerococcaceae"	"unclassified_Alcaligenaceae"	"unclassified_Alteromonadales"	"unclassified_Anaerolineaceae"	"unclassified_Anaeroplasmataceae"	"unclassified_Anaplasmataceae"	"unclassified_Anoxybacter"	"unclassified_Aquificaceae"	"unclassified_Bacillaceae"	"unclassified_Bacillales"	"unclassified_Bacteriovoracaceae"	"unclassified_Bacteroidaceae"	"unclassified_Bacteroidales"	"unclassified_Bdellovibrionaceae"	"unclassified_Beijerinckiaceae"	"unclassified_Beutenbergiaceae"	"unclassified_Bifidobacteriaceae"	"unclassified_Blastocatella"	"unclassified_Bogoriellaceae"	"unclassified_Bradymonadaceae"	"unclassified_Bradyrhizobiaceae"	"unclassified_Brevibacteriaceae"	"unclassified_Bryobacter"	"unclassified_Bryocella"	"unclassified_Burkholderiaceae"	"unclassified_Burkholderiales"	"unclassified_Caldisericaceae"	"unclassified_Candidatus"	"unclassified_Carnobacteriaceae"	"unclassified_Catabacteriaceae"	"unclassified_Cellulomonadaceae"	"unclassified_Chitinivibrionaceae"	"unclassified_Chitinophagaceae"	"unclassified_Chloroplast"	"unclassified_Christensenellaceae"	"unclassified_Chromatiaceae"	"unclassified_Chrysiogenaceae"	"unclassified_Clostridiaceae"	"unclassified_Clostridiales"	"unclassified_Comamonadaceae"	"unclassified_Coriobacteriaceae"	"unclassified_Corynebacteriaceae"	"unclassified_Cryomorphaceae"	"unclassified_Cryptosporangiaceae"	"unclassified_Cyclobacteriaceae"	"unclassified_Cytophagaceae"	"unclassified_Defluviitaleaceae"	"unclassified_Dehalococcoidaceae"	"unclassified_Deinococcaceae"	"unclassified_Dermatophilaceae"	"unclassified_Desulfobacteraceae"	"unclassified_Desulfobulbaceae"	"unclassified_Desulfohalobiaceae"	"unclassified_Desulfomicrobiaceae"	"unclassified_Desulfovibrionaceae"	"unclassified_Dietziaceae"	"unclassified_Echinimonas"	"unclassified_Ectothiorhodospiraceae"	"unclassified_Eilatimonas"	"unclassified_Elioraea"	"unclassified_Elusimicrobiaceae"	"unclassified_Enterobacteriaceae"	"unclassified_Enterococcaceae"	"unclassified_Erysipelotrichaceae"	"unclassified_Eubacteriaceae"	"unclassified_Ferroplasmaceae"	"unclassified_Ferrovaceae"	"unclassified_Flammeovirgaceae"	"unclassified_Flavobacteriaceae"	"unclassified_Fodinibius"	"unclassified_Fusobacteriaceae"	"unclassified_Geminicoccus"	"unclassified_Geobacteraceae"	"unclassified_Gracilibacteraceae"	"unclassified_Halanaerobiaceae"	"unclassified_Halobacteriaceae"	"unclassified_Halobacteroidaceae"	"unclassified_Haloferacaceae"	"unclassified_Halomonadaceae"	"unclassified_Haloplasmataceae"	"unclassified_Halothiobacillaceae"	"unclassified_Helicobacteraceae"	"unclassified_Heliobacteriaceae"	"unclassified_Hyphomonadaceae"	"unclassified_Ignavibacteriaceae"	"unclassified_Intrasporangiaceae"	"unclassified_Kiloniellaceae"	"unclassified_Kofleriaceae"	"unclassified_Lachnospiraceae"	"unclassified_Lactobacillaceae"	"unclassified_Leptospiraceae"	"unclassified_Leptotrichiaceae"	"unclassified_Leuconostocaceae"	"unclassified_Limisphaera"	"unclassified_Listeriaceae"	"unclassified_Luteivirga"	"unclassified_Marinicella"	"unclassified_Marinilabiliaceae"	"unclassified_Marinimicrobia"	"unclassified_Mariprofundaceae"	"unclassified_Methanobacteriaceae"	"unclassified_Methanomassiliicoccaceae"	"unclassified_Methanoregulaceae"	"unclassified_Methanosarcinaceae"	"unclassified_Methylococcaceae"	"unclassified_Methylocystaceae"	"unclassified_Microbacteriaceae"	"unclassified_Micrococcaceae"	"unclassified_Micromonosporaceae"	"unclassified_Mooreiaceae"	"unclassified_Moraxellaceae"	"unclassified_Mycoplasmataceae"	"unclassified_Nannocystaceae"	"unclassified_Natranaerobiaceae"	"unclassified_Natranaerovirga"	"unclassified_Nautiliaceae"	"unclassified_Neisseriaceae"	"unclassified_Nitrospiraceae"	"unclassified_Oceanospirillaceae"	"unclassified_Oleiphilaceae"	"unclassified_Oligoflexaceae"	"unclassified_Oligosphaeraceae"	"unclassified_Opitutaceae"	"unclassified_Orbaceae"	"unclassified_Oxalobacteraceae"	"unclassified_Pacearchaeota"	"unclassified_Paenibacillaceae"	"unclassified_Paludibaculum"	"unclassified_Parachlamydiaceae"	"unclassified_Pasteurellaceae"	"unclassified_Peptococcaceae"	"unclassified_Peptoniphilaceae"	"unclassified_Peptostreptococcaceae"	"unclassified_Petrotogaceae"	"unclassified_Planctomycetaceae"	"unclassified_Planococcaceae"	"unclassified_Porphyromonadaceae"	"unclassified_Prevotellaceae"	"unclassified_Prolixibacteraceae"	"unclassified_Proteinivoraceae"	"unclassified_Pseudobacteriovoracaceae"	"unclassified_Pseudomonadaceae"	"unclassified_Puniceicoccaceae"	"unclassified_Rhizobiaceae"	"unclassified_Rhodobacteraceae"	"unclassified_Rhodobiaceae"	"unclassified_Rhodocyclaceae"	"unclassified_Rhodospirillaceae"	"unclassified_Rhodothermaceae"	"unclassified_Rickettsiaceae"	"unclassified_Rikenellaceae"	"unclassified_Ruminococcaceae"	"unclassified_Saprospiraceae"	"unclassified_Simkaniaceae"	"unclassified_Sinobacteraceae"	"unclassified_Sneathiellaceae"	"unclassified_Sphingobacteriaceae"	"unclassified_Spirochaetaceae"	"unclassified_Sporolactobacillaceae"	"unclassified_Staphylococcaceae"	"unclassified_Streptococcaceae"	"unclassified_Subdivision5"	"unclassified_Succinivibrionaceae"	"unclassified_Sulfolobaceae"	"unclassified_Sutterellaceae"	"unclassified_Synergistaceae"	"unclassified_Syntrophaceae"	"unclassified_Syntrophobacteraceae"	"unclassified_Syntrophomonadaceae"	"unclassified_Syntrophorhabdaceae"	"unclassified_Terrimicrobium"	"unclassified_Thermoactinomycetaceae"	"unclassified_Thermoanaerobacteraceae"	"unclassified_Thermodesulfobacteriaceae"	"unclassified_Thermofilaceae"	"unclassified_Thermoplasmatales"	"unclassified_Thermotogaceae"	"unclassified_Thiotrichaceae"	"unclassified_Vallitalea"	"unclassified_Veillonellaceae"	"unclassified_Verrucomicrobiaceae"	"unclassified_Victivallaceae"	"unclassified_Vulgatibacteraceae"	"unclassified_Waddliaceae"	"unclassified_Woesearchaeota"	"unclassified_Xanthomonadaceae"
"DC01"	0	0	0	0	0	0	761	0	6	0	0	0	11	337	0	0	452	0	0	0	0	6	0	0	1	331	0	0	0	0	0	0	0	0	0	3391	88	16	63	1150	0	0	0	50	16	2	0	0	0	0	1	0	0	0	1	1	0	7	0	0	25	0	1	276	59	0	14	0	0	119	11	0	0	0	0	73	620	0	490	0	0	0	1	0	0	0	0	0	1	0	0	0	373	1	0	0	9	0	0	212	9	0	3	6	1	0	0	0	0	0	0	3	1	0	0	0	0	21	0	0	0	0	2	1	0	0	0	0	0	0	0	1	112	0	3	0	0	1	0	0	0	0	0	0	0	17	0	0	0	53	0	341	0	3	54	0	0	0	0	0	0	5	0	0	0	0	25	0	0	0	0	9	0	0	0	0	0	0	0	0	10	2325	0	27	8	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	8	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	8	0	21	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	7	14	0	42	0	0	0	0	0	12	0	0	1	0	0	0	0	5	0	0	0	0	0	0	6	0	55	3	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	37	23	0	0	0	0	14	0	0	0	0	267	0	0	21	624	0	0	0	0	5	0	0	0	0	0	0	0	114	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	1	0
"DC02"	1	0	0	0	0	0	279	0	0	0	0	0	3	113	0	0	672	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0	0	0	6580	2	41	0	1105	0	0	0	53	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	0	20	88	15	2	14	0	0	76	239	0	0	0	0	0	281	0	308	0	27	0	0	0	0	0	0	0	1	0	0	0	961	0	0	0	97	0	0	259	600	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	15	0	0	0	0	0	6	0	0	0	4	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	276	0	4	1118	0	0	0	0	0	0	277	0	0	0	0	1584	0	0	0	0	0	0	0	0	0	0	0	0	0	14	985	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	7	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1898	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	71	41	0	0	0	0	1	0	0	0	0	6	0	0	2	157	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"DC03"	0	0	0	0	0	0	5839	0	0	0	0	0	5716	131	0	0	2	0	0	0	0	0	128	0	0	40	2	0	0	0	0	0	0	0	0	2195	4	596	189	298	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	74	392	3	0	0	0	0	0	8	0	1	0	0	1	5	0	39	0	6	0	0	0	0	0	54	0	160	0	0	0	24	0	0	0	1	0	0	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	7	14	0	0	6	0	0	0	2	431	7	1	1	0	0	0	3	0	0	0	0	0	0	10	0	1	0	3	0	470	0	609	234	1	0	1	0	0	0	1575	0	0	0	0	4659	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	2	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	8	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2273	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	11	18	1	0	0	0	0	0	0	0	0	8	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2234	1	0	0	0	2	0
"DC04"	0	0	0	0	0	0	8	0	2	0	0	0	9	544	0	0	187	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	7985	721	13	5	430	0	0	0	83	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	0	0	159	1	9	3	0	0	77	121	0	1	0	0	241	194	0	124	0	1	0	1	0	0	0	2	0	0	0	0	0	3038	0	0	0	41	0	0	9	15	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	8	0	0	0	0	7	0	1	0	1	0	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	34	0	154	0	69	7	0	1	0	0	0	0	4	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	2	935	0	6	6	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	83	0	1	0	0	0	6	0	0	1	1	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	4	8	0	81	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	161	55	2	0	1	0	1	0	0	0	0	10	0	0	1	650	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
"DC05"	0	0	0	0	0	0	2784	0	1	0	0	0	19	45	0	0	3	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	13798	10	12	4	627	0	0	0	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	579	3	4	0	0	0	4	5	0	0	0	0	3	4	0	44	0	3	0	0	0	0	0	3	0	106	0	0	0	37	3	0	0	37	0	0	162	11	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	490	0	5	17	0	0	0	0	0	0	20	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	14	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	4	0	556	0	0	23	1	0	1	0	0	0	760	3	0	0	0	1	6	0	0	0	4	0	0	0	0	0	0	0	0	5	3	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	9	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	244	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	653	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	13	4	1	0	0	0	1	0	0	0	0	217	0	0	2	71	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	1	1	0
"DC06"	0	0	0	0	0	0	5	0	12	0	0	0	20	31	0	0	2	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	5152	9	55	4	430	0	0	0	219	1	4	18	0	0	0	0	0	0	4	0	0	0	0	0	0	17	8	60	437	16	202	3	0	0	2	11	0	1	0	0	5	5	0	57	0	0	0	0	2	0	0	0	0	146	0	0	0	43	0	0	0	0	1	0	10	1325	0	5	2	0	2	337	0	0	0	0	8	0	0	2	0	10	0	0	0	0	2	641	1	0	0	0	0	0	0	3	22	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	5	10	0	0	0	0	0	3	1	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	32	1	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1680	2	0	0	1	0	326	0	0	1	2	0	2	0	0	0	963	2	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	3	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	1	0	0	32	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	374	2	16	2	1	0	0	0	0	6	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4037	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1980	0	0	53	0	0	0	6	4	1	0	0	0	1	0	0	0	0	19	0	0	1	97	0	0	0	0	0	1	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0
"DC07"	0	0	0	0	0	0	1	0	23	0	0	0	36	1622	0	0	278	0	0	0	0	0	0	0	0	109	4	0	0	3	0	0	3	0	0	4650	515	173	149	4153	0	0	0	11	29	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	20	0	1	1594	8	5	38	0	0	10	358	0	0	0	0	11	6	0	281	0	8	0	14	3	0	0	0	0	4	1	0	0	338	0	2	1	2	0	0	340	5	0	3	191	2	1	1	0	0	0	0	3	8	0	3	0	21	4	0	0	0	0	2	0	0	0	0	0	0	0	2	4	18	0	2	0	0	0	0	2	0	0	0	0	0	22	0	0	1	11	0	593	0	11	68	2	0	0	1	2	0	40	0	0	0	1	79	0	0	0	0	0	1	0	0	0	0	0	0	0	2	550	0	823	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	3	0	19	0	0	0	1	0	65	0	0	0	5	10	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	3	0	11	1	21	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	2	0	0	12	11	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	4	0	197	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1995	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	17	17	0	0	0	0	2	0	0	0	0	308	0	0	3	2096	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0
"DC08"	0	0	0	0	0	0	0	0	2	0	0	0	9	255	0	0	1	0	0	0	0	1	0	0	0	566	1	0	0	0	0	0	0	0	0	7150	6	232	98	2541	0	0	0	65	14	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	27	0	5	135	77	0	19	0	0	0	416	0	0	0	0	0	430	0	1156	0	0	0	13	0	0	0	0	0	30	15	0	0	1875	0	0	0	6	0	0	7	1	0	6	3	0	0	1	0	0	0	0	0	1	0	3	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	3	1	1	0	1	0	0	1	0	0	0	0	0	0	0	35	0	0	0	47	0	126	0	558	53	0	5	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	16	0	0	0	0	0	12	0	3	214	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	32	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	6	0	1	34	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	53	0	230	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	0	0	394	5	0	0	0	0	3	0	0	0	0	3	0	0	1	1087	0	0	0	0	0	1	0	0	0	0	0	0	67	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
"DC09"	0	0	0	0	0	0	10	0	4	0	0	0	22	24	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6839	8	11	5	307	0	0	0	8	7	1	0	0	0	0	3	0	0	1	0	0	14	0	0	0	6	0	0	2	0	0	2	0	0	0	10	0	0	0	0	2	4	0	116	0	0	0	0	0	0	0	238	0	960	0	0	0	67	0	0	0	0	0	0	8	10	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	8	0	0	2	0	0	0	0	0	1	9	0	0	0	0	0	492	0	0	0	0	0	0	10	0	0	0	3	0	22	0	5	4	0	0	0	0	0	0	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	0	0	0	2	35	0	14	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1386	1	0	0	1	0	12	0	0	51	0	0	3	0	0	0	4	3	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0	9	9	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2988	30	17	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	7	0	0	0	0	0	0	0	0	0	16	0	0	2	72	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9	0	0	0	0	0	0
"DC10"	0	0	0	0	0	0	4	0	3	0	0	0	11	33	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2833	8	10	67	729	0	0	0	2	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	140	1	0	1	0	0	0	8	0	0	0	0	4	6	0	160	0	1	0	0	0	0	0	18	0	545	0	0	0	22	1	0	0	3	0	0	6	8081	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	345	2	0	1	0	0	1	0	0	0	0	0	0	0	5	0	1	0	1	0	33	0	7	119	1	0	0	0	0	0	61	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	4	6	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1069	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
