""	"Abiotrophia"	"Acetanaerobacterium"	"Acetatifactor"	"Acetitomaculum"	"Acetivibrio"	"Acidaminococcus"	"Actinobacillus"	"Actinomyces"	"Aerococcus"	"Akkermansia"	"Alistipes"	"Allisonella"	"Alloprevotella"	"Alloscardovia"	"Anaerococcus"	"Anaerofustis"	"Anaeroplasma"	"Anaerosporobacter"	"Anaerostipes"	"Anaerotruncus"	"Atopobium"	"Bacteroides"	"Barnesiella"	"Bifidobacterium"	"Bilophila"	"Blautia"	"Brachyspira"	"Butyricicoccus"	"Butyricimonas"	"Butyrivibrio"	"Campylobacter"	"Catabacter"	"Catenibacterium"	"Cerasicoccus"	"Christensenella"	"Cloacibacillus"	"Clostridium_III"	"Clostridium_IV"	"Clostridium_XI"	"Clostridium_XVIII"	"Clostridium_XlVa"	"Clostridium_XlVb"	"Clostridium_sensu_stricto"	"Collinsella"	"Comamonas"	"Coprobacillus"	"Coprobacter"	"Coprococcus"	"Corynebacterium"	"Desulfovibrio"	"Dialister"	"Dorea"	"Eggerthella"	"Eisenbergiella"	"Elusimicrobium"	"Enterococcus"	"Enterorhabdus"	"EscherichiaShigella"	"Eubacterium"	"Ezakiella"	"Faecalibacterium"	"Faecalicoccus"	"Faecalitalea"	"Finegoldia"	"Flavonifractor"	"Fusicatenibacter"	"Fusobacterium"	"Gardnerella"	"Gemella"	"Gemmiger"	"Gordonibacter"	"Granulicatella"	"Haemophilus"	"Halomonas"	"Helicobacter"	"Herbaspirillum"	"Hespellia"	"Holdemanella"	"Holdemania"	"Howardella"	"Hungatella"	"Hydrogenoanaerobacterium"	"Intestinibacter"	"Intestinimonas"	"Lachnoanaerobaculum"	"Lactobacillus"	"Lactococcus"	"Lactonifactor"	"Lautropia"	"Leuconostoc"	"Megasphaera"	"Methanobrevibacter"	"Methanosphaera"	"Mitsuokella"	"Mobiluncus"	"Mogibacterium"	"Murdochiella"	"Murimonas"	"Mycoplasma"	"Odoribacter"	"Olsenella"	"Oribacterium"	"Oscillibacter"	"Parabacteroides"	"Paraprevotella"	"Parasutterella"	"Parvibacter"	"Parvimonas"	"Pediococcus"	"Peptococcus"	"Peptoniphilus"	"Peptostreptococcus"	"Phascolarctobacterium"	"Photobacterium"	"Porphyromonas"	"Prevotella"	"Pseudobutyrivibrio"	"Pseudoflavonifractor"	"Romboutsia"	"Roseburia"	"Rothia"	"Ruminococcus"	"Ruminococcus2"	"Runella"	"Scardovia"	"Senegalimassilia"	"Slackia"	"Solobacterium"	"Sporobacter"	"Staphylococcus"	"Stomatobaculum"	"Streptobacillus"	"Streptococcus"	"Streptophyta"	"Subdoligranulum"	"Succiniclasticum"	"Succinivibrio"	"Sutterella"	"Terrisporobacter"	"Turicibacter"	"Varibaculum"	"Veillonella"	"Victivallis"	"Weissella"	"unclassified_Acanthopleuribacteraceae"	"unclassified_Acetobacteraceae"	"unclassified_Acidaminococcaceae"	"unclassified_Actinomycetaceae"	"unclassified_Aerococcaceae"	"unclassified_Alcaligenaceae"	"unclassified_Alteromonadales"	"unclassified_Anaeroplasmataceae"	"unclassified_Bacillaceae"	"unclassified_Bacillales"	"unclassified_Bacteroidaceae"	"unclassified_Bacteroidales"	"unclassified_Bdellovibrionaceae"	"unclassified_Bifidobacteriaceae"	"unclassified_Bryobacter"	"unclassified_Candidatus"	"unclassified_Cardiobacteriaceae"	"unclassified_Carnobacteriaceae"	"unclassified_Catabacteriaceae"	"unclassified_Chitinophagaceae"	"unclassified_Chloroplast"	"unclassified_Christensenellaceae"	"unclassified_Chryseolinea"	"unclassified_Clostridiaceae"	"unclassified_Clostridiales"	"unclassified_Comamonadaceae"	"unclassified_Coriobacteriaceae"	"unclassified_Cryomorphaceae"	"unclassified_Cryptosporangiaceae"	"unclassified_Cyclobacteriaceae"	"unclassified_Cystobacteraceae"	"unclassified_Cytophagaceae"	"unclassified_Defluviitaleaceae"	"unclassified_Dehalococcoidaceae"	"unclassified_Dehalogenimonas"	"unclassified_Deinococcaceae"	"unclassified_Desulfobacteraceae"	"unclassified_Desulfohalobiaceae"	"unclassified_Desulfomicrobiaceae"	"unclassified_Desulfovibrionaceae"	"unclassified_Dietziaceae"	"unclassified_Ectothiorhodospiraceae"	"unclassified_Enterobacteriaceae"	"unclassified_Enterococcaceae"	"unclassified_Erysipelotrichaceae"	"unclassified_Eubacteriaceae"	"unclassified_Flammeovirgaceae"	"unclassified_Flavobacteriaceae"	"unclassified_Fodinibius"	"unclassified_Geminicoccus"	"unclassified_Gracilibacteraceae"	"unclassified_Halomonadaceae"	"unclassified_Haloplasmataceae"	"unclassified_Heliobacteriaceae"	"unclassified_Holophagaceae"	"unclassified_Hyphomonadaceae"	"unclassified_Ignavibacteriaceae"	"unclassified_Kofleriaceae"	"unclassified_Lachnospiraceae"	"unclassified_Lactobacillaceae"	"unclassified_Marinilabiliaceae"	"unclassified_Mariprofundaceae"	"unclassified_Methanobacteriaceae"	"unclassified_Microbacteriaceae"	"unclassified_Micrococcaceae"	"unclassified_Natranaerobiaceae"	"unclassified_Natranaerovirga"	"unclassified_Neisseriaceae"	"unclassified_Oceanospirillaceae"	"unclassified_Oleiphilaceae"	"unclassified_Oligosphaeraceae"	"unclassified_Oxalobacteraceae"	"unclassified_Paenibacillaceae"	"unclassified_Pasteurellaceae"	"unclassified_Peptococcaceae"	"unclassified_Peptoniphilaceae"	"unclassified_Peptostreptococcaceae"	"unclassified_Planococcaceae"	"unclassified_Porphyromonadaceae"	"unclassified_Prevotellaceae"	"unclassified_Prolixibacteraceae"	"unclassified_Proteinivoraceae"	"unclassified_Puniceicoccaceae"	"unclassified_Rhodobacteraceae"	"unclassified_Rhodocyclaceae"	"unclassified_Rhodospirillaceae"	"unclassified_Rickettsiaceae"	"unclassified_Rikenellaceae"	"unclassified_Ruminococcaceae"	"unclassified_Sphingobacteriaceae"	"unclassified_Spirochaetaceae"	"unclassified_Sporolactobacillaceae"	"unclassified_Streptococcaceae"	"unclassified_Succinivibrionaceae"	"unclassified_Sutterellaceae"	"unclassified_Synergistaceae"	"unclassified_Syntrophobacteraceae"	"unclassified_Thermoactinomycetaceae"	"unclassified_Thermoanaerobacteraceae"	"unclassified_Vallitalea"	"unclassified_Veillonellaceae"	"unclassified_Verrucomicrobiaceae"	"unclassified_Victivallaceae"	"unclassified_Vulgatibacteraceae"	"unclassified_Xanthomonadaceae"	"X.1"
"SC01"	0	0	0	0	0	0	0	0	0	0	244.666666666665	0	0.25	0	0	0.181811320754717	0	0	369	0	0	1457.0000000001	86.4000000000007	270.833400699567	11.1510304568528	709.756079778454	0	3.49650332225914	0	0	0	0	0	0	0	0	0	16	0	3	8.85714285714286	4.87804924760602	0.212089048925469	29.255322273074	0	0	0	53.1165667469878	0	0	51.9999944049926	359.891488180109	0.666668539325842	0	0	0	0	0.143061512590167	0	0	1762.23781852606	0	0	0	6.64335219399539	85.0948137726765	0.2	0	0	225.524369592085	11	0	0	0	0	0	0	0	0.333333333333333	0	1.08401346801347	0	0.137930720145852	7.34263157894737	0	0	0	0.542000000000001	0	0	42.9999788072942	0	0	0	0	0	0	0	0	9.25	4	0	12.6666687489726	308.999829029869	0	1.13207575757576	0	0	0	0	0	0.137931111111111	2.22222418879056	0	0	0.75	0	0	0.137930986567855	3046.40000000042	0	249.999959807071	81	0	0	0	0	0	0	0	0	0	5.23012553415642	0.452488647204731	0.699296969696971	0	0	121.886829416225	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	4.00000012822157	0	0	1.00794434912341	0	0	0	0	0	0	0	0.190477223427332	0	0.553061606969713	3.39201157224312	0	65.814523169735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715	0	59.8014085525963	0.368465357642823	0	0	0	0	0	0	0	0	0	0	0	0	620.754819722233	0	0.828729174334216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132089023832432	0	6.6047416932148	0	0	0	2.5	0	0	0	0	42.0794797910534	269.508934028376	0	0	0	0	0	0	0	0	0.128537400329594	0	0	4.89614574817843	0	0	0	0	NA
"SC02"	0	0	0	0	0	0	0	0.749063682787622	0	0	16	0	0	0	0	0	0	0	44	0.349650887573964	0	2211.00000000022	26.1999999999999	197.023858530896	2.87768527918782	54.4715433506957	0	0.699300664451828	10.0490369230769	0	0	0	0	0	0	0	0	13	0	69.3333333333334	9.57142857142857	0	0	0	0	0	0	178.59090554217	0	0	5.81818119216698	33.3333230769231	3.66667696629213	0	0	2.72536726919629	0	0	0	0	4968.53162723177	0	0	0.25	20.9790069284065	0	0.2	0	0.514138628699888	141.957975278121	0	0	2.87162106034693	0	0	0	0	0	1.66666666666667	0	0.542006734006734	0	2.62068368277119	0	0.271002732240437	2.45283023807393	0	0	0	0	0.714285362247412	0	0	0	0	0	0	0	0	0	0	0.271003333333333	3.33333388130857	112.285652157876	0	9.81132323232323	0	0	0	0	0	0.551724444444444	0	0	0	0	0	4.19579797979798	0.551723946271422	453.599999999991	0	41.6666599678457	86	0	0	0	0	0	0	0.190839692295798	0	0	943.723851383255	0	0.349648484848485	0	0	26.4151023502654	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	3.00000009616617	0.276242996697727	0	1.00794434912341	0	0	0	2.18281217189804	0	0.222256977959543	0	0	0	0	0	0	34.9103122900334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0.428142603053334	26.4238781976589	0.184232678821412	0.5	0	0	0	0.190478291293356	0	0	0	0	0	0	0	315.344583772923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.56895283237	0	0	0	0	2.20158056440494	0	0	0	0	0	0	0	0	0	177.472549754739	0.265220825392322	0	0	0.985298882353094	0	0	0	0	0	0	0	4.30860825839702	0	0	0	0	NA
"SC03"	0	0	0	0	0	0	0	1.12359552418143	0	37.3333467770976	604.666666666667	0	0	0	0	0	0	0.271003676470588	292	1.04895266272189	0	279.33333333333	4	144.64289312087	8.99276649746193	810.298082679488	0	37.4125855481728	4.65687076923076	0	0	0	0	0	0	0	0	102	0	13.6666666666667	2.71428571428571	2.43902462380301	16.5429458161866	205.851085812357	0	0	2.205871875	292.141117108433	0.223214278494173	0	0.181818162255218	158.265533958724	0	0	0	0	1.06383216783217	3.29041478957384	0.166666666666667	0	2434.96511274102	0	0	0	1.74825057736721	762.872295446149	0	0.5	0.128534657174972	57.6922805933251	1	0	0.337837771805522	0	0	0	0	0	2	0	0.542006734006734	0	7.86205104831358	0.699298245614035	0	15.0943399266088	0	0	0	0	0.142857072449482	0	0	0	0	0	0	0	0	2.25	0	0	3.33333388130857	36.7142654002214	51	4.15094444444444	0	0	0	0	0	0.137931111111111	60.2222755162242	0	0	0	0	1.39859932659933	2.62068874478925	2230.00000000023	0	283.66662106109	779	0	0.373128571428571	0	1	0	0.349651162790697	0	0	0	12.5523012819754	0	0	0	0	43.3962395754361	3.44827462257369	9.33333333333333	0	4	0	0	0	0	0.222221863163801	0	0	0	0	0	0.118892156357565	4.25871305562981	0.833333360046159	0	24.5508984302862	0.335981449707802	0	0.66666716856718	0	0	0.952375886524822	0	0	1.52381778741866	0	11.1994975411367	19.5040665403979	0	70.9652249830185	0	0.5	0	0	0	2.28568421052632	0	0	0	0	0	0	0	0	0	20.1630000000001	0.214071301526667	104.304782359179	14.0016835904273	0	0	0	0	12.1906106427748	0	0	0.25	0	0	0	0	1697.63812380386	0.19477193072949	0.552486116222811	0	0	0	0	1	0.571428571428571	0	0	0	0	0	0	0.678978290081504	0.886784443682098	0	0.528356095329726	0	322.898482779381	1	0	0.380971428571429	1	0	0	11.1527295204479	0	1.66103209701527	1738.05761536655	10.6088330156929	0	0	0	0	1.13207240686928	0	0	1.54244880395512	5.95527748835372	0.380954545427264	3.13353327883419	0	0	0	0	NA
"SC04"	0	0	0	0	0	4.22221613832853	0	1.49812736557524	0	1.33333381346777	429.333333333337	0.909107142857143	0	0	0	0.181811320754717	0	0.271003676470588	128	0.349650887573964	0	401.833333333344	43.8000000000001	381.547713952575	10.4316091370558	329.810289839779	0	25.1748239202658	7.5980523076923	0	0	0	0	0	0	0	0	31	0	2	0.857142857142857	16.5311668946648	3.0752912094193	31.9148970251717	0	0	1.47058125	274.796932048194	0	0	0.363636324510437	33.6043257035647	0	0.271002371541502	0	0.209643636092023	0	1.2875536133115	0	0	1326.22381858513	0.666657142857143	0	0	1.04895034642032	185.365772676787	0	0	0	78.6712917181706	0	0	0	0	0	0	0	0	0	0	0	0	0.413792160437557	9.09087719298246	0	0	6.15384540474741	0	0	0	0	14.5922742061937	8.25	0	0	0	0	0	0	8	35	0	16.0000026302811	47.7142593139064	0	10.5660404040404	0	0	0	0	0	0	24.4444660766962	0	0	0.25	0	0.699299663299664	3.17241269106067	1065.19999999997	0	198.333301446943	140	0	0	2.65956896551724	0.5	0	0	0	0	0	1.4644351495638	0.904977294409462	0.349648484848485	0	0	10.94339954511	0	0.333333333333333	0	0	0	0	0	0	0.222221863163801	0	0	0	1.63550491877502	0	0	1.37781892976259	1.16666670406462	0	0	8.39953624269505	0	0	0	0	0.190475177304964	0	0	0.571431670281996	0	5.11581986446985	22.2600759428455	0.337333292617029	42.9225151106968	0	0	0	0	0	1.33331578947369	0	0	0	0	0	0	0.670758704235415	0	0	2.288	0	26.7715608055229	2.57925750349976	0	0	0	0	8.00008823432095	0	0	0	0	0	0	0	689.159900450665	0	0.552486116222811	0	0	0	0	0.25	0	0	0	0	0	3.92722662138687	0.108003029869473	0.169744572520376	0	0	0.132089023832432	0	105.920487154149	0	0	0	1	0	0	0.518731605602228	0	8.85883785074809	954.464973164488	0	0	0	0	0	7.92450684808495	0.366415409891054	0	0	0	0	31.3353327883419	0	0	0.363639344262296	0	NA
"SC05"	0	0	0	0.271	0	0	0	0.749063682787622	0	47.0000169247389	2099.33333333341	0	0	0	0	0	0	0.271003676470588	754	0.699301775147929	0	783.666666666628	11.2	896.428794403463	19.7840862944163	271.815711347	0	37.7622358803987	5.88236307692307	0	0	0.190475177304964	0	0.5	0	0	0	127	0	0.333333333333333	1.42857142857143	10.8401094391245	1.59066786694102	43.0851109839817	0	0	8.08819687499999	166.124772530122	0	0	200.727251129756	105.14901913696	0	0.271002371541502	0	0	0	0.143061512590167	0.166666666666667	0	2503.14693310062	0.333328571428571	0	0.25	0.349650115473442	354.200387263982	0	0	0	4.54545241038319	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0.275861440291705	24.8250877192983	0	0.18867924908261	0.170940150131872	0	0.269541877459247	0	0	31.7596556252451	7	0	0	0	0	0	0	5.75	0	0.271003333333333	40.0000065757027	40.9999773146441	227.25	0	0	0	0	0	0	0	1.11111209439528	0	0	0.25	0	1.74824915824916	2.4827577582214	372.799999999996	0	560.333243247581	82	0	0	5.31913793103448	0	0	0	0	0	0	0.418410042732513	1.35746594161419	0	0	0	109.056636846096	0.965516894320632	0.666666666666667	0	1	0	0	0	0	0	0	0	0	0	3.22581341107872	0	0.501025065368213	4.33333347224003	0	0	3.69579594678582	0	0.66666716856718	0	0	0	0	0	0	0	1.935715624394	36.888125848144	0	40.633314304793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429	0	21.5563216875639	29.6614612902474	0	0	0	0	0.761913165173423	0	0	0	0	0	0	0	777.43367682636	0	0.276243058111405	0	0	0	0	0.5	0.19047619047619	0	0	0	0	18.1634231239143	0	1.86719029772414	0.665088332761574	0	0.264178047664863	0	891.150888458537	2.75	0.5	0	1.5	0	0	0	0	3.32206419403053	2110.96997714454	0	0	0.11757342548828	0	0	7.1697919101721	0.366415409891054	0	0.257074800659187	0	0.190477272713632	0.391691659854274	0	0	0	0	NA
"SC06"	0	0	0	0	0	0	0	2.62172288975668	0	0	196.666666666666	0	0	0	0	0.363622641509434	0	0	1285	0.349650887573964	0	732.833333333306	11.6	1366.07176836376	10.0718984771574	320.325195226474	0	53.1468504983388	0	0	0	0	0	0	0	0	0	19	0	6	1.14285714285714	25.7452599179206	0.636267146776406	93.6170312738371	0	0	4.90193749999999	95.3930178313254	0.446428556988346	0	225.090884871955	107.046037523452	2.00000561797753	0	0	0	0	0	0.666666666666667	0	2561.53854335731	0	0	0	2.44755080831409	105.962013328396	0	0	0.128534657174972	424.824975278109	1	0	0	0	0	0	0	0	0	0	0	0	0.551722880583409	0	0	1.69811324174349	0.170940150131872	0	0	0	0	0	0	0	0	0	0	0	0	8.5	3	0	9.33333486766399	42.7142620804132	108.25	0	0	0	0	0	0	0	0	0	0	0	0	0.699299663299664	2.34482677165354	6295.19999999866	0	101.999983601286	1034	0	0	0	4.5	0.333333333333333	0.349651162790697	0.381679384591596	0	0	21.9665272434569	0	1.74824242424243	0	0	9.05660652009099	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	1.66666672009232	0.276242996697727	0	6.04766609474044	0	0	0	0	0	0	0	0	0	0	1.90800650938676	0	24.6089086634662	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	227.732108150875	0	0	0	0	0	0	0	0	0	0	0	0	0	1280.39551521135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169744572520376	0	0	0	0	0.733860188134978	0.25	0	0	0	0	0	4.40921864761894	0	0	669.188849798377	0	0	0	0	0	0	0	0	0.128537400329594	0	0	0.391691659854274	0	0	0	0	NA
"SC07"	0	0	0	0	0	6.88887896253602	0	0	0	0	1668.00000000005	0	0	0	0	0	0	0.271003676470588	913	3.84615976331361	0	1311.83333333337	188.399999999998	92.2619277108437	20.8632182741117	437.940368431456	0	5.59440531561462	12.2549230769231	0	0	0	0	0	0	0	0	23	0	15.6666666666667	4.14285714285714	6.23306292749658	0.530222622313672	251.063856598016	0	0	2.696065625	99.7290640963857	0	182.63299167151	42.9090862922316	157.181523452158	0	0	0	0	0	0.143061512590167	0	0	2928.67142221672	0.333328571428571	13.667	0	10.1398533487298	71.5446841910403	0	0	0	34.6153683559951	0	0	0	0	0	0	0	0	0.666666666666667	4.878	0	0	4.68964448495898	0.699298245614035	0	0.18867924908261	0	0.271	0	0.5	0	17.5965659545277	0	0	0	0	0	0	0	23.5	7	0	35.6666725300016	168.714192364442	173.25	1.50943434343434	0	0	0	0	0.190476065818998	0	1.33333451327434	0	0	174	0	0	1.79310282538212	2636.40000000033	0	448.666594533756	788	0	0	78.1913275862068	0	0	0.349651162790697	0	0	0	10.2510460469466	0.452488647204731	0	0	0	154.717028051555	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75358772878875	3.33333344018464	0	1.19760480147738	0.335981449707802	0	0	0	0	0	0	0	0.380954446854664	0	3.31836964181828	13.3560455657073	0	61.2361215579273	0	0	0	0	0.334463635247297	0.190473684210526	0	0	0	0	0	0	1.34151740847083	0	0	0	0	1562.83332234854	1.47386143057129	0	0	0	0	0.190478291293356	0	0	0	0	0	0	0.5	655.950794868812	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.221696110920525	0	0.264178047664863	0	46.2331918525038	7.75	0	0	4	0	0	46.4264787013993	0	1.66103209701527	1851.72805012679	0	0	0	0	0	0.377357468956426	0	0	0	0	0	1.37092080948996	0	0	0.363639344262296	0	NA
"SC08"	0	0	0	0	0	0	0	0.749063682787622	0	0	5748.00000000038	0.727285714285714	25.5	0	0	0	0	0	207	0	0	230.166666666662	33.7999999999999	350.297706179548	44.2444111675127	382.65581697105	0	66.0839127906977	12.0098246153846	171.9998791286	0	0	0	0	0	0	0	78	0	1.33333333333333	2.14285714285714	2.71002735978112	2.96924668495656	44.6808558352403	0.333333157338965	0	17.646975	130.352390843374	0	1.68067170249855	0.181818162255218	300.812915572233	0	0	0	0	0	0.286123025180334	0	0	2204.54552496164	0.666657142857143	0	0	1.04895034642032	84.0108034061456	0	0	0	112.237709517923	0	0.13642568981922	0	0	0	0	0	42.3333645756458	0	0	0.271003367003367	0.349631578947369	0.275861440291705	8.39157894736842	0.271002732240437	0.18867924908261	0.341880300263745	0	0	0.25	0	30.4721020188162	0	7.45456235827665	0	0	0	0	0	14.25	7	0	17.0000027946737	151.571344706751	36	9.05660606060606	0	0	0	0	0	0	11.3333433628319	0	0	31.25	0	0	3.44827466419639	588.799999999984	0	129.666645819935	357	0	0	6.91487931034483	20.5	0.333333333333333	0	0	0	0	1.04602510683128	0	0.349648484848485	0	573.21999252334	26.0377437452616	0	0	0	0	0	0	0.641029411764706	0	0.222221863163801	0	0	0	2.80372271790004	0	0	4.38396932197186	1.00000003205539	0	823.952103416439	3.35981449707802	0.5	0	0.333333333333333	0	15.0475390070922	0	0	16.3810412147505	0.34602078519175	10.0933743271973	49.1841677975255	0.337333292617029	38.9164137003651	0	0	0	0	0.334463635247297	0.571421052631579	0	0	0	0.748310006664763	0	0	1.34151740847083	0	0	1.716	0	61.539821591916	10.1327973351776	0	0	0	0	15.0477850121751	0.2	0	0.125	0	0	0	0.5	1353.90968910622	0	0	0	0	0.585326395219704	0	1	0	0	0.339916690082564	0	0	9.32716322579381	0.108003029869473	0	1.55187277644367	0	0.396267071497295	0	18.3465047033745	0.75	40.5	0.190485714285714	1	0	0	2.07492642240891	0	11.0735473134351	1389.34605582788	1.32610412696161	0	0	0	0.482508479185179	0.377357468956426	1.09924622967316	0	0.514149601318374	0.330848749352984	0.190477272713632	8.61721651679403	0	0	0	0	NA
"SC09"	0	0	0	0	0	0	0	1.12359552418143	0	0	57.3333333333333	0	137	0	0	0	0	1.08401470588235	122	0	0	166.166666666666	41.2	87.5000217644776	56.8342842639593	892.140899057148	0	43.3566411960133	2.45098461538461	0	0	0	91.3334150268331	0	0	0	0	44	0	0.333333333333333	12.8571428571428	11.3821149110807	3.0752912094193	217.021299771167	0	1	0	47.9675118072288	0	0	289.090877985794	443.902302439015	0	0	0	0	0	0.572246050360668	0.166666666666667	0	2833.21687371327	0	0	0	2.79720092378753	289.972773047023	0	0	0.385603971524916	21.6783114956737	4	0	0	0	0	0	0	0	4.66666666666667	0	1.08401346801347	0	4.41378304466727	1.74824561403509	0	0	0	0	0	0	0	0	13	0	0	0.190476082004556	0	0	0	0	0	0	27.6666712148611	44.7142609738105	158.5	8.67924747474747	0	0	0	0	0	0	0	0	0	321.25	0	1.74824915824916	7.86206623436777	1473.20000000006	0	111.333315434083	146	0	0	0	0	0	0	0	0	0	5.64853557688893	0	0	0	0	0	1.37930984902948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125256266342053	1.50000004808309	0	0	0	0	0	0	0	0	0	0	134.28644251627	0	0.414796205227285	8.05602748407741	0	513.925580925417	0	0	0	0	0	0.190473684210526	0	0	0	0	0	0	0	0	0	1.859	0	28.8576564527065	2.02655946703553	0	0	0	0	0.190478291293356	0	0	0	0	0	0	0	1515.98147788603	0	0.276243058111405	0	0	0	0	0	0	0.173665672840555	0	0	0	0	0	0	0.221696110920525	0	1.71715730982161	0	1.71234043898162	5.25	0	0	2	0	0.309683067807384	0	0	0	1052.36821858704	0	0	0	0	0	9.81129419286708	0	0	0	0	1.90477272713632	0.195845829927137	0	0	0.363639344262296	0.388352831325614	NA
"SC10"	0	0	0	0	0	0	0	0.749063682787622	0	0	44	0.545464285714286	0	0	0	0	0	0.542007352941177	332	0	0	241.833333333328	0	73.511923047027	9.71218781725888	131.165308366848	0	0.699300664451828	0	13.9999901616304	0	0	0	0	0	0	0	4	0	0	6.42857142857143	2.71002735978112	1.06044524462734	19.6808531655225	0	0	1.47058125	203.523171566267	0	0	0	75.338730206379	0	0	0	0.209643636092023	0	0.143061512590167	0	0	714.685337513297	0.666657142857143	0	0	0.349650115473442	118.699135135134	0	0	0	59.7901817058097	0	0	0.168918885902761	0	0	0	0	130.666763099632	0.333333333333333	3.523	0.542006734006734	0	1.37930720145852	2.44754385964912	0	0.75471699633044	0.170940150131872	0.271	0	0	0	0	0	1.27273015873016	0	0	0	0	0	1	4	0	14.3333356896268	45.9999745481373	0	29.8113282828283	0	0	0.21413309352518	0	0	0	39.7778129793511	0	0	5750.5	0	0.699299663299664	5.24137748957851	1807.20000000014	0	218.999964790995	446	0	0	2.12765517241379	8	0	0.349651162790697	0	0	0	0	0	0.349648484848485	0	0	0	0.413792954708842	0	0	0	0	0	0	0	0	0	0	0	0.233643559825003	0	0	0.75153759805232	0.500000016027696	0	0	0.335981449707802	0	0	0	0	0	0	0	0.952386117136659	0	0.553061606969713	9.54003254693378	0	20.0305070516585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	9.38743041232619	0.368465357642823	0	0	0	0	0	0	0	0	0	0	0	0	1632.92294369563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169744572520376	2.88204944196682	0	0.132089023832432	0	0.244620062711659	3	0	0.190485714285714	0	0	0	0	0	7.19780575373282	448.814877892165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
