ID	Abiotrophia	Acetanaerobacterium	Acetatifactor	Acetitomaculum	Acetivibrio	Acidaminococcus	Actinobacillus	Actinomyces	Aerococcus	Akkermansia	Alistipes	Allisonella	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerostipes	Anaerotruncus	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Catabacter	Catenibacterium	Cerasicoccus	Christensenella	Cloacibacillus	Clostridium_III	Clostridium_IV	Clostridium_XI	Clostridium_XVIII	Clostridium_XlVa	Clostridium_XlVb	Clostridium_sensu_stricto	Collinsella	Comamonas	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Desulfovibrio	Dialister	Dorea	Eggerthella	Eisenbergiella	Elusimicrobium	Enterococcus	Enterorhabdus	EscherichiaShigella	Eubacterium	Ezakiella	Faecalibacterium	Faecalicoccus	Faecalitalea	Finegoldia	Flavonifractor	Fusicatenibacter	Fusobacterium	Gardnerella	Gemella	Gemmiger	Gordonibacter	Granulicatella	Haemophilus	Halomonas	Helicobacter	Herbaspirillum	Hespellia	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lactonifactor	Lautropia	Leuconostoc	Megasphaera	Methanobrevibacter	Methanosphaera	Mitsuokella	Mobiluncus	Mogibacterium	Murdochiella	Murimonas	Mycoplasma	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvibacter	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Photobacterium	Porphyromonas	Prevotella	Pseudobutyrivibrio	Pseudoflavonifractor	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Runella	Scardovia	Senegalimassilia	Slackia	Solobacterium	Sporobacter	Staphylococcus	Stomatobaculum	Streptobacillus	Streptococcus	Streptophyta	Subdoligranulum	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Varibaculum	Veillonella	Victivallis	Weissella	unclassified_Acanthopleuribacteraceae	unclassified_Acetobacteraceae	unclassified_Acidaminococcaceae	unclassified_Actinomycetaceae	unclassified_Aerococcaceae	unclassified_Alcaligenaceae	unclassified_Alteromonadales	unclassified_Anaeroplasmataceae	unclassified_Bacillaceae	unclassified_Bacillales	unclassified_Bacteroidaceae	unclassified_Bacteroidales	unclassified_Bdellovibrionaceae	unclassified_Bifidobacteriaceae	unclassified_Bryobacter	unclassified_Candidatus	unclassified_Cardiobacteriaceae	unclassified_Carnobacteriaceae	unclassified_Catabacteriaceae	unclassified_Chitinophagaceae	unclassified_Chloroplast	unclassified_Christensenellaceae	unclassified_Chryseolinea	unclassified_Clostridiaceae	unclassified_Clostridiales	unclassified_Comamonadaceae	unclassified_Coriobacteriaceae	unclassified_Cryomorphaceae	unclassified_Cryptosporangiaceae	unclassified_Cyclobacteriaceae	unclassified_Cystobacteraceae	unclassified_Cytophagaceae	unclassified_Defluviitaleaceae	unclassified_Dehalococcoidaceae	unclassified_Dehalogenimonas	unclassified_Deinococcaceae	unclassified_Desulfobacteraceae	unclassified_Desulfohalobiaceae	unclassified_Desulfomicrobiaceae	unclassified_Desulfovibrionaceae	unclassified_Dietziaceae	unclassified_Ectothiorhodospiraceae	unclassified_Enterobacteriaceae	unclassified_Enterococcaceae	unclassified_Erysipelotrichaceae	unclassified_Eubacteriaceae	unclassified_Flammeovirgaceae	unclassified_Flavobacteriaceae	unclassified_Fodinibius	unclassified_Geminicoccus	unclassified_Gracilibacteraceae	unclassified_Halomonadaceae	unclassified_Haloplasmataceae	unclassified_Heliobacteriaceae	unclassified_Holophagaceae	unclassified_Hyphomonadaceae	unclassified_Ignavibacteriaceae	unclassified_Kofleriaceae	unclassified_Lachnospiraceae	unclassified_Lactobacillaceae	unclassified_Marinilabiliaceae	unclassified_Mariprofundaceae	unclassified_Methanobacteriaceae	unclassified_Microbacteriaceae	unclassified_Micrococcaceae	unclassified_Natranaerobiaceae	unclassified_Natranaerovirga	unclassified_Neisseriaceae	unclassified_Oceanospirillaceae	unclassified_Oleiphilaceae	unclassified_Oligosphaeraceae	unclassified_Oxalobacteraceae	unclassified_Paenibacillaceae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae	unclassified_Peptoniphilaceae	unclassified_Peptostreptococcaceae	unclassified_Planococcaceae	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Prolixibacteraceae	unclassified_Proteinivoraceae	unclassified_Puniceicoccaceae	unclassified_Rhodobacteraceae	unclassified_Rhodocyclaceae	unclassified_Rhodospirillaceae	unclassified_Rickettsiaceae	unclassified_Rikenellaceae	unclassified_Ruminococcaceae	unclassified_Sphingobacteriaceae	unclassified_Spirochaetaceae	unclassified_Sporolactobacillaceae	unclassified_Streptococcaceae	unclassified_Succinivibrionaceae	unclassified_Sutterellaceae	unclassified_Synergistaceae	unclassified_Syntrophobacteraceae	unclassified_Thermoactinomycetaceae	unclassified_Thermoanaerobacteraceae	unclassified_Vallitalea	unclassified_Veillonellaceae	unclassified_Verrucomicrobiaceae	unclassified_Victivallaceae	unclassified_Vulgatibacteraceae	unclassified_Xanthomonadaceae
SC01	0	0	0	0	0	0	0	0	0	0	367	0	1	0	0	1	0	0	369	0	0	8742	432	910	31	2619	0	11	0	0	0	0	0	0	0	0	0	16	0	9	62	18	2	55	0	0	0	196	0	0	286	1328	2	0	0	0	0	1	0	0	5040	0	0	0	19	314	1	0	0	644	11	0	0	0	0	0	0	0	1	0	4	0	1	21	0	0	0	2	0	0	301	0	0	0	0	0	0	0	0	37	4	0	38	2163	0	3	0	0	0	0	0	1	10	0	0	3	0	0	1	7616	0	750	81	0	0	0	0	0	0	0	0	0	25	1	2	0	0	323	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	0	0	0	0	1	0	4	16	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	172	2	0	0	0	0	0	0	0	0	0	0	0	0	2187	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0	0	5	0	0	0	0	76	735	0	0	0	0	0	0	0	0	1	0	0	25	0	0	0	0
SC02	0	0	0	0	0	0	0	2	0	0	24	0	0	0	0	0	0	0	44	1	0	13266	131	662	8	201	0	2	41	0	0	0	0	0	0	0	0	13	0	208	67	0	0	0	0	0	0	659	0	0	32	123	11	0	0	13	0	0	0	0	14210	0	0	1	60	0	1	0	4	372	0	0	17	0	0	0	0	0	5	0	2	0	19	0	1	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	10	786	0	26	0	0	0	0	0	4	0	0	0	0	0	12	4	1134	0	125	86	0	0	0	0	0	0	1	0	0	4511	0	1	0	0	70	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	3	0	0	0	16	0	1	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	76	1	1	0	0	0	1	0	0	0	0	0	0	0	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	9	0	0	0	0	0	0	0	0	0	518	1	0	0	5	0	0	0	0	0	0	0	22	0	0	0	0
SC03	0	0	0	0	0	0	0	3	0	112	907	0	0	0	0	0	0	1	292	3	0	1676	20	486	25	2990	0	107	19	0	0	0	0	0	0	0	0	102	0	41	19	9	156	387	0	0	9	1078	1	0	1	584	0	0	0	0	2	23	1	0	6964	0	0	0	5	2815	0	1	1	182	1	0	2	0	0	0	0	0	6	0	2	0	57	1	0	80	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	10	257	204	11	0	0	0	0	0	1	271	0	0	0	0	4	19	5575	0	851	779	0	1	0	2	0	1	0	0	0	60	0	0	0	0	115	25	28	0	16	0	0	0	0	1	0	0	0	0	0	1	34	5	0	41	1	0	2	0	0	5	0	0	8	0	81	92	0	124	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	141	1	300	76	0	0	0	0	64	0	0	2	0	0	0	0	5981	1	2	0	0	0	0	4	3	0	0	0	0	0	0	4	4	0	4	0	1320	4	0	2	2	0	0	43	0	3	4724	40	0	0	0	0	3	0	0	12	18	2	16	0	0	0	0
SC04	0	0	0	0	0	19	0	4	0	4	644	5	0	0	0	1	0	1	128	1	0	2411	219	1282	29	1217	0	72	31	0	0	0	0	0	0	0	0	31	0	6	6	61	29	60	0	0	6	1014	0	0	2	124	0	1	0	1	0	9	0	0	3793	2	0	0	3	684	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	3	26	0	0	36	0	0	0	0	34	33	0	0	0	0	0	0	32	35	0	48	334	0	28	0	0	0	0	0	0	110	0	0	1	0	2	23	2663	0	595	140	0	0	5	1	0	0	0	0	0	7	2	1	0	0	29	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	11	7	0	0	25	0	0	0	0	1	0	0	3	0	37	105	1	75	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	16	0	77	14	0	0	0	0	42	0	0	0	0	0	0	0	2428	0	2	0	0	0	0	1	0	0	0	0	0	8	1	1	0	0	1	0	433	0	0	0	2	0	0	2	0	16	2566	0	0	0	0	0	21	1	0	0	0	0	160	0	0	1	0
SC05	0	0	0	1	0	0	0	2	0	141	3149	0	0	0	0	0	0	1	754	2	0	4702	56	3012	55	1003	0	108	24	0	0	1	0	1	0	0	0	127	0	1	10	40	15	81	0	0	33	613	0	0	1104	388	0	1	0	0	0	1	1	0	7161	1	0	1	1	1307	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	2	71	0	1	1	0	1	0	0	74	28	0	0	0	0	0	0	23	0	1	120	287	909	0	0	0	0	0	0	0	5	0	0	1	0	5	18	932	0	1681	82	0	0	10	0	0	0	0	0	0	2	3	1	0	0	289	7	2	0	4	0	0	0	0	0	0	0	0	0	6	0	4	26	0	0	11	0	2	0	0	0	0	0	0	0	14	174	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	62	161	0	0	0	0	4	0	0	0	0	0	0	0	2739	0	1	0	0	0	0	2	1	0	0	0	0	37	0	11	3	0	2	0	3643	11	1	0	3	0	0	0	0	6	5757	0	0	1	0	0	19	1	0	2	0	1	2	0	0	0	0
SC06	0	0	0	0	0	0	0	7	0	0	295	0	0	0	0	2	0	0	1285	1	0	4397	58	4590	28	1182	0	154	0	0	0	0	0	0	0	0	0	19	0	18	8	95	6	176	0	0	20	352	2	0	1238	395	6	0	0	0	0	0	4	0	7327	0	0	0	7	391	0	0	1	1192	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	34	3	0	28	299	433	0	0	0	0	0	0	0	0	0	0	0	0	2	17	15738	0	306	1034	0	0	0	9	1	1	2	0	0	105	0	6	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	18	0	0	0	0	0	0	0	0	0	0	9	0	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	4511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	17	0	0	1844	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
SC07	0	0	0	0	0	31	0	0	0	0	2502	0	0	0	0	0	0	1	913	11	0	7871	942	310	58	1616	0	16	50	0	0	0	0	0	0	0	0	23	0	47	29	23	5	472	0	0	11	368	0	652	236	580	0	0	0	0	0	1	0	0	8375	1	41	0	29	264	0	0	0	95	0	0	0	0	0	0	0	0	2	18	0	0	34	2	0	1	0	1	0	2	0	41	0	0	0	0	0	0	0	94	7	0	107	1181	693	4	0	0	0	0	1	0	6	0	0	696	0	0	13	6591	0	1346	788	0	0	147	0	0	1	0	0	0	49	1	0	0	0	410	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	2	1	0	0	0	0	0	0	0	2	0	24	63	0	107	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	4495	8	0	0	0	0	1	0	0	0	0	0	0	1	2311	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	189	31	0	0	8	0	0	179	0	3	5055	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0
SC08	0	0	0	0	0	0	0	2	0	0	8622	4	102	0	0	0	0	0	207	0	0	1381	169	1177	123	1412	0	189	49	1032	0	0	0	0	0	0	0	78	0	4	15	10	28	84	2	0	72	481	0	6	1	1110	0	0	0	0	0	2	0	0	6304	2	0	0	2	310	0	0	0	320	0	1	0	0	0	0	0	127	0	0	1	1	2	24	1	1	2	0	0	1	0	71	0	41	0	0	0	0	0	57	7	0	51	1061	144	24	0	0	0	0	0	0	51	0	0	125	0	0	25	1472	0	389	357	0	0	13	41	1	0	0	0	0	5	0	1	0	4752	69	0	0	0	0	0	0	1	0	1	0	0	0	12	0	0	35	6	0	1376	10	1	0	1	0	79	0	0	86	1	73	232	1	68	0	0	0	0	1	3	0	0	0	3	0	0	4	0	0	12	0	177	55	0	0	0	0	79	1	0	1	0	0	0	1	4770	0	0	0	0	1	0	4	0	0	2	0	0	19	1	0	7	0	3	0	75	3	81	1	2	0	0	8	0	20	3792	5	0	0	0	4	1	3	0	4	1	1	44	0	0	0	0
SC09	0	0	0	0	0	0	0	3	0	0	86	0	548	0	0	0	0	4	122	0	0	997	206	294	158	3292	0	125	10	0	0	0	274	0	0	0	0	44	0	1	90	42	29	408	0	3	0	177	0	0	1590	1638	0	0	0	0	0	4	1	0	8102	0	0	0	8	1070	0	0	3	57	4	0	0	0	0	0	0	0	14	0	4	0	32	5	0	0	0	0	0	0	0	0	52	0	0	1	0	0	0	0	0	0	83	313	634	23	0	0	0	0	0	0	0	0	0	1285	0	5	57	3683	0	334	146	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	705	0	3	38	0	898	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	83	11	0	0	0	0	1	0	0	0	0	0	0	0	5341	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	13	0	7	21	0	0	4	0	1	0	0	0	2875	0	0	0	0	0	26	0	0	0	0	10	1	0	0	1	1
SC10	0	0	0	0	0	0	0	2	0	0	66	3	0	0	0	0	0	1	332	0	0	1451	0	247	27	484	0	2	0	84	0	0	0	0	0	0	0	4	0	0	45	10	10	37	0	0	6	751	0	0	0	278	0	0	0	1	0	1	0	0	2044	2	0	0	1	438	0	0	0	233	0	0	1	0	0	0	0	392	1	13	2	0	10	7	0	4	1	1	0	0	0	0	0	7	0	0	0	0	0	4	4	0	43	322	0	79	0	0	1	0	0	0	179	0	0	23002	0	2	38	4518	0	657	446	0	0	4	16	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	3	0	0	1	0	0	0	0	0	0	0	5	0	4	45	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	2	0	0	0	0	0	0	0	0	0	0	0	0	5754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	1	0	1	12	0	1	0	0	0	0	0	13	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
