,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,3729.0,3392.0,123483.0,13303.0,5290.0,613.0,17012.0,7660.0,123019.0,12993.0,5585.0,812.0,62.0,1422.0
1,7095.0,1953.0,130275.0,15417.0,4339.0,680.0,13172.0,2248.0,129656.0,15761.0,4454.0,930.0,63.0,1430.0
2,2293.0,389.0,75085.0,8876.0,2551.0,0.0,15587.0,2529.0,72208.0,8046.0,1815.0,528.0,60.0,1439.0
3,5418.0,2506.0,46449.0,5858.0,2325.0,0.0,17807.0,4323.0,46561.0,5604.0,2039.0,119.0,43.0,1450.0
4,2120.0,1721.0,41038.0,5031.0,1585.0,0.0,14441.0,3322.0,39966.0,4617.0,1194.0,236.0,43.0,1457.0
5,38154.0,7595.0,146178.0,15971.0,8553.0,353.0,66748.0,14873.0,141213.0,15144.0,7797.0,657.0,108.0,1459.0
6,3646.0,1338.0,275751.0,31141.0,9060.0,647.0,11496.0,1716.0,271244.0,30135.0,8690.0,624.0,64.0,1467.0
7,4259.0,2280.0,252430.0,27545.0,8167.0,285.0,24047.0,4707.0,249856.0,27776.0,6988.0,855.0,65.0,1478.0
8,1597.0,817.0,54950.0,6309.0,2346.0,97.0,15247.0,1255.0,56689.0,6195.0,1725.0,114.0,42.0,1482.0
9,23049.0,5856.0,225758.0,21736.0,7589.0,0.0,64724.0,12769.0,212421.0,20705.0,6785.0,537.0,67.0,1482.0
10,8814.0,2152.0,78119.0,9459.0,3918.0,369.0,33174.0,2292.0,76517.0,9050.0,3183.0,332.0,60.0,1486.0
11,4670.0,69.0,118061.0,12822.0,3386.0,110.0,23235.0,929.0,116339.0,12672.0,4282.0,567.0,63.0,1495.0
12,1716.0,523.0,82938.0,9494.0,2246.0,204.0,25522.0,1561.0,87607.0,9460.0,1896.0,339.0,52.0,1499.0
13,16796.0,2095.0,100229.0,15299.0,4836.0,52.0,43119.0,2715.0,97558.0,14927.0,4012.0,259.0,47.0,1504.0
14,6296.0,1342.0,97991.0,11578.0,3209.0,612.0,23521.0,2895.0,92523.0,10709.0,3152.0,708.0,49.0,1515.0
15,0.0,2523.0,139081.0,16481.0,5855.0,432.0,12106.0,3405.0,136755.0,16051.0,5801.0,377.0,64.0,1525.0
16,0.0,916.0,273305.0,30985.0,9257.0,510.0,15263.0,2180.0,254241.0,28800.0,9354.0,942.0,122.0,1526.0
17,0.0,1717.0,80532.0,8953.0,2223.0,683.0,8092.0,3346.0,81951.0,9412.0,2200.0,1099.0,45.0,1535.0
18,23049.0,1950.0,248495.0,29244.0,8823.0,0.0,39860.0,4767.0,236926.0,27560.0,10186.0,336.0,67.0,1547.0
19,0.0,2024.0,65092.0,8200.0,3939.0,0.0,24573.0,3354.0,62309.0,7549.0,3893.0,89.0,45.0,1548.0
20,0.0,5294.0,159057.0,19433.0,7058.0,635.0,20566.0,9555.0,151832.0,18775.0,5180.0,1007.0,64.0,1549.0
21,13788.0,5296.0,259163.0,29386.0,9372.0,619.0,45918.0,9244.0,242983.0,26263.0,7651.0,1261.0,68.0,1549.0
22,6640.0,3714.0,160905.0,19813.0,8468.0,727.0,27501.0,6355.0,153207.0,18714.0,7406.0,773.0,65.0,1552.0
23,2017.0,1582.0,109928.0,12998.0,4229.0,407.0,18264.0,3158.0,107664.0,12507.0,4014.0,429.0,63.0,1576.0
24,4178.0,1901.0,227257.0,24191.0,6149.0,350.0,17043.0,2672.0,222777.0,23812.0,6326.0,478.0,112.0,1576.0
25,3333.0,2768.0,233357.0,25722.0,9260.0,0.0,19188.0,4637.0,232688.0,25377.0,8297.0,333.0,62.0,1577.0
26,1501.0,246.0,92228.0,10754.0,3667.0,0.0,20334.0,1367.0,88015.0,9830.0,3432.0,309.0,63.0,1581.0
27,6290.0,1212.0,34729.0,3987.0,1692.0,155.0,23839.0,2506.0,36540.0,3967.0,2356.0,153.0,42.0,1582.0
28,3950.0,1120.0,73586.0,8395.0,2522.0,0.0,15623.0,2822.0,73390.0,8163.0,2544.0,207.0,45.0,1583.0
29,1009.0,1407.0,34120.0,4000.0,1456.0,76.0,9474.0,2561.0,35270.0,4224.0,1125.0,222.0,41.0,1585.0
30,7537.0,5681.0,360619.0,47011.0,19057.0,1762.0,41929.0,8462.0,311623.0,40916.0,16366.0,2451.0,130.0,1600.0
31,4229.0,1496.0,86690.0,12195.0,3632.0,739.0,20601.0,2473.0,85368.0,11984.0,4233.0,1273.0,47.0,1601.0
32,8559.0,323.0,187650.0,22423.0,7558.0,409.0,38038.0,1565.0,174440.0,20368.0,7540.0,637.0,65.0,1609.0
33,15548.0,7590.0,213446.0,27776.0,14613.0,688.0,40023.0,13449.0,206069.0,26496.0,14310.0,1696.0,63.0,1613.0
34,9888.0,5543.0,175799.0,20912.0,7488.0,288.0,29142.0,7297.0,168422.0,19583.0,8391.0,508.0,63.0,1613.0
35,3936.0,2632.0,191320.0,21869.0,8210.0,37.0,12706.0,6423.0,188155.0,21866.0,7949.0,895.0,64.0,1617.0
36,7647.0,5940.0,170601.0,21083.0,9615.0,688.0,33641.0,9381.0,160868.0,19907.0,8318.0,700.0,65.0,1622.0
37,10494.0,2335.0,166952.0,20720.0,7722.0,637.0,33147.0,4206.0,161468.0,20039.0,7431.0,794.0,62.0,1626.0
38,12415.0,6520.0,103083.0,12751.0,5106.0,125.0,25161.0,9513.0,103655.0,12851.0,4881.0,611.0,58.0,1628.0
39,7626.0,929.0,106508.0,11649.0,2439.0,212.0,21337.0,1891.0,110373.0,11726.0,2386.0,952.0,45.0,1629.0
40,14104.0,2507.0,180265.0,20797.0,7042.0,52.0,32861.0,4197.0,173280.0,19697.0,7755.0,506.0,66.0,1633.0
41,3940.0,2169.0,105235.0,11058.0,3457.0,0.0,20515.0,3679.0,111542.0,11748.0,3284.0,27.0,44.0,1633.0
42,6123.0,1399.0,63609.0,7220.0,2212.0,613.0,11174.0,2843.0,62978.0,7302.0,1962.0,620.0,45.0,1652.0
43,1153.0,243.0,32646.0,4296.0,1721.0,357.0,16803.0,834.0,32956.0,4040.0,2141.0,346.0,41.0,1653.0
44,5301.0,252.0,60033.0,6733.0,2448.0,589.0,13308.0,1650.0,62213.0,7186.0,2154.0,672.0,43.0,1654.0
45,33.0,1483.0,111684.0,12498.0,3822.0,0.0,9821.0,2321.0,111215.0,12056.0,4028.0,245.0,49.0,1660.0
46,7344.0,1358.0,70213.0,8504.0,3190.0,612.0,25409.0,2558.0,71123.0,8351.0,3165.0,390.0,45.0,1664.0
47,405.0,1278.0,76312.0,8881.0,3599.0,0.0,27704.0,2414.0,75499.0,8653.0,4125.0,239.0,59.0,1678.0
48,0.0,332.0,40911.0,4818.0,2180.0,302.0,6842.0,1351.0,41131.0,4789.0,1861.0,655.0,42.0,1681.0
49,779.0,358.0,81172.0,9714.0,3537.0,131.0,13821.0,1257.0,79761.0,9544.0,3557.0,746.0,45.0,1683.0
50,1682.0,1852.0,47109.0,5382.0,1391.0,0.0,13510.0,3024.0,48053.0,5464.0,1807.0,81.0,44.0,1686.0
51,0.0,1101.0,192871.0,21131.0,6174.0,0.0,24583.0,2024.0,192559.0,20329.0,4670.0,329.0,64.0,1692.0
52,6001.0,3402.0,54769.0,6824.0,2542.0,356.0,20407.0,5410.0,54436.0,6418.0,2017.0,558.0,45.0,1698.0
53,3157.0,4399.0,201793.0,22616.0,7251.0,671.0,25919.0,8012.0,201813.0,22409.0,7629.0,805.0,60.0,1700.0
54,18805.0,9561.0,184257.0,19925.0,8494.0,0.0,44910.0,15324.0,178748.0,19682.0,8846.0,437.0,64.0,1701.0
55,9312.0,11431.0,293630.0,33569.0,13254.0,267.0,45364.0,20008.0,282748.0,32224.0,12893.0,975.0,64.0,1701.0
56,12575.0,19068.0,295600.0,38963.0,17550.0,0.0,26901.0,29377.0,273278.0,35766.0,17850.0,626.0,67.0,1702.0
