,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0.0,691.0,77700.0,8817.0,2021.0,296.0,16597.0,1751.0,78139.0,8814.0,2113.0,419.0,59.0,713.0
1,0.0,904.0,65621.0,7251.0,2478.0,384.0,6045.0,2503.0,67655.0,7289.0,2257.0,540.0,44.0,720.0
2,4752.0,468.0,51593.0,6083.0,1164.0,79.0,25654.0,1764.0,56062.0,6434.0,1336.0,263.0,41.0,728.0
3,907.0,2591.0,51704.0,5521.0,1548.0,353.0,19079.0,4273.0,54897.0,5925.0,1604.0,307.0,42.0,728.0
4,0.0,0.0,47928.0,5781.0,2195.0,82.0,12809.0,1585.0,49368.0,5458.0,1747.0,166.0,43.0,731.0
5,7572.0,1341.0,75649.0,8044.0,1766.0,303.0,22154.0,2978.0,75664.0,7670.0,2060.0,319.0,57.0,731.0
6,5391.0,0.0,116413.0,14127.0,4146.0,0.0,16301.0,1371.0,111802.0,13236.0,3102.0,181.0,63.0,732.0
7,0.0,659.0,24599.0,3591.0,2085.0,251.0,19713.0,1075.0,26091.0,3522.0,2349.0,115.0,39.0,732.0
8,15434.0,2438.0,237643.0,26233.0,7986.0,0.0,22708.0,3850.0,235034.0,25656.0,6888.0,896.0,117.0,734.0
9,6612.0,2491.0,204616.0,27379.0,12543.0,0.0,18966.0,3760.0,185311.0,23948.0,11553.0,241.0,120.0,740.0
10,24780.0,7079.0,115179.0,17576.0,8281.0,0.0,71126.0,10526.0,109932.0,16177.0,7664.0,292.0,62.0,741.0
11,19823.0,1616.0,224576.0,27587.0,10887.0,0.0,30723.0,3406.0,219385.0,27359.0,11858.0,956.0,64.0,742.0
12,2985.0,0.0,43344.0,5280.0,1674.0,0.0,11762.0,1396.0,42804.0,5343.0,2248.0,25.0,44.0,747.0
13,0.0,1486.0,66092.0,7436.0,2970.0,1318.0,16251.0,2504.0,64982.0,7392.0,2635.0,1161.0,61.0,751.0
14,3926.0,4466.0,168546.0,21083.0,7645.0,0.0,35236.0,8417.0,158641.0,19449.0,6443.0,441.0,113.0,754.0
15,8106.0,4767.0,175870.0,21024.0,5813.0,822.0,37247.0,7489.0,166197.0,19923.0,5497.0,1319.0,66.0,757.0
16,17051.0,5681.0,132496.0,16759.0,6416.0,700.0,36997.0,8634.0,135657.0,17296.0,6477.0,1126.0,46.0,761.0
17,40196.0,7343.0,327057.0,39978.0,14831.0,1571.0,86937.0,11313.0,324774.0,39940.0,14106.0,1714.0,64.0,762.0
18,0.0,771.0,33339.0,4587.0,1603.0,215.0,13125.0,1813.0,28748.0,3960.0,1786.0,356.0,48.0,771.0
