,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,2501.0,1963.0,77485.0,9116.0,2730.0,124.0,17698.0,2843.0,77738.0,9120.0,2314.0,284.0,57.0,155.0
1,0.0,0.0,58796.0,6835.0,2746.0,0.0,17106.0,946.0,60990.0,6870.0,2587.0,238.0,44.0,155.0
2,4204.0,1306.0,67152.0,6641.0,2074.0,113.0,16337.0,3251.0,68533.0,6613.0,2445.0,282.0,44.0,155.0
3,24029.0,5610.0,343423.0,43563.0,16630.0,746.0,62311.0,8665.0,347574.0,43166.0,15462.0,864.0,63.0,155.0
4,0.0,856.0,83652.0,10371.0,4970.0,0.0,19480.0,4000.0,83821.0,10368.0,4051.0,431.0,58.0,156.0
5,392.0,680.0,55204.0,6817.0,2865.0,98.0,21609.0,1772.0,55234.0,6661.0,2688.0,325.0,45.0,157.0
6,4793.0,2935.0,126283.0,15117.0,4060.0,2.0,24478.0,5310.0,124794.0,14265.0,3754.0,241.0,63.0,157.0
7,851.0,624.0,28892.0,3671.0,1582.0,441.0,18009.0,2046.0,30486.0,3705.0,1664.0,359.0,40.0,158.0
8,0.0,2495.0,147947.0,17353.0,5395.0,1068.0,18164.0,4932.0,143139.0,17150.0,5298.0,926.0,47.0,158.0
9,6870.0,632.0,66884.0,8539.0,2884.0,234.0,16471.0,2000.0,66185.0,8582.0,3093.0,490.0,45.0,158.0
10,0.0,1164.0,45182.0,5377.0,2381.0,239.0,16904.0,2000.0,48091.0,5545.0,2046.0,294.0,41.0,158.0
11,2272.0,0.0,69981.0,8337.0,3173.0,369.0,31162.0,601.0,72818.0,8715.0,3162.0,762.0,44.0,159.0
12,215.0,1919.0,61839.0,6754.0,2390.0,363.0,9994.0,4407.0,63142.0,6815.0,2481.0,382.0,45.0,159.0
13,1747.0,203.0,89566.0,10321.0,3835.0,0.0,13958.0,1041.0,92108.0,10179.0,4089.0,112.0,44.0,159.0
14,0.0,991.0,60252.0,7430.0,1957.0,737.0,11784.0,2826.0,61849.0,7249.0,2028.0,1103.0,43.0,160.0
15,0.0,855.0,142323.0,16188.0,5122.0,0.0,19161.0,1680.0,138484.0,14944.0,4913.0,158.0,61.0,160.0
16,8860.0,503.0,191668.0,22333.0,7516.0,73.0,25999.0,1839.0,185059.0,21256.0,6162.0,740.0,64.0,161.0
17,0.0,137.0,129578.0,15214.0,5259.0,814.0,16414.0,880.0,129481.0,14577.0,5342.0,983.0,67.0,161.0
18,0.0,2048.0,45485.0,5210.0,2752.0,133.0,20679.0,4364.0,46636.0,5173.0,2158.0,167.0,46.0,162.0
19,0.0,0.0,28260.0,4103.0,1382.0,59.0,17154.0,1911.0,27354.0,3704.0,1040.0,151.0,43.0,162.0
20,3869.0,0.0,24810.0,2939.0,1938.0,142.0,16448.0,509.0,25716.0,3048.0,2139.0,161.0,40.0,163.0
21,4032.0,568.0,68166.0,8660.0,4259.0,0.0,28255.0,1442.0,70225.0,8935.0,4378.0,441.0,43.0,163.0
22,0.0,506.0,130040.0,15763.0,5374.0,356.0,14319.0,2437.0,136610.0,16344.0,5282.0,387.0,57.0,163.0
23,2201.0,1227.0,91390.0,11576.0,5753.0,0.0,19723.0,4142.0,89552.0,11083.0,5198.0,395.0,46.0,163.0
24,0.0,561.0,54045.0,6839.0,1963.0,35.0,7473.0,970.0,58761.0,7343.0,1609.0,232.0,41.0,164.0
25,3752.0,0.0,69941.0,9165.0,2525.0,82.0,19112.0,987.0,72162.0,9591.0,1936.0,299.0,44.0,164.0
26,9970.0,0.0,108745.0,13147.0,5395.0,0.0,23835.0,1356.0,105926.0,12508.0,4437.0,264.0,58.0,164.0
27,0.0,1473.0,67362.0,7660.0,2316.0,236.0,26068.0,3860.0,71782.0,7401.0,2706.0,214.0,53.0,164.0
28,2616.0,1069.0,50547.0,6303.0,1935.0,335.0,20058.0,2028.0,51785.0,6125.0,1513.0,592.0,44.0,165.0
29,0.0,0.0,122855.0,14770.0,5364.0,694.0,6877.0,1290.0,117772.0,14401.0,5442.0,641.0,62.0,166.0
30,1416.0,0.0,72831.0,9098.0,3584.0,83.0,24510.0,1039.0,74137.0,8801.0,3476.0,245.0,47.0,166.0
31,3960.0,2676.0,172184.0,17046.0,6844.0,577.0,13923.0,3839.0,169700.0,16747.0,7185.0,1000.0,63.0,166.0
32,37729.0,4352.0,238849.0,27804.0,10315.0,534.0,92946.0,8561.0,244059.0,28119.0,10745.0,610.0,60.0,166.0
33,2239.0,1672.0,45620.0,5406.0,2143.0,721.0,21747.0,2694.0,45969.0,5408.0,3158.0,1044.0,43.0,167.0
34,1168.0,1253.0,45100.0,6139.0,3830.0,430.0,19066.0,2583.0,45915.0,5979.0,3694.0,842.0,44.0,167.0
35,0.0,735.0,55550.0,6364.0,1714.0,34.0,13738.0,2036.0,57572.0,6280.0,1685.0,273.0,43.0,168.0
36,508.0,400.0,93570.0,11310.0,4204.0,0.0,17967.0,1466.0,92320.0,11367.0,4642.0,349.0,45.0,168.0
37,0.0,0.0,31504.0,3544.0,829.0,0.0,7503.0,334.0,34404.0,3662.0,795.0,266.0,39.0,168.0
38,7235.0,1690.0,96817.0,11132.0,3044.0,368.0,21988.0,2907.0,101979.0,11522.0,2451.0,449.0,44.0,171.0
39,4393.0,1260.0,206449.0,25683.0,8970.0,447.0,20058.0,2948.0,193996.0,23704.0,8213.0,1032.0,64.0,171.0
40,1944.0,486.0,128057.0,15942.0,5769.0,0.0,10783.0,1245.0,128276.0,15898.0,6121.0,209.0,61.0,171.0
41,0.0,0.0,139333.0,16000.0,5001.0,0.0,12792.0,532.0,142231.0,16528.0,3937.0,219.0,47.0,172.0
42,20923.0,4046.0,413921.0,47851.0,17283.0,0.0,41896.0,6103.0,400602.0,46892.0,18462.0,49.0,66.0,172.0
43,4082.0,437.0,108402.0,13046.0,4103.0,0.0,22105.0,1358.0,107397.0,12334.0,3352.0,98.0,47.0,172.0
44,1487.0,0.0,88519.0,8961.0,3909.0,959.0,15779.0,596.0,90218.0,8877.0,4265.0,655.0,46.0,172.0
45,0.0,55.0,40598.0,4606.0,2039.0,41.0,9412.0,1493.0,41017.0,4527.0,2130.0,272.0,42.0,173.0
46,6202.0,314.0,126528.0,14379.0,5625.0,597.0,22632.0,1774.0,123418.0,14285.0,5250.0,1285.0,60.0,174.0
47,8061.0,2124.0,86420.0,9780.0,6568.0,562.0,27188.0,3031.0,88190.0,9383.0,5578.0,547.0,61.0,174.0
48,3600.0,1175.0,40167.0,5523.0,1923.0,0.0,15551.0,2573.0,42172.0,5344.0,1296.0,0.0,44.0,175.0
49,7435.0,2008.0,284582.0,36802.0,15743.0,978.0,44733.0,4507.0,278013.0,35969.0,14945.0,1599.0,62.0,175.0
50,2621.0,236.0,70747.0,7758.0,2559.0,260.0,17574.0,1566.0,72340.0,7993.0,3366.0,243.0,44.0,176.0
51,2243.0,662.0,117104.0,13834.0,5228.0,796.0,11021.0,1570.0,118024.0,13741.0,6000.0,602.0,47.0,176.0
52,3889.0,216.0,81407.0,9692.0,3605.0,237.0,19040.0,1733.0,81018.0,9647.0,2262.0,655.0,46.0,176.0
53,38690.0,7906.0,422235.0,54373.0,22155.0,0.0,100634.0,13332.0,404054.0,51797.0,22174.0,1015.0,67.0,177.0
54,7409.0,688.0,76400.0,8449.0,2846.0,91.0,19305.0,1567.0,76401.0,8578.0,3421.0,654.0,45.0,178.0
55,4231.0,885.0,31882.0,3757.0,1656.0,317.0,17936.0,1534.0,33593.0,3675.0,1220.0,608.0,41.0,178.0
56,4354.0,0.0,76075.0,9755.0,4222.0,204.0,23709.0,740.0,75178.0,9420.0,3685.0,427.0,46.0,178.0
57,0.0,0.0,112077.0,13589.0,3940.0,266.0,7651.0,238.0,111515.0,13395.0,4219.0,588.0,46.0,179.0
58,6446.0,3344.0,154635.0,18091.0,5363.0,620.0,23004.0,5598.0,157069.0,17912.0,5155.0,837.0,60.0,179.0
59,25899.0,2476.0,278994.0,34502.0,16172.0,1768.0,54805.0,5208.0,276128.0,34008.0,15939.0,2438.0,64.0,179.0
60,0.0,3413.0,230397.0,25083.0,9216.0,556.0,23683.0,8934.0,236336.0,26117.0,8834.0,502.0,46.0,180.0
61,0.0,2506.0,107278.0,12238.0,3225.0,0.0,12720.0,5446.0,105987.0,11916.0,3599.0,341.0,61.0,180.0
62,0.0,3124.0,84281.0,9768.0,3580.0,511.0,8972.0,4891.0,83553.0,9001.0,2903.0,671.0,49.0,180.0
63,2813.0,2056.0,180957.0,21594.0,7924.0,817.0,15815.0,2693.0,166855.0,19490.0,6539.0,687.0,70.0,180.0
64,2199.0,803.0,43341.0,5767.0,1799.0,133.0,12179.0,2224.0,46647.0,5909.0,2287.0,519.0,41.0,180.0
65,0.0,1896.0,136674.0,16722.0,6052.0,305.0,20488.0,3154.0,129398.0,15690.0,7318.0,781.0,65.0,181.0
66,678.0,2059.0,138782.0,17238.0,5990.0,381.0,17321.0,4743.0,133107.0,16303.0,5787.0,513.0,63.0,181.0
67,0.0,0.0,147643.0,17212.0,6255.0,330.0,20154.0,1281.0,142816.0,16216.0,5360.0,857.0,63.0,181.0
68,0.0,1390.0,56998.0,6763.0,2852.0,287.0,10064.0,2595.0,56493.0,6672.0,2723.0,252.0,46.0,181.0
69,0.0,1546.0,75051.0,9059.0,3562.0,0.0,20901.0,3719.0,70991.0,8179.0,3061.0,577.0,61.0,182.0
70,10992.0,1140.0,64531.0,8379.0,3096.0,210.0,20557.0,3361.0,64416.0,8027.0,3261.0,758.0,45.0,182.0
71,2637.0,1218.0,79979.0,9152.0,3170.0,127.0,12433.0,2040.0,81380.0,9603.0,4068.0,179.0,45.0,182.0
72,4928.0,437.0,110963.0,13603.0,4299.0,50.0,14509.0,1718.0,107553.0,13343.0,5169.0,447.0,63.0,182.0
73,0.0,2056.0,54835.0,7290.0,2640.0,28.0,11984.0,4040.0,55955.0,7286.0,2513.0,349.0,43.0,182.0
74,4834.0,61.0,49807.0,5763.0,2080.0,0.0,14832.0,1462.0,53230.0,5947.0,1268.0,19.0,41.0,182.0
75,0.0,785.0,70032.0,8523.0,4065.0,791.0,10546.0,1747.0,70325.0,8240.0,4679.0,1212.0,57.0,183.0
76,5031.0,293.0,30191.0,3368.0,1368.0,272.0,25297.0,1179.0,32287.0,3731.0,1105.0,212.0,40.0,183.0
