,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,3762.0,2121.0,126533.0,14396.0,3887.0,815.0,22021.0,3020.0,129922.0,14929.0,4229.0,1148.0,61.0,159.0
1,5828.0,7006.0,377358.0,41298.0,10960.0,0.0,24301.0,12490.0,384025.0,40687.0,11290.0,782.0,65.0,162.0
2,0.0,934.0,137974.0,16600.0,4901.0,71.0,19696.0,2491.0,141928.0,16689.0,4438.0,691.0,46.0,163.0
3,0.0,1066.0,55112.0,6570.0,1893.0,0.0,14189.0,1906.0,48144.0,6028.0,1439.0,177.0,60.0,168.0
4,0.0,1437.0,56305.0,7513.0,3912.0,0.0,23596.0,3102.0,57592.0,7183.0,4039.0,566.0,48.0,168.0
5,4750.0,2646.0,288497.0,33731.0,17357.0,879.0,40593.0,6681.0,280231.0,33071.0,15167.0,532.0,114.0,172.0
6,14434.0,1309.0,213473.0,28149.0,12537.0,0.0,40802.0,3141.0,207919.0,27304.0,12572.0,700.0,64.0,173.0
7,10140.0,2946.0,281708.0,39092.0,17029.0,5.0,44800.0,5439.0,283308.0,39743.0,17556.0,423.0,63.0,174.0
8,4697.0,2714.0,198312.0,25006.0,9799.0,0.0,22503.0,4903.0,194936.0,24731.0,9856.0,130.0,63.0,175.0
9,0.0,744.0,124378.0,13990.0,5425.0,154.0,24449.0,2248.0,126268.0,14216.0,5580.0,851.0,45.0,181.0
10,3640.0,2048.0,53453.0,6645.0,2469.0,353.0,11478.0,2641.0,52597.0,6380.0,2014.0,336.0,43.0,181.0
11,9686.0,2274.0,249087.0,38411.0,19761.0,815.0,40614.0,3834.0,246003.0,38207.0,19981.0,1765.0,65.0,181.0
12,11830.0,1223.0,328107.0,35783.0,12126.0,836.0,39687.0,2835.0,322043.0,34797.0,10564.0,785.0,48.0,183.0
13,17403.0,6137.0,215578.0,32728.0,18529.0,541.0,34552.0,10171.0,214232.0,32833.0,18869.0,618.0,64.0,183.0
14,10652.0,448.0,194016.0,29459.0,16112.0,212.0,32114.0,1471.0,191471.0,29119.0,14144.0,683.0,65.0,184.0
15,5933.0,3170.0,231184.0,35826.0,18822.0,0.0,24581.0,3185.0,223685.0,33920.0,17420.0,1590.0,120.0,184.0
16,0.0,2427.0,121285.0,14415.0,6322.0,1047.0,9883.0,3916.0,122814.0,14768.0,6591.0,2491.0,46.0,201.0
17,7870.0,2223.0,38762.0,4725.0,2230.0,429.0,20600.0,3493.0,39405.0,4829.0,1512.0,1260.0,45.0,203.0
18,0.0,1808.0,106926.0,12250.0,4833.0,0.0,15157.0,3276.0,101653.0,11540.0,4167.0,256.0,66.0,204.0
19,0.0,0.0,112170.0,12910.0,3942.0,209.0,28772.0,962.0,114994.0,13245.0,3539.0,189.0,45.0,205.0
20,0.0,1519.0,141858.0,21436.0,12035.0,333.0,22393.0,2318.0,139241.0,20951.0,12090.0,921.0,62.0,213.0
21,2678.0,5329.0,263803.0,28541.0,8621.0,0.0,22631.0,9118.0,262421.0,27399.0,9454.0,499.0,64.0,214.0
22,2097.0,1491.0,51312.0,7197.0,4234.0,125.0,20521.0,2781.0,51227.0,6790.0,4396.0,437.0,44.0,216.0
23,7715.0,1911.0,165444.0,24332.0,11841.0,231.0,23549.0,3289.0,159503.0,23387.0,11932.0,288.0,65.0,220.0
24,38023.0,6891.0,552714.0,87914.0,51680.0,25.0,82220.0,9549.0,494337.0,77367.0,47106.0,597.0,115.0,225.0
25,8761.0,3232.0,366527.0,43323.0,15006.0,82.0,24814.0,5447.0,348475.0,40628.0,14107.0,786.0,68.0,234.0
26,2415.0,1636.0,189854.0,21249.0,5716.0,240.0,20025.0,2735.0,190100.0,20663.0,5620.0,596.0,47.0,235.0
27,5048.0,1502.0,76045.0,8648.0,2377.0,0.0,21029.0,2633.0,74543.0,8740.0,2437.0,216.0,47.0,236.0
28,5807.0,1238.0,246293.0,33964.0,17041.0,197.0,33393.0,2946.0,228404.0,31364.0,15405.0,1145.0,119.0,243.0
29,14459.0,1600.0,204306.0,27906.0,14128.0,834.0,42076.0,3254.0,188086.0,26552.0,13530.0,874.0,117.0,243.0
30,9618.0,735.0,46276.0,6255.0,1799.0,0.0,23363.0,2382.0,47581.0,6188.0,2376.0,96.0,43.0,248.0
31,5575.0,1060.0,267065.0,39237.0,17514.0,0.0,52268.0,1914.0,254022.0,38064.0,17590.0,837.0,111.0,255.0
32,9354.0,3209.0,266730.0,29980.0,8692.0,0.0,24286.0,3768.0,246881.0,28087.0,8199.0,209.0,124.0,255.0
33,11925.0,1584.0,91537.0,12551.0,8126.0,0.0,37580.0,3890.0,94688.0,12463.0,7650.0,329.0,44.0,261.0
34,17350.0,8938.0,492437.0,67224.0,32285.0,16.0,34740.0,13908.0,449299.0,60124.0,30069.0,1025.0,122.0,267.0
35,10504.0,7579.0,167618.0,25601.0,13725.0,1768.0,36357.0,10105.0,156777.0,23952.0,10286.0,2704.0,85.0,271.0
36,21253.0,3752.0,246307.0,35664.0,18127.0,0.0,37254.0,5587.0,231978.0,33147.0,15231.0,543.0,87.0,280.0
37,0.0,1414.0,149935.0,17637.0,5738.0,0.0,26814.0,2769.0,147595.0,16994.0,6230.0,383.0,67.0,283.0
38,12793.0,1966.0,213426.0,28468.0,14287.0,0.0,40146.0,3414.0,209764.0,27845.0,13398.0,71.0,47.0,286.0
39,5146.0,2128.0,255360.0,28631.0,10248.0,0.0,16038.0,4635.0,251915.0,28215.0,10642.0,480.0,64.0,289.0
40,10782.0,9191.0,139016.0,22403.0,13995.0,311.0,41980.0,14048.0,129310.0,20532.0,12981.0,1173.0,66.0,293.0
41,2803.0,2135.0,252002.0,27663.0,7850.0,0.0,28875.0,4223.0,246141.0,25868.0,7534.0,297.0,65.0,296.0
42,0.0,1634.0,173039.0,20525.0,6365.0,0.0,14717.0,2592.0,171191.0,20159.0,5139.0,484.0,49.0,299.0
43,4038.0,2370.0,64530.0,10018.0,8916.0,0.0,25723.0,3703.0,64648.0,9414.0,8601.0,332.0,59.0,299.0
44,15485.0,2941.0,323562.0,38447.0,11969.0,242.0,23623.0,5906.0,314558.0,36965.0,10785.0,540.0,64.0,300.0
45,13759.0,2351.0,253266.0,36632.0,12930.0,0.0,28607.0,4561.0,236109.0,33901.0,11307.0,344.0,67.0,301.0
46,14041.0,5752.0,209929.0,31741.0,17041.0,2024.0,33314.0,8555.0,197097.0,29434.0,14331.0,2556.0,66.0,301.0
47,16854.0,6372.0,299391.0,42000.0,18140.0,1553.0,46117.0,11303.0,289509.0,40292.0,16957.0,3709.0,65.0,303.0
48,1586.0,1092.0,56553.0,7228.0,3354.0,0.0,26618.0,1844.0,51684.0,6807.0,3651.0,611.0,66.0,309.0
49,5103.0,2248.0,228720.0,28742.0,9646.0,641.0,20099.0,2405.0,211913.0,26393.0,9937.0,1073.0,123.0,309.0
