,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,2967.0,847.0,120965.0,13719.0,4649.0,0.0,16341.0,1526.0,130321.0,14258.0,4377.0,436.0,54.0,154.0
1,8219.0,501.0,180256.0,20988.0,6168.0,288.0,25336.0,1328.0,184783.0,21467.0,5161.0,974.0,60.0,156.0
2,4792.0,4458.0,153130.0,17376.0,5326.0,529.0,20327.0,7826.0,161942.0,18424.0,5809.0,597.0,45.0,157.0
3,0.0,0.0,85037.0,9574.0,3394.0,13.0,9391.0,1140.0,91358.0,10333.0,3643.0,711.0,43.0,157.0
4,4160.0,1265.0,52090.0,5887.0,1886.0,0.0,13809.0,3164.0,56645.0,6117.0,1315.0,150.0,41.0,160.0
5,440.0,4563.0,144392.0,22150.0,8863.0,107.0,26007.0,6715.0,151972.0,23049.0,8867.0,328.0,58.0,162.0
6,0.0,1500.0,55377.0,6414.0,2275.0,339.0,4864.0,3018.0,58797.0,6611.0,2905.0,589.0,41.0,166.0
7,0.0,1164.0,110341.0,12562.0,4229.0,119.0,24823.0,3048.0,120781.0,13041.0,4337.0,293.0,43.0,166.0
8,2425.0,1371.0,102466.0,12176.0,5220.0,715.0,17106.0,2574.0,103426.0,11992.0,5633.0,1004.0,45.0,167.0
9,8144.0,2600.0,102998.0,11190.0,3258.0,285.0,19111.0,4071.0,112067.0,12159.0,3582.0,395.0,53.0,169.0
10,16203.0,3243.0,241594.0,31036.0,14328.0,0.0,29386.0,4823.0,239846.0,31310.0,16311.0,315.0,111.0,175.0
11,11506.0,7871.0,183336.0,19995.0,6841.0,1604.0,34909.0,13446.0,193832.0,20893.0,8163.0,1371.0,56.0,176.0
12,11541.0,1500.0,157646.0,17230.0,5598.0,499.0,20623.0,2376.0,166445.0,17747.0,6810.0,632.0,58.0,177.0
13,650.0,2051.0,191012.0,20673.0,7648.0,365.0,15153.0,4963.0,197627.0,21635.0,7074.0,481.0,61.0,177.0
14,8739.0,2425.0,226426.0,26159.0,7700.0,0.0,22855.0,3081.0,235045.0,27325.0,9787.0,625.0,48.0,178.0
15,3518.0,1496.0,49555.0,5702.0,2076.0,0.0,19172.0,2338.0,51143.0,6057.0,2160.0,115.0,44.0,178.0
16,31964.0,2438.0,189118.0,26944.0,9679.0,0.0,84469.0,4906.0,195781.0,28055.0,9410.0,289.0,60.0,178.0
17,0.0,2430.0,178355.0,20430.0,5502.0,324.0,11244.0,3262.0,181794.0,20039.0,5934.0,1067.0,64.0,181.0
18,0.0,299.0,34367.0,4297.0,1524.0,0.0,20762.0,1150.0,37414.0,4434.0,1199.0,116.0,40.0,183.0
19,0.0,1778.0,110604.0,12179.0,4434.0,0.0,18202.0,2873.0,114694.0,12184.0,4481.0,140.0,52.0,191.0
20,2912.0,1303.0,110527.0,12011.0,4158.0,441.0,11027.0,2787.0,115832.0,12427.0,4301.0,671.0,45.0,194.0
21,0.0,88.0,59805.0,7478.0,2608.0,137.0,6458.0,1184.0,61885.0,7550.0,2386.0,175.0,44.0,195.0
22,1794.0,2094.0,181478.0,21222.0,5808.0,0.0,20930.0,4985.0,182794.0,20953.0,5726.0,140.0,69.0,203.0
23,3303.0,1693.0,83613.0,11624.0,4781.0,0.0,21094.0,2504.0,83987.0,11493.0,4807.0,190.0,46.0,205.0
24,0.0,653.0,25645.0,3651.0,995.0,199.0,2597.0,1252.0,26948.0,3625.0,694.0,426.0,40.0,205.0
25,0.0,763.0,51639.0,5743.0,1588.0,0.0,22932.0,1509.0,53727.0,5867.0,1906.0,0.0,41.0,205.0
26,0.0,0.0,113251.0,13271.0,5118.0,875.0,12136.0,1176.0,114892.0,13251.0,5161.0,869.0,60.0,205.0
27,2154.0,1145.0,69986.0,7277.0,2445.0,332.0,19815.0,2214.0,73290.0,7555.0,2613.0,351.0,45.0,207.0
28,0.0,0.0,91556.0,10772.0,4520.0,0.0,17086.0,1359.0,93563.0,10882.0,4148.0,76.0,45.0,211.0
29,4131.0,773.0,73665.0,8694.0,2736.0,484.0,25738.0,1690.0,79485.0,9027.0,3049.0,545.0,43.0,213.0
30,0.0,1425.0,85241.0,9028.0,3654.0,122.0,18170.0,3556.0,89179.0,9412.0,3861.0,516.0,43.0,215.0
31,0.0,1191.0,63674.0,8257.0,3562.0,13.0,9926.0,2320.0,65533.0,8272.0,4367.0,546.0,45.0,217.0
32,3432.0,893.0,99676.0,11295.0,4716.0,348.0,18520.0,1735.0,103885.0,11353.0,3764.0,408.0,57.0,218.0
33,263.0,806.0,125118.0,15144.0,4347.0,0.0,22732.0,2827.0,130713.0,15285.0,5024.0,346.0,57.0,218.0
34,0.0,533.0,155356.0,16520.0,6619.0,610.0,9560.0,1038.0,164593.0,16872.0,7371.0,711.0,57.0,218.0
35,4493.0,2588.0,142879.0,15743.0,3917.0,0.0,19950.0,4013.0,150453.0,15968.0,4206.0,536.0,58.0,219.0
36,696.0,475.0,65862.0,7392.0,1739.0,0.0,11870.0,1177.0,66504.0,7325.0,2391.0,210.0,44.0,219.0
37,2959.0,2379.0,136050.0,16107.0,6872.0,0.0,33246.0,3728.0,142483.0,16156.0,7752.0,13.0,57.0,220.0
38,477.0,563.0,47544.0,5221.0,1532.0,149.0,18841.0,1278.0,53190.0,5354.0,1184.0,490.0,40.0,223.0
39,1857.0,2351.0,49079.0,6452.0,2490.0,115.0,9702.0,2851.0,50789.0,6550.0,2728.0,392.0,43.0,223.0
40,0.0,572.0,27953.0,2956.0,1213.0,517.0,1062.0,1624.0,27535.0,2958.0,1342.0,558.0,43.0,223.0
41,0.0,1529.0,168256.0,19569.0,6261.0,537.0,17742.0,2020.0,174760.0,20356.0,6214.0,934.0,46.0,225.0
42,232.0,332.0,52654.0,6450.0,2144.0,0.0,14217.0,1035.0,54050.0,6451.0,3126.0,245.0,44.0,225.0
43,1456.0,1617.0,123849.0,14181.0,4216.0,0.0,16257.0,2924.0,128884.0,14788.0,4230.0,294.0,55.0,231.0
44,1246.0,691.0,39544.0,4692.0,1122.0,294.0,25497.0,1706.0,40506.0,4411.0,701.0,394.0,43.0,232.0
45,0.0,391.0,69206.0,8616.0,3090.0,0.0,8094.0,1871.0,68765.0,8464.0,2463.0,267.0,46.0,234.0
46,0.0,2064.0,203662.0,24584.0,8387.0,181.0,13050.0,3643.0,208959.0,24874.0,9327.0,691.0,47.0,234.0
47,42530.0,7003.0,648778.0,79819.0,25866.0,1219.0,97445.0,12246.0,614163.0,75057.0,24987.0,2500.0,95.0,235.0
48,4715.0,1194.0,124412.0,13582.0,5339.0,601.0,15845.0,1768.0,127263.0,13921.0,4406.0,542.0,58.0,235.0
49,3250.0,192.0,62115.0,7937.0,3569.0,104.0,22002.0,2078.0,63660.0,8287.0,2939.0,406.0,44.0,236.0
50,4731.0,59.0,163410.0,18982.0,6585.0,321.0,20993.0,540.0,171626.0,20059.0,6385.0,330.0,45.0,237.0
51,9064.0,2094.0,85259.0,11279.0,5515.0,166.0,19251.0,2716.0,83730.0,10186.0,5918.0,405.0,60.0,240.0
52,32974.0,10136.0,379850.0,49018.0,18963.0,1219.0,72030.0,16989.0,360699.0,45657.0,17947.0,1707.0,115.0,241.0
53,0.0,2458.0,65065.0,9426.0,4287.0,0.0,10161.0,3591.0,66294.0,9295.0,3495.0,155.0,54.0,243.0
54,9431.0,710.0,187251.0,21866.0,7015.0,0.0,19234.0,2336.0,184244.0,20539.0,6703.0,415.0,114.0,244.0
55,0.0,662.0,95227.0,10733.0,3654.0,543.0,9135.0,1512.0,96024.0,10811.0,3334.0,862.0,45.0,245.0
56,0.0,798.0,101933.0,12394.0,3311.0,0.0,16036.0,1994.0,106959.0,12173.0,2729.0,174.0,43.0,246.0
57,8032.0,3075.0,222788.0,24082.0,7509.0,0.0,23187.0,5562.0,228884.0,24634.0,7154.0,312.0,59.0,246.0
58,0.0,1025.0,75503.0,8576.0,2611.0,143.0,7600.0,2470.0,74455.0,8754.0,2486.0,636.0,44.0,246.0
59,0.0,309.0,148734.0,17909.0,6034.0,173.0,20930.0,1943.0,149692.0,18013.0,5448.0,324.0,60.0,248.0
60,5641.0,689.0,68786.0,8053.0,3602.0,592.0,24965.0,2958.0,66447.0,7691.0,3054.0,577.0,61.0,251.0
61,2943.0,392.0,44009.0,5302.0,2665.0,555.0,25566.0,1415.0,46958.0,5241.0,2690.0,1290.0,45.0,254.0
62,6783.0,290.0,28085.0,3782.0,1870.0,212.0,35487.0,1568.0,29143.0,3656.0,1305.0,172.0,41.0,255.0
63,926.0,0.0,27032.0,3402.0,1352.0,95.0,13279.0,1313.0,28469.0,3120.0,1400.0,324.0,39.0,255.0
64,0.0,571.0,89736.0,9908.0,4136.0,317.0,13160.0,1568.0,89898.0,9665.0,4068.0,735.0,45.0,256.0
65,0.0,186.0,59903.0,7239.0,2995.0,0.0,14574.0,852.0,60288.0,7239.0,2926.0,390.0,42.0,257.0
66,1844.0,2420.0,106181.0,11955.0,3992.0,689.0,14346.0,4727.0,110784.0,12480.0,4005.0,682.0,56.0,259.0
67,1995.0,1240.0,58699.0,6948.0,2327.0,0.0,19340.0,2542.0,63071.0,6896.0,1760.0,77.0,43.0,260.0
68,4389.0,2375.0,118251.0,12851.0,2657.0,579.0,18863.0,4370.0,123708.0,13271.0,2435.0,558.0,53.0,262.0
69,2606.0,0.0,188354.0,21430.0,6278.0,517.0,28773.0,1472.0,184609.0,20868.0,6504.0,592.0,64.0,262.0
