,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0.0,599.0,62966.0,6928.0,2220.0,411.0,7336.0,1162.0,64074.0,6875.0,1431.0,446.0,43.0,156.0
1,0.0,527.0,85749.0,8852.0,3914.0,212.0,21522.0,962.0,91820.0,9156.0,2940.0,429.0,43.0,156.0
2,0.0,776.0,94394.0,10861.0,4074.0,74.0,14377.0,1536.0,101395.0,11427.0,4690.0,209.0,44.0,156.0
3,9823.0,1825.0,125116.0,13608.0,6466.0,0.0,17253.0,3255.0,128267.0,13785.0,5531.0,252.0,45.0,156.0
4,6122.0,1387.0,34174.0,4489.0,1259.0,0.0,23347.0,3259.0,36794.0,4464.0,1727.0,60.0,39.0,156.0
5,6622.0,2428.0,80166.0,8921.0,7976.0,0.0,18102.0,5287.0,74833.0,8778.0,6637.0,463.0,107.0,156.0
6,1490.0,189.0,30864.0,3655.0,1066.0,0.0,17592.0,1145.0,33738.0,3442.0,1518.0,99.0,38.0,156.0
7,4946.0,2828.0,101622.0,11201.0,6312.0,1388.0,29366.0,6199.0,106033.0,11379.0,6704.0,1529.0,57.0,156.0
8,5605.0,0.0,70401.0,9769.0,2255.0,0.0,12452.0,848.0,73051.0,10259.0,1359.0,50.0,43.0,156.0
9,6289.0,1503.0,202850.0,27702.0,12937.0,0.0,42970.0,2381.0,204373.0,27703.0,12277.0,348.0,62.0,156.0
10,0.0,1114.0,113692.0,13282.0,3859.0,363.0,16926.0,2728.0,113783.0,12926.0,4525.0,591.0,61.0,156.0
11,0.0,654.0,173602.0,19815.0,5290.0,492.0,23375.0,1392.0,177837.0,20456.0,4610.0,874.0,62.0,156.0
12,3289.0,2856.0,61617.0,8893.0,4924.0,770.0,16730.0,5056.0,65748.0,9150.0,4174.0,947.0,52.0,156.0
13,409.0,1224.0,115194.0,14233.0,5183.0,0.0,22393.0,2887.0,111530.0,13944.0,4957.0,185.0,48.0,157.0
14,0.0,323.0,73517.0,8691.0,2264.0,0.0,11690.0,2411.0,75401.0,8572.0,1999.0,169.0,56.0,157.0
15,0.0,1144.0,81494.0,9621.0,4360.0,0.0,13912.0,2287.0,84258.0,9999.0,4746.0,43.0,45.0,157.0
16,6008.0,2048.0,76881.0,9336.0,3930.0,591.0,23021.0,4595.0,81719.0,9832.0,4138.0,759.0,55.0,157.0
