,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,1834.0,239.0,108227.0,12297.0,3200.0,0.0,30558.0,1181.0,112598.0,12547.0,3164.0,315.0,45.0,154.0
1,7708.0,861.0,36754.0,4612.0,1551.0,279.0,20563.0,2105.0,38555.0,4602.0,1285.0,506.0,41.0,155.0
2,0.0,1750.0,46890.0,5300.0,2457.0,728.0,28591.0,3588.0,49913.0,5559.0,2353.0,846.0,47.0,156.0
3,1865.0,580.0,27027.0,3317.0,1085.0,170.0,27898.0,1622.0,29101.0,3331.0,732.0,155.0,39.0,156.0
4,0.0,1278.0,129271.0,15709.0,5633.0,0.0,11341.0,2157.0,124726.0,15097.0,4483.0,493.0,62.0,159.0
5,0.0,345.0,75244.0,8404.0,3038.0,53.0,7586.0,1281.0,76904.0,8772.0,3757.0,611.0,55.0,160.0
6,6025.0,2436.0,179468.0,21291.0,7438.0,17.0,23464.0,4842.0,177143.0,21283.0,7424.0,973.0,64.0,162.0
7,250.0,1140.0,73562.0,9183.0,3329.0,318.0,9273.0,2266.0,73937.0,9288.0,3745.0,534.0,45.0,163.0
8,0.0,205.0,58581.0,6650.0,2671.0,0.0,12327.0,1707.0,60317.0,6616.0,3173.0,302.0,44.0,164.0
9,0.0,94.0,64120.0,7728.0,4249.0,182.0,9799.0,1221.0,64020.0,7650.0,3703.0,465.0,45.0,164.0
10,15774.0,8010.0,204336.0,23916.0,6371.0,0.0,29798.0,10828.0,178737.0,20251.0,5907.0,390.0,113.0,166.0
11,5435.0,3897.0,132880.0,15871.0,5600.0,878.0,14756.0,6919.0,126309.0,15210.0,4622.0,1190.0,47.0,166.0
12,4605.0,1298.0,58299.0,6596.0,2417.0,266.0,23971.0,2664.0,59724.0,6619.0,2440.0,334.0,43.0,169.0
13,7093.0,1994.0,440423.0,50388.0,14386.0,513.0,28367.0,4639.0,412313.0,47203.0,13338.0,1379.0,72.0,170.0
14,1399.0,1287.0,25433.0,2968.0,1546.0,73.0,10522.0,2140.0,27278.0,2923.0,1393.0,123.0,39.0,171.0
15,0.0,1991.0,171602.0,20359.0,6119.0,393.0,17325.0,3283.0,174848.0,20668.0,5334.0,660.0,62.0,171.0
16,2376.0,342.0,37617.0,4310.0,1622.0,116.0,12600.0,552.0,38765.0,4118.0,1667.0,471.0,42.0,173.0
17,0.0,219.0,27280.0,2940.0,1173.0,278.0,5133.0,814.0,29332.0,3168.0,1119.0,444.0,39.0,173.0
