,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,5947.0,927.0,52559.0,5403.0,2034.0,344.0,21510.0,1657.0,60718.0,5990.0,2617.0,630.0,38.0,159.0
1,6228.0,3396.0,72383.0,8685.0,2343.0,583.0,28734.0,6084.0,78925.0,9291.0,3245.0,1074.0,41.0,159.0
2,10822.0,3.0,92557.0,10652.0,2837.0,582.0,40223.0,1188.0,101401.0,11400.0,2467.0,565.0,41.0,159.0
3,1471.0,4133.0,130316.0,15411.0,4115.0,107.0,27507.0,5407.0,144108.0,16816.0,4593.0,482.0,42.0,159.0
4,2120.0,934.0,46988.0,5571.0,2444.0,493.0,19634.0,1587.0,54911.0,6300.0,1987.0,259.0,37.0,159.0
5,4017.0,3814.0,83525.0,10366.0,2401.0,154.0,33826.0,7176.0,91894.0,11188.0,2022.0,476.0,42.0,159.0
6,0.0,1712.0,68658.0,8474.0,1539.0,0.0,14846.0,3575.0,76820.0,9505.0,1981.0,117.0,40.0,159.0
7,107.0,751.0,79692.0,10499.0,3381.0,0.0,23373.0,2009.0,85324.0,10367.0,2878.0,27.0,56.0,159.0
8,5309.0,1044.0,24805.0,3220.0,986.0,107.0,16795.0,1648.0,27244.0,3381.0,1227.0,218.0,39.0,159.0
9,117666.0,15656.0,191953.0,28934.0,11865.0,1212.0,267328.0,26965.0,200280.0,30093.0,11695.0,1543.0,47.0,159.0
10,1865.0,2122.0,152211.0,18155.0,5867.0,0.0,7932.0,3987.0,164989.0,19386.0,6300.0,462.0,57.0,159.0
11,0.0,2536.0,163699.0,19036.0,5566.0,0.0,16102.0,5578.0,179181.0,20504.0,5395.0,855.0,48.0,159.0
12,0.0,1390.0,111501.0,13764.0,6303.0,342.0,24964.0,3285.0,121736.0,15183.0,5700.0,930.0,42.0,159.0
13,176732.0,38944.0,450915.0,53905.0,16716.0,0.0,382946.0,64294.0,486307.0,57274.0,15499.0,476.0,52.0,159.0
14,4681.0,0.0,51230.0,5993.0,1779.0,0.0,18439.0,191.0,56368.0,6426.0,1423.0,238.0,42.0,160.0
15,0.0,1142.0,106883.0,12123.0,4182.0,0.0,15469.0,2438.0,112283.0,12507.0,3994.0,136.0,59.0,160.0
16,14337.0,1234.0,24767.0,4349.0,2506.0,707.0,37037.0,1862.0,29594.0,5018.0,1706.0,903.0,34.0,160.0
17,672.0,1802.0,103811.0,11663.0,3682.0,0.0,23562.0,3773.0,112190.0,12820.0,3739.0,139.0,56.0,160.0
18,1294.0,5982.0,101580.0,12284.0,4099.0,468.0,15671.0,11728.0,110015.0,13263.0,4861.0,532.0,42.0,160.0
19,0.0,429.0,22902.0,2822.0,441.0,23.0,9979.0,1575.0,26656.0,3091.0,157.0,256.0,36.0,160.0
20,2760.0,203.0,25079.0,3116.0,1959.0,62.0,17851.0,1392.0,27694.0,3367.0,1997.0,174.0,37.0,160.0
21,5048.0,1819.0,67666.0,8648.0,2798.0,0.0,9267.0,3710.0,73552.0,9340.0,2317.0,285.0,40.0,160.0
