,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0.0,107.0,46546.0,5670.0,2339.0,0.0,15410.0,1276.0,46975.0,5581.0,2256.0,241.0,43.0,154.0
1,6887.0,5097.0,301832.0,39814.0,14167.0,868.0,35735.0,8344.0,285889.0,36247.0,13743.0,589.0,114.0,156.0
2,2779.0,2660.0,99342.0,13627.0,5549.0,374.0,21126.0,4278.0,98909.0,13740.0,4888.0,656.0,48.0,158.0
3,310.0,1662.0,133163.0,16408.0,5015.0,0.0,13824.0,2866.0,133429.0,16066.0,4478.0,279.0,62.0,160.0
4,5427.0,1134.0,117313.0,14709.0,3756.0,602.0,26383.0,2260.0,120932.0,14725.0,2375.0,880.0,46.0,161.0
5,4638.0,1498.0,82742.0,11944.0,5182.0,0.0,19442.0,3187.0,82916.0,11818.0,5304.0,369.0,45.0,162.0
6,1364.0,3346.0,119183.0,16771.0,7612.0,0.0,23396.0,4191.0,108279.0,14105.0,6311.0,359.0,101.0,162.0
7,0.0,1032.0,79950.0,12924.0,5888.0,0.0,19341.0,1850.0,81014.0,13593.0,6829.0,368.0,45.0,163.0
8,0.0,0.0,25013.0,4036.0,1106.0,241.0,96.0,456.0,25582.0,4044.0,1175.0,411.0,41.0,166.0
9,1080.0,3466.0,61166.0,7930.0,3128.0,507.0,33383.0,6298.0,61568.0,7695.0,3030.0,382.0,44.0,166.0
10,0.0,1362.0,80161.0,10123.0,3618.0,637.0,23892.0,1495.0,77664.0,9801.0,3446.0,1010.0,47.0,167.0
11,11396.0,0.0,94369.0,11733.0,3789.0,345.0,25371.0,814.0,90963.0,11636.0,2983.0,223.0,63.0,167.0
12,0.0,216.0,90148.0,10866.0,3248.0,388.0,28831.0,2162.0,91090.0,10489.0,3109.0,550.0,63.0,168.0
13,4596.0,1198.0,120102.0,15358.0,5011.0,0.0,20550.0,2191.0,124034.0,15247.0,5137.0,146.0,46.0,168.0
14,3573.0,780.0,42999.0,5737.0,2371.0,0.0,29352.0,1645.0,44553.0,5975.0,2452.0,305.0,43.0,169.0
15,2672.0,1447.0,82937.0,10221.0,3703.0,230.0,27379.0,3481.0,83624.0,10306.0,3770.0,592.0,46.0,170.0
16,7593.0,4417.0,225462.0,28035.0,9811.0,307.0,22596.0,5088.0,188643.0,22753.0,7822.0,465.0,116.0,172.0
17,1833.0,418.0,90251.0,9471.0,2992.0,563.0,19540.0,1886.0,89557.0,9374.0,2466.0,674.0,46.0,174.0
18,4702.0,1664.0,93628.0,13660.0,6472.0,287.0,25252.0,3556.0,94115.0,13612.0,5340.0,498.0,46.0,175.0
19,257.0,1594.0,96692.0,13056.0,5979.0,0.0,24858.0,2576.0,96289.0,12932.0,5151.0,196.0,46.0,175.0
20,0.0,303.0,44407.0,5278.0,2139.0,0.0,32956.0,1815.0,45162.0,5313.0,2329.0,291.0,44.0,175.0
21,24337.0,1885.0,212327.0,27477.0,9133.0,514.0,52681.0,2885.0,213446.0,27572.0,10046.0,624.0,64.0,176.0
22,0.0,930.0,66488.0,8137.0,2047.0,0.0,17908.0,2147.0,68447.0,7793.0,2681.0,370.0,45.0,177.0
23,5669.0,2293.0,43185.0,6513.0,4591.0,129.0,29216.0,3525.0,41894.0,5906.0,4110.0,581.0,45.0,177.0
24,0.0,875.0,68872.0,8251.0,2047.0,238.0,13038.0,1702.0,64464.0,8159.0,2524.0,388.0,63.0,178.0
25,0.0,504.0,77768.0,12006.0,4833.0,0.0,30266.0,2148.0,77496.0,12231.0,4942.0,313.0,44.0,178.0
26,0.0,2533.0,63635.0,8094.0,2605.0,0.0,23612.0,4545.0,64783.0,8326.0,2469.0,175.0,43.0,179.0
27,3364.0,804.0,122596.0,14238.0,4213.0,18.0,36066.0,1700.0,127430.0,14268.0,5681.0,311.0,46.0,180.0
28,7507.0,131.0,25267.0,3432.0,1190.0,0.0,24797.0,1610.0,25300.0,3520.0,1283.0,124.0,41.0,181.0
29,6729.0,1378.0,64354.0,8100.0,3677.0,0.0,27818.0,2399.0,66126.0,7983.0,2940.0,109.0,46.0,181.0
30,10533.0,2081.0,69336.0,8004.0,3178.0,292.0,37543.0,3675.0,71175.0,8023.0,2836.0,490.0,45.0,181.0
31,3065.0,4126.0,160433.0,22099.0,13133.0,100.0,26699.0,6918.0,158446.0,21735.0,13258.0,357.0,46.0,183.0
32,0.0,1398.0,68386.0,11695.0,5466.0,0.0,30622.0,1944.0,73273.0,11795.0,3732.0,235.0,50.0,183.0
33,17000.0,2294.0,230561.0,33153.0,15128.0,0.0,23410.0,3901.0,229906.0,33214.0,14915.0,83.0,76.0,185.0
34,1039.0,1155.0,55502.0,8232.0,4169.0,497.0,12461.0,2151.0,54280.0,7690.0,3606.0,638.0,53.0,185.0
35,0.0,1991.0,105939.0,14674.0,6157.0,425.0,22402.0,3193.0,107882.0,14361.0,5890.0,786.0,62.0,186.0
36,663.0,2325.0,72355.0,11274.0,8469.0,36.0,16888.0,4705.0,73515.0,11477.0,8015.0,782.0,44.0,186.0
37,0.0,821.0,134780.0,16483.0,6572.0,11.0,17955.0,1493.0,140486.0,16724.0,6268.0,571.0,49.0,187.0
38,4870.0,1800.0,76076.0,10009.0,2669.0,0.0,25288.0,2897.0,76743.0,9875.0,2274.0,192.0,59.0,188.0
39,50276.0,3839.0,474750.0,53844.0,16715.0,0.0,65912.0,6141.0,464877.0,52547.0,14923.0,528.0,65.0,188.0
40,0.0,0.0,56408.0,7876.0,1677.0,11.0,20044.0,1376.0,59527.0,7851.0,2123.0,377.0,43.0,189.0
41,1039.0,1033.0,51709.0,6432.0,2473.0,659.0,12953.0,2396.0,53224.0,6442.0,2250.0,1150.0,42.0,189.0
42,0.0,2716.0,145273.0,18999.0,7933.0,361.0,21978.0,4597.0,143361.0,17876.0,6486.0,1014.0,51.0,189.0
43,2904.0,0.0,90909.0,10957.0,3231.0,264.0,14874.0,233.0,94530.0,11060.0,3142.0,265.0,45.0,190.0
44,8238.0,4605.0,115967.0,16956.0,12102.0,133.0,21178.0,7154.0,109393.0,16271.0,11074.0,650.0,62.0,191.0
