,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,670.0,1496.0,56351.0,7002.0,4129.0,0.0,23263.0,2708.0,58441.0,7333.0,4800.0,20.0,43.0,156.0
1,4240.0,3771.0,127789.0,14719.0,6107.0,0.0,35783.0,5911.0,125506.0,13957.0,5439.0,78.0,61.0,158.0
2,723.0,595.0,60678.0,7702.0,2065.0,0.0,25034.0,1928.0,65978.0,7912.0,2645.0,237.0,40.0,159.0
3,6803.0,1781.0,77754.0,9364.0,3517.0,55.0,17418.0,3476.0,77122.0,8835.0,2999.0,427.0,46.0,161.0
4,13318.0,0.0,154418.0,18529.0,5546.0,409.0,35806.0,1494.0,153999.0,18055.0,4782.0,726.0,62.0,165.0
5,949.0,3300.0,81869.0,11014.0,3729.0,443.0,14064.0,3965.0,85549.0,10892.0,3150.0,454.0,45.0,169.0
6,0.0,983.0,68943.0,8986.0,3896.0,0.0,23469.0,3192.0,68826.0,8521.0,3047.0,633.0,57.0,170.0
7,1517.0,1144.0,90860.0,11812.0,4619.0,0.0,22338.0,2963.0,85809.0,11282.0,4388.0,157.0,65.0,170.0
8,2191.0,1730.0,56563.0,7282.0,2832.0,469.0,17089.0,3271.0,56441.0,7149.0,3144.0,1032.0,46.0,174.0
9,1537.0,3431.0,76680.0,9960.0,2879.0,0.0,14707.0,5804.0,79304.0,9559.0,3189.0,387.0,56.0,178.0
10,6551.0,2223.0,103917.0,11634.0,3340.0,228.0,31609.0,3258.0,105659.0,11112.0,3235.0,397.0,58.0,179.0
11,0.0,346.0,39120.0,5712.0,1557.0,35.0,20721.0,1455.0,38923.0,5664.0,1779.0,231.0,43.0,181.0
12,17523.0,1463.0,187004.0,23356.0,8999.0,580.0,31634.0,2071.0,184535.0,22974.0,8030.0,1756.0,63.0,183.0
13,4235.0,2609.0,113975.0,14001.0,4456.0,489.0,17033.0,3757.0,115676.0,14418.0,6080.0,593.0,59.0,183.0
14,1956.0,1335.0,81936.0,10774.0,3946.0,713.0,22873.0,1989.0,86825.0,11072.0,4074.0,783.0,53.0,194.0
15,19025.0,3840.0,181836.0,22258.0,8389.0,1278.0,39200.0,7279.0,187652.0,22854.0,9357.0,863.0,63.0,200.0
16,17796.0,4605.0,207938.0,26749.0,7961.0,885.0,35862.0,6232.0,199757.0,25728.0,7945.0,678.0,68.0,200.0
17,4126.0,714.0,98315.0,13038.0,6266.0,72.0,19852.0,1599.0,106134.0,13231.0,6357.0,182.0,44.0,204.0
18,2081.0,1196.0,86335.0,10374.0,4771.0,682.0,32854.0,2578.0,81514.0,9883.0,3964.0,608.0,62.0,206.0
19,3908.0,948.0,53748.0,7192.0,3443.0,352.0,18576.0,1668.0,56735.0,7235.0,3600.0,716.0,44.0,210.0
20,22.0,828.0,126853.0,15778.0,5478.0,15.0,18934.0,1813.0,131480.0,15627.0,4783.0,207.0,45.0,214.0
21,3572.0,507.0,64154.0,9345.0,2939.0,0.0,28958.0,2419.0,64430.0,8926.0,2847.0,850.0,45.0,216.0
22,643.0,2005.0,37808.0,5529.0,2579.0,0.0,21061.0,3763.0,40969.0,5780.0,2362.0,201.0,39.0,220.0
23,2488.0,1438.0,119389.0,14877.0,5584.0,0.0,23721.0,2359.0,122662.0,14512.0,6741.0,107.0,47.0,223.0
24,0.0,94.0,95766.0,11737.0,3411.0,399.0,13681.0,1617.0,96868.0,11872.0,3467.0,820.0,60.0,223.0
25,15682.0,1884.0,81350.0,10867.0,4335.0,0.0,28607.0,3286.0,84540.0,10896.0,4338.0,264.0,44.0,226.0
26,0.0,1373.0,100249.0,12630.0,4648.0,311.0,19382.0,2818.0,102476.0,12728.0,4569.0,657.0,44.0,238.0
27,71.0,1028.0,54361.0,7330.0,2705.0,0.0,16927.0,1740.0,57333.0,7510.0,2521.0,668.0,41.0,242.0
28,0.0,1087.0,64307.0,8751.0,4318.0,691.0,12711.0,1967.0,67696.0,8661.0,4466.0,1093.0,51.0,247.0
29,3590.0,614.0,59386.0,7504.0,2600.0,34.0,14814.0,1241.0,58033.0,7566.0,2003.0,241.0,45.0,248.0
30,1658.0,1398.0,69995.0,8913.0,2706.0,0.0,25398.0,1995.0,72519.0,9191.0,2367.0,230.0,45.0,248.0
31,5315.0,2343.0,74087.0,10825.0,4480.0,243.0,16695.0,3725.0,76186.0,10748.0,4440.0,742.0,44.0,250.0
32,10483.0,11220.0,145444.0,20679.0,12492.0,0.0,20003.0,11973.0,128762.0,15747.0,7058.0,360.0,83.0,251.0
33,3465.0,3218.0,146678.0,18040.0,5773.0,637.0,29616.0,4937.0,145803.0,18086.0,5733.0,809.0,47.0,251.0
34,0.0,1337.0,101945.0,13684.0,3124.0,523.0,6875.0,3524.0,107681.0,14101.0,4088.0,691.0,43.0,252.0
35,1970.0,1849.0,91335.0,11997.0,4030.0,644.0,30028.0,2634.0,90786.0,11758.0,3600.0,936.0,46.0,254.0
36,8216.0,1462.0,125237.0,15888.0,5257.0,344.0,27165.0,3055.0,112895.0,14104.0,5496.0,497.0,66.0,261.0
37,587645.0,20797.0,275976.0,45420.0,29539.0,228.0,1110156.0,33922.0,280780.0,46533.0,30002.0,445.0,70.0,265.0
38,0.0,0.0,98087.0,11530.0,4194.0,0.0,10408.0,1514.0,99172.0,11600.0,3868.0,123.0,46.0,265.0
39,2589.0,1134.0,37271.0,4738.0,1974.0,4.0,14372.0,2077.0,36936.0,4595.0,1389.0,182.0,43.0,269.0
40,0.0,0.0,50102.0,6673.0,3236.0,796.0,20618.0,651.0,50901.0,6162.0,2960.0,655.0,47.0,271.0
41,1907.0,4169.0,104161.0,12792.0,3724.0,203.0,25682.0,7265.0,109279.0,13046.0,3374.0,252.0,46.0,271.0
42,6874.0,995.0,102043.0,12100.0,5031.0,721.0,22625.0,2958.0,99540.0,11484.0,4993.0,732.0,45.0,273.0
43,0.0,548.0,80704.0,10224.0,4344.0,688.0,13064.0,1546.0,83451.0,9961.0,4895.0,473.0,44.0,274.0
44,1672.0,1580.0,96583.0,13861.0,10518.0,672.0,32837.0,3375.0,94271.0,12952.0,10092.0,846.0,48.0,275.0
45,6821.0,3382.0,89637.0,14562.0,9356.0,0.0,33287.0,3947.0,81545.0,10070.0,4260.0,209.0,90.0,276.0
46,0.0,80.0,104624.0,12663.0,4069.0,0.0,17566.0,1381.0,98042.0,11828.0,3641.0,150.0,63.0,278.0
47,3622.0,1319.0,80081.0,11370.0,5386.0,506.0,26072.0,2310.0,77770.0,11143.0,5675.0,1011.0,45.0,279.0
48,14182.0,4869.0,92458.0,12243.0,4311.0,280.0,55043.0,9684.0,90156.0,11503.0,4368.0,314.0,47.0,280.0
49,19737.0,1754.0,244358.0,30501.0,11341.0,0.0,43438.0,2902.0,225618.0,27180.0,8456.0,255.0,110.0,283.0
50,13973.0,3278.0,114555.0,15415.0,5372.0,527.0,26994.0,6089.0,117596.0,15580.0,5605.0,791.0,45.0,284.0
51,0.0,614.0,23609.0,2656.0,1285.0,341.0,12717.0,1599.0,25935.0,2671.0,1073.0,364.0,37.0,288.0
52,8447.0,3353.0,83635.0,9963.0,3866.0,0.0,19322.0,5749.0,82690.0,9939.0,3532.0,185.0,46.0,289.0
53,13618.0,2219.0,145389.0,21207.0,11569.0,0.0,31122.0,3913.0,145936.0,21256.0,10167.0,492.0,47.0,291.0
54,5097.0,2345.0,62879.0,8007.0,2597.0,0.0,31417.0,3807.0,63767.0,7624.0,2134.0,75.0,47.0,292.0
55,0.0,3543.0,117001.0,16033.0,7096.0,883.0,19804.0,5695.0,118100.0,15216.0,6641.0,833.0,58.0,297.0
56,0.0,1190.0,66551.0,8422.0,2691.0,423.0,21636.0,2002.0,68232.0,8559.0,2182.0,571.0,44.0,297.0
57,15912.0,1692.0,155816.0,20137.0,7453.0,157.0,55642.0,2433.0,163516.0,20595.0,7120.0,583.0,59.0,299.0
58,3650.0,1539.0,94349.0,14032.0,10340.0,0.0,30554.0,2212.0,92800.0,13418.0,9696.0,1000.0,48.0,300.0
59,9402.0,3165.0,75612.0,10174.0,4839.0,226.0,24416.0,6492.0,78932.0,10658.0,4355.0,536.0,47.0,300.0
60,9727.0,1082.0,86658.0,10441.0,2315.0,159.0,24593.0,1751.0,87775.0,10370.0,2728.0,477.0,58.0,301.0
61,8937.0,5280.0,244153.0,28857.0,9295.0,0.0,31216.0,6135.0,237810.0,27166.0,9027.0,368.0,117.0,301.0
62,9491.0,1264.0,273148.0,33234.0,9965.0,184.0,63606.0,2849.0,253607.0,30308.0,9615.0,845.0,110.0,302.0
63,4465.0,769.0,132781.0,16462.0,4802.0,240.0,22699.0,1966.0,133904.0,16309.0,5474.0,616.0,61.0,304.0
64,926.0,1147.0,43727.0,5280.0,2703.0,213.0,16641.0,1633.0,45533.0,5422.0,2024.0,318.0,41.0,305.0
65,2799.0,384.0,30275.0,4615.0,2046.0,163.0,19529.0,1596.0,32589.0,4441.0,1464.0,692.0,39.0,305.0
66,5117.0,666.0,48002.0,7458.0,3813.0,0.0,17581.0,1101.0,49607.0,7612.0,3797.0,3.0,42.0,306.0
67,1900.0,3472.0,69650.0,8544.0,3571.0,0.0,22449.0,4898.0,68616.0,8369.0,3314.0,0.0,45.0,309.0
68,12385.0,3516.0,216700.0,27298.0,11790.0,570.0,46162.0,4941.0,166690.0,20628.0,9012.0,734.0,76.0,317.0
69,9179.0,1658.0,149527.0,18406.0,7559.0,177.0,28823.0,2796.0,144862.0,17676.0,6989.0,455.0,62.0,317.0
70,4405.0,1790.0,161919.0,20400.0,7558.0,177.0,31008.0,3233.0,156232.0,19289.0,6880.0,533.0,65.0,320.0
71,1352.0,7523.0,121418.0,15379.0,5301.0,0.0,36773.0,13129.0,120322.0,14952.0,4659.0,277.0,62.0,321.0
72,7084.0,4537.0,117024.0,17292.0,9953.0,283.0,21229.0,7929.0,117092.0,16438.0,8472.0,542.0,61.0,323.0
73,6363.0,945.0,111179.0,13518.0,3497.0,0.0,20777.0,2141.0,113253.0,14083.0,4253.0,115.0,44.0,325.0
74,0.0,2647.0,125684.0,17944.0,10915.0,632.0,20621.0,4383.0,118708.0,16433.0,11174.0,838.0,63.0,330.0
75,4828.0,2119.0,141468.0,17659.0,6859.0,0.0,24903.0,2904.0,140867.0,18142.0,7373.0,498.0,62.0,331.0
76,10657.0,3082.0,55258.0,7305.0,2318.0,58.0,33027.0,5058.0,56084.0,7151.0,2852.0,541.0,42.0,335.0
77,17810.0,5965.0,242387.0,29637.0,9201.0,428.0,52363.0,10556.0,240108.0,29230.0,10265.0,887.0,65.0,336.0
78,4920.0,7269.0,153430.0,24364.0,17537.0,0.0,31251.0,10045.0,139003.0,20408.0,16043.0,548.0,58.0,344.0
79,0.0,2000.0,76994.0,10191.0,4219.0,368.0,17832.0,4274.0,74919.0,10210.0,3641.0,407.0,57.0,344.0
80,41967.0,18242.0,385878.0,52002.0,25046.0,1436.0,103171.0,16454.0,341773.0,43056.0,13966.0,1883.0,112.0,346.0
81,6753.0,1390.0,118888.0,14905.0,4727.0,39.0,27163.0,2268.0,117505.0,14820.0,3908.0,155.0,47.0,346.0
82,13131.0,3199.0,192411.0,23154.0,11356.0,0.0,32719.0,4927.0,179275.0,21474.0,9274.0,1452.0,67.0,347.0
83,46003.0,5468.0,181244.0,23605.0,9411.0,423.0,109349.0,9715.0,177949.0,22857.0,8116.0,1030.0,63.0,355.0
84,4324.0,453.0,33890.0,4792.0,2464.0,0.0,16213.0,1669.0,34874.0,5173.0,1810.0,128.0,42.0,356.0
85,3046.0,1661.0,119685.0,14932.0,7647.0,0.0,14369.0,2565.0,120485.0,14959.0,5919.0,350.0,61.0,360.0
86,2376.0,0.0,89700.0,10909.0,3041.0,0.0,18767.0,926.0,92279.0,10541.0,2420.0,577.0,58.0,363.0
87,874.0,80.0,67176.0,8673.0,2091.0,433.0,14705.0,1159.0,67966.0,8436.0,2033.0,616.0,44.0,363.0
88,1577.0,1259.0,85205.0,10297.0,3301.0,157.0,15628.0,2081.0,86984.0,10352.0,3105.0,504.0,46.0,364.0
89,625.0,211.0,45389.0,6481.0,2147.0,351.0,18606.0,1604.0,44133.0,5839.0,2146.0,352.0,44.0,365.0
90,1314.0,380.0,72506.0,9462.0,3251.0,85.0,11085.0,1515.0,73476.0,9451.0,3332.0,401.0,44.0,366.0
91,105.0,722.0,94119.0,10912.0,2876.0,483.0,17981.0,1731.0,97167.0,10915.0,4147.0,619.0,45.0,368.0
92,5874.0,613.0,54746.0,7779.0,2384.0,29.0,15054.0,1621.0,56787.0,7669.0,1571.0,183.0,44.0,373.0
93,3172.0,2064.0,150074.0,18208.0,5530.0,241.0,21805.0,3408.0,144471.0,17246.0,5494.0,611.0,64.0,376.0
94,0.0,0.0,22896.0,2833.0,1717.0,271.0,2973.0,1644.0,23944.0,2672.0,973.0,262.0,40.0,378.0
95,0.0,159.0,65023.0,8274.0,2879.0,275.0,23870.0,2136.0,69188.0,8323.0,2791.0,317.0,43.0,381.0
96,5316.0,2943.0,172480.0,20170.0,4990.0,593.0,20627.0,5065.0,172677.0,19876.0,5946.0,940.0,61.0,382.0
97,6132.0,510.0,41739.0,7224.0,7303.0,126.0,24662.0,1999.0,40537.0,6508.0,7109.0,738.0,47.0,382.0
98,9330.0,583.0,64326.0,8340.0,2767.0,0.0,19116.0,1290.0,68427.0,8636.0,3057.0,147.0,43.0,388.0
99,0.0,0.0,56742.0,6697.0,2253.0,96.0,14720.0,1119.0,56017.0,6758.0,2480.0,314.0,44.0,388.0
100,0.0,2211.0,146067.0,17581.0,6376.0,0.0,15809.0,3177.0,147194.0,17597.0,6938.0,571.0,62.0,389.0
101,0.0,1376.0,61746.0,7672.0,2519.0,261.0,10328.0,1994.0,62753.0,7683.0,2330.0,563.0,43.0,391.0
102,9519.0,3873.0,132129.0,15700.0,6178.0,455.0,36413.0,7439.0,131799.0,15331.0,7019.0,602.0,61.0,397.0
103,11211.0,2105.0,92178.0,11512.0,3609.0,295.0,18572.0,3318.0,91606.0,11432.0,3480.0,306.0,44.0,398.0
104,11538.0,1394.0,29644.0,11494.0,19059.0,0.0,40034.0,2770.0,32096.0,11620.0,20043.0,654.0,38.0,398.0
105,0.0,0.0,32384.0,4045.0,1214.0,69.0,14873.0,1008.0,31983.0,3973.0,1032.0,282.0,43.0,403.0
106,0.0,0.0,48396.0,7402.0,4299.0,0.0,14492.0,1247.0,50552.0,7246.0,4925.0,301.0,44.0,403.0
107,4289.0,1011.0,60774.0,7440.0,2245.0,0.0,20737.0,1740.0,59858.0,7129.0,2864.0,34.0,45.0,404.0
108,15924.0,1569.0,114580.0,11878.0,5586.0,713.0,39625.0,2905.0,112318.0,11643.0,5459.0,498.0,47.0,409.0
109,15336.0,526.0,141081.0,18388.0,7597.0,0.0,34722.0,1362.0,145261.0,18402.0,6925.0,127.0,57.0,410.0
110,3721.0,6549.0,117308.0,16939.0,10579.0,217.0,25627.0,10688.0,115485.0,15750.0,10952.0,541.0,48.0,412.0
111,1782.0,889.0,29558.0,4671.0,3638.0,85.0,20103.0,2116.0,30411.0,4678.0,3690.0,225.0,41.0,413.0
