,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0.0,4240.0,152095.0,19447.0,13723.0,564.0,32649.0,7273.0,146512.0,19038.0,14449.0,879.0,64.0,154.0
1,4688.0,2174.0,81793.0,11205.0,5197.0,197.0,32730.0,3710.0,81520.0,11158.0,4195.0,510.0,56.0,154.0
2,0.0,0.0,32959.0,4741.0,2005.0,301.0,21907.0,1518.0,32506.0,4736.0,1475.0,883.0,42.0,154.0
3,3109.0,595.0,56977.0,7450.0,3233.0,271.0,24454.0,1360.0,56674.0,7461.0,2082.0,231.0,45.0,154.0
4,10411.0,1718.0,108109.0,14212.0,5155.0,678.0,27420.0,3209.0,107537.0,14198.0,5089.0,342.0,60.0,155.0
5,0.0,1348.0,64942.0,8008.0,3139.0,449.0,24253.0,2384.0,65581.0,7637.0,2601.0,529.0,58.0,155.0
6,9365.0,1797.0,235146.0,30369.0,7471.0,0.0,29446.0,3140.0,231348.0,29013.0,6366.0,170.0,64.0,155.0
7,0.0,1169.0,73697.0,8479.0,4005.0,598.0,22499.0,1575.0,75274.0,8417.0,4483.0,533.0,44.0,155.0
8,0.0,1378.0,77689.0,7302.0,3567.0,0.0,26411.0,2324.0,76288.0,7129.0,3194.0,80.0,46.0,155.0
9,9324.0,0.0,123133.0,15418.0,4737.0,0.0,22595.0,1200.0,121143.0,15074.0,5215.0,357.0,63.0,155.0
10,0.0,1005.0,95766.0,10804.0,3850.0,0.0,9977.0,1953.0,96252.0,10858.0,4585.0,302.0,46.0,156.0
11,0.0,1708.0,60562.0,7836.0,3240.0,447.0,16352.0,3843.0,62822.0,8164.0,2984.0,790.0,43.0,156.0
12,2295.0,1507.0,49342.0,6406.0,2325.0,0.0,22648.0,2814.0,46533.0,5790.0,1804.0,195.0,46.0,156.0
13,0.0,0.0,104601.0,13438.0,5023.0,270.0,26225.0,958.0,102206.0,12789.0,4508.0,221.0,62.0,157.0
