,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0.0,1107.0,51825.0,6967.0,1481.0,550.0,4347.0,2437.0,43641.0,5634.0,1655.0,374.0,73.0,155.0
1,2439.0,2263.0,183952.0,17744.0,5541.0,261.0,20474.0,3707.0,155203.0,14871.0,3621.0,460.0,73.0,155.0
2,3158.0,2697.0,67705.0,7284.0,2812.0,218.0,27819.0,2683.0,59581.0,6294.0,2221.0,419.0,68.0,155.0
3,0.0,1215.0,96875.0,12998.0,6511.0,0.0,16972.0,2523.0,79090.0,10671.0,6716.0,309.0,131.0,155.0
4,2450.0,547.0,29176.0,3504.0,2152.0,237.0,18450.0,1774.0,27804.0,3234.0,1494.0,343.0,50.0,155.0
5,9433.0,1480.0,124275.0,16746.0,5225.0,432.0,18568.0,2544.0,107486.0,14359.0,5123.0,777.0,71.0,155.0
6,0.0,716.0,57600.0,6497.0,2714.0,305.0,11145.0,1169.0,50466.0,5590.0,2442.0,335.0,50.0,156.0
7,2658.0,1117.0,90262.0,11537.0,6290.0,0.0,18054.0,2573.0,76033.0,9699.0,4923.0,275.0,70.0,156.0
8,7547.0,3766.0,132690.0,15933.0,5815.0,498.0,18627.0,5931.0,112567.0,13389.0,3637.0,570.0,126.0,156.0
9,4273.0,1620.0,61617.0,7107.0,2442.0,0.0,22813.0,3692.0,55568.0,6522.0,2114.0,80.0,73.0,156.0
10,2226.0,135.0,103740.0,13210.0,4867.0,239.0,16813.0,527.0,89180.0,10769.0,4929.0,504.0,75.0,157.0
11,0.0,1355.0,45636.0,5456.0,1833.0,112.0,21511.0,1991.0,38034.0,4501.0,1294.0,449.0,84.0,157.0
12,6548.0,1590.0,64870.0,8643.0,4203.0,0.0,22016.0,2020.0,55799.0,7743.0,2863.0,543.0,88.0,157.0
13,25852.0,5474.0,351766.0,40471.0,11470.0,941.0,54728.0,7350.0,307276.0,36034.0,9405.0,1162.0,73.0,157.0
14,0.0,852.0,50222.0,5964.0,1776.0,430.0,19335.0,1619.0,40719.0,4497.0,1048.0,518.0,75.0,157.0
15,536.0,0.0,28127.0,3543.0,1668.0,212.0,17939.0,972.0,26602.0,3357.0,1538.0,243.0,57.0,157.0
16,0.0,146.0,152683.0,17800.0,6377.0,0.0,20133.0,1753.0,130503.0,14734.0,4663.0,457.0,122.0,158.0
17,7558.0,2321.0,106535.0,13744.0,4729.0,1608.0,20819.0,4455.0,93401.0,11663.0,4226.0,1615.0,71.0,158.0
18,0.0,1451.0,27062.0,3477.0,1140.0,110.0,17464.0,1945.0,25485.0,2895.0,1664.0,228.0,61.0,158.0
