,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,723.0,6.0,89978.0,10870.0,3830.0,110.0,7809.0,1346.0,72473.0,8854.0,2738.0,306.0,90.0,992.0
1,1620.0,396.0,54996.0,7407.0,3550.0,62.0,18885.0,1782.0,48715.0,6505.0,2816.0,225.0,66.0,992.0
2,0.0,8005.0,205316.0,24697.0,14205.0,0.0,26685.0,11614.0,170997.0,20389.0,11681.0,542.0,147.0,992.0
3,0.0,0.0,44623.0,6149.0,2720.0,612.0,12299.0,365.0,39027.0,5125.0,2585.0,615.0,51.0,992.0
4,6421.0,4537.0,172233.0,21726.0,9536.0,881.0,13996.0,3086.0,142602.0,17547.0,9670.0,1415.0,129.0,992.0
5,1042.0,3250.0,155945.0,23323.0,9728.0,324.0,26334.0,5912.0,142324.0,19945.0,9273.0,970.0,121.0,993.0
6,0.0,517.0,68981.0,7794.0,3417.0,95.0,10235.0,925.0,61151.0,7125.0,3385.0,399.0,67.0,993.0
7,0.0,0.0,75038.0,9475.0,3697.0,0.0,8160.0,912.0,63907.0,7218.0,2830.0,187.0,69.0,993.0
8,12264.0,2651.0,139519.0,20592.0,9339.0,248.0,27288.0,3813.0,112319.0,17384.0,7760.0,277.0,73.0,993.0
9,0.0,307.0,61906.0,8563.0,4932.0,0.0,8728.0,1713.0,49667.0,6499.0,2679.0,566.0,99.0,993.0
10,7574.0,659.0,81576.0,10694.0,4646.0,0.0,21863.0,1474.0,69762.0,8301.0,5308.0,272.0,136.0,993.0
11,6149.0,6767.0,158166.0,20799.0,7613.0,481.0,14601.0,8623.0,129381.0,15539.0,5658.0,599.0,145.0,994.0
12,3306.0,1093.0,127624.0,16734.0,5575.0,76.0,19527.0,2026.0,109840.0,14720.0,3474.0,539.0,69.0,994.0
13,9904.0,2648.0,212100.0,30459.0,15657.0,1856.0,31605.0,4546.0,175796.0,25000.0,12797.0,1761.0,91.0,994.0
14,1201.0,107.0,158608.0,21110.0,9392.0,0.0,18613.0,1816.0,130932.0,17110.0,7007.0,583.0,129.0,994.0
15,9031.0,3741.0,146047.0,19989.0,8138.0,0.0,36391.0,5392.0,125682.0,16757.0,7060.0,290.0,68.0,994.0
16,12084.0,2963.0,139585.0,17241.0,7240.0,0.0,28464.0,3813.0,111764.0,13289.0,6571.0,276.0,132.0,994.0
17,2495.0,34.0,67074.0,7635.0,2984.0,56.0,19976.0,1040.0,60712.0,6780.0,2484.0,198.0,64.0,996.0
18,10863.0,2501.0,60093.0,8791.0,5816.0,790.0,21138.0,4239.0,47453.0,6663.0,5294.0,1265.0,64.0,996.0
19,0.0,3312.0,84398.0,12643.0,9042.0,561.0,14842.0,4799.0,68977.0,9725.0,8002.0,718.0,119.0,996.0
