,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,2973.0,2608.0,79327.0,9793.0,4735.0,248.0,22798.0,5386.0,69958.0,8119.0,4131.0,606.0,67.0,729.0
1,35.0,1249.0,95428.0,11356.0,4559.0,269.0,8227.0,1849.0,83468.0,9481.0,5078.0,548.0,70.0,729.0
2,0.0,113.0,73965.0,9695.0,3076.0,0.0,3028.0,848.0,69267.0,8629.0,2646.0,248.0,49.0,729.0
3,4126.0,3634.0,75551.0,10174.0,5268.0,67.0,24627.0,6357.0,66052.0,8451.0,3840.0,555.0,76.0,729.0
4,2760.0,760.0,43602.0,5184.0,2098.0,0.0,19364.0,1782.0,39928.0,4411.0,1479.0,367.0,49.0,729.0
5,3535.0,4331.0,161702.0,21195.0,10970.0,0.0,18176.0,7918.0,138940.0,17528.0,9082.0,492.0,71.0,729.0
6,0.0,0.0,47422.0,5345.0,1456.0,0.0,10781.0,1277.0,43992.0,4526.0,1828.0,161.0,63.0,729.0
7,2678.0,1739.0,83931.0,11518.0,3715.0,315.0,26311.0,2390.0,74712.0,10201.0,3731.0,506.0,51.0,729.0
8,6316.0,866.0,113414.0,14269.0,5099.0,206.0,18843.0,2645.0,95615.0,12069.0,3919.0,189.0,73.0,729.0
9,335.0,561.0,101947.0,13306.0,5542.0,0.0,17707.0,2162.0,88143.0,11447.0,4858.0,613.0,116.0,729.0
10,3022.0,992.0,96131.0,11300.0,4022.0,831.0,10989.0,2207.0,87354.0,10122.0,4238.0,451.0,68.0,729.0
11,4456.0,1579.0,105271.0,12812.0,5693.0,1054.0,17420.0,6102.0,94796.0,11125.0,3848.0,749.0,68.0,729.0
12,1045.0,896.0,87246.0,9815.0,3414.0,0.0,11998.0,1670.0,77847.0,8828.0,2370.0,176.0,53.0,729.0
13,1713.0,481.0,102158.0,12827.0,4845.0,74.0,13367.0,1270.0,88433.0,11206.0,3815.0,201.0,69.0,729.0
14,3226.0,2733.0,72841.0,8418.0,2785.0,390.0,19967.0,4454.0,65693.0,7380.0,3093.0,387.0,65.0,729.0
15,2385.0,410.0,66435.0,8555.0,3718.0,182.0,13816.0,1553.0,58144.0,7247.0,3243.0,656.0,69.0,729.0
16,0.0,0.0,39057.0,4194.0,2450.0,0.0,5677.0,317.0,36669.0,3885.0,2794.0,117.0,49.0,729.0
17,0.0,1308.0,114865.0,15000.0,5023.0,0.0,12879.0,2340.0,98273.0,13096.0,4420.0,354.0,70.0,729.0
18,0.0,1128.0,99024.0,12936.0,5977.0,0.0,16727.0,2774.0,84690.0,11047.0,6035.0,345.0,74.0,730.0
19,0.0,0.0,72935.0,8592.0,3381.0,396.0,16094.0,2082.0,60083.0,6800.0,3475.0,449.0,70.0,730.0
20,3117.0,738.0,73971.0,10291.0,3391.0,338.0,12623.0,2254.0,63074.0,8708.0,3555.0,433.0,67.0,730.0
21,0.0,516.0,65545.0,7239.0,2064.0,83.0,7644.0,1870.0,61549.0,6663.0,1635.0,455.0,51.0,730.0
22,0.0,1406.0,118228.0,14387.0,5945.0,0.0,10781.0,1715.0,98169.0,11733.0,3899.0,193.0,111.0,730.0
23,0.0,656.0,55912.0,7426.0,2687.0,91.0,11181.0,2046.0,49166.0,6594.0,2181.0,226.0,52.0,730.0
24,2182.0,1202.0,43296.0,6127.0,2224.0,0.0,10808.0,1989.0,35855.0,4858.0,1703.0,63.0,51.0,730.0
25,0.0,1287.0,67059.0,8565.0,3543.0,504.0,12921.0,1959.0,55723.0,6948.0,2551.0,686.0,68.0,730.0
26,4024.0,831.0,100186.0,12950.0,4545.0,112.0,16211.0,1380.0,86059.0,11089.0,5114.0,780.0,68.0,730.0
27,643.0,688.0,92015.0,11218.0,3145.0,26.0,19517.0,3087.0,76482.0,9398.0,2551.0,701.0,87.0,730.0
28,1076.0,1680.0,139454.0,17469.0,6291.0,0.0,13173.0,1947.0,118064.0,14986.0,5365.0,471.0,87.0,730.0
29,11415.0,291.0,117546.0,14344.0,5364.0,447.0,27259.0,1589.0,99572.0,11950.0,4416.0,805.0,68.0,730.0
30,2985.0,1421.0,136573.0,16457.0,6982.0,776.0,13123.0,3441.0,118635.0,14449.0,5888.0,974.0,70.0,730.0
31,0.0,680.0,142374.0,17466.0,6285.0,787.0,11268.0,2232.0,126809.0,14939.0,5599.0,1273.0,68.0,730.0
32,12544.0,2566.0,106081.0,11950.0,4485.0,0.0,19831.0,3564.0,84088.0,9221.0,3433.0,302.0,152.0,731.0
33,9067.0,2441.0,169879.0,19806.0,5587.0,0.0,26261.0,3456.0,145898.0,17280.0,4545.0,395.0,75.0,731.0
34,0.0,1450.0,140222.0,16172.0,4240.0,121.0,15471.0,2614.0,125398.0,14116.0,3368.0,242.0,73.0,731.0
35,8554.0,2837.0,168350.0,20410.0,8587.0,318.0,19883.0,5139.0,145950.0,17580.0,7098.0,339.0,70.0,731.0
36,1501.0,875.0,117180.0,14579.0,4677.0,828.0,11967.0,2247.0,99018.0,12016.0,5133.0,702.0,71.0,731.0
37,6953.0,2892.0,144235.0,16126.0,5561.0,0.0,36464.0,3675.0,128985.0,13943.0,5617.0,351.0,69.0,731.0
38,0.0,1010.0,68448.0,8449.0,2834.0,395.0,7207.0,2359.0,58217.0,7113.0,2536.0,235.0,70.0,731.0
39,4600.0,1063.0,79402.0,8887.0,3933.0,529.0,21280.0,1403.0,69716.0,7820.0,3744.0,342.0,66.0,731.0
40,8115.0,4271.0,277315.0,32457.0,12139.0,0.0,20144.0,5628.0,240501.0,27879.0,10205.0,561.0,72.0,731.0
41,0.0,1963.0,200874.0,24483.0,8332.0,731.0,21963.0,4458.0,171707.0,20845.0,7327.0,672.0,70.0,731.0
42,0.0,3165.0,168271.0,19493.0,6343.0,508.0,19102.0,3065.0,135615.0,15779.0,5487.0,610.0,135.0,731.0
43,26951.0,6344.0,514789.0,66738.0,23144.0,0.0,61694.0,7457.0,430843.0,55977.0,22428.0,873.0,117.0,731.0
44,0.0,3261.0,60928.0,7634.0,2795.0,0.0,11560.0,4721.0,52756.0,6623.0,1781.0,126.0,68.0,731.0
45,0.0,1982.0,170113.0,18599.0,7222.0,0.0,8991.0,2192.0,147784.0,16230.0,5183.0,243.0,74.0,731.0
46,9351.0,2283.0,88091.0,11317.0,4413.0,0.0,16826.0,2602.0,76240.0,9677.0,3081.0,329.0,70.0,732.0
47,1613.0,645.0,86135.0,11151.0,5085.0,496.0,18134.0,1792.0,71264.0,9278.0,4423.0,472.0,68.0,732.0
48,525.0,1680.0,75170.0,10767.0,4083.0,0.0,24802.0,3305.0,64884.0,9111.0,3308.0,279.0,70.0,732.0
49,4122.0,819.0,59839.0,7689.0,3707.0,61.0,14870.0,1407.0,53597.0,6883.0,3367.0,311.0,49.0,732.0
50,1072.0,2417.0,55917.0,7960.0,5668.0,19.0,23779.0,3800.0,48030.0,6673.0,4869.0,475.0,71.0,732.0
51,3650.0,4477.0,180268.0,23224.0,9100.0,0.0,19270.0,4954.0,149487.0,18838.0,7497.0,190.0,88.0,732.0
52,1239.0,1088.0,72695.0,7643.0,2694.0,647.0,9810.0,1250.0,64140.0,6809.0,2433.0,685.0,72.0,732.0
53,0.0,3351.0,111263.0,12997.0,4860.0,151.0,18094.0,4414.0,88315.0,10359.0,5594.0,233.0,130.0,732.0
54,8789.0,2951.0,88382.0,12204.0,5216.0,1457.0,19227.0,3723.0,75292.0,10152.0,4215.0,1344.0,85.0,732.0
55,2085.0,3673.0,173466.0,22064.0,8146.0,279.0,16023.0,5776.0,141875.0,18720.0,5887.0,332.0,132.0,732.0
56,7532.0,509.0,89432.0,11033.0,4839.0,128.0,15000.0,1485.0,79338.0,9320.0,3141.0,260.0,69.0,732.0
57,5114.0,1213.0,68151.0,9417.0,3239.0,549.0,18434.0,1826.0,55414.0,7910.0,3494.0,426.0,68.0,732.0
58,8431.0,1099.0,74532.0,9152.0,4046.0,86.0,24032.0,2235.0,63557.0,7480.0,2425.0,1279.0,69.0,732.0
59,2702.0,1140.0,163090.0,19212.0,6672.0,196.0,24377.0,3524.0,134696.0,15924.0,5333.0,607.0,72.0,732.0
60,7150.0,2138.0,68494.0,9411.0,4903.0,0.0,19975.0,3264.0,52179.0,6732.0,2566.0,544.0,142.0,732.0
61,6089.0,1986.0,82947.0,11650.0,3394.0,215.0,25607.0,3202.0,71963.0,9345.0,2948.0,360.0,87.0,732.0
62,2478.0,1743.0,91932.0,9638.0,3793.0,169.0,16833.0,1934.0,79501.0,8636.0,3691.0,907.0,125.0,732.0
63,6132.0,1991.0,90422.0,11032.0,3641.0,284.0,10994.0,2328.0,76466.0,9254.0,3189.0,757.0,69.0,732.0
64,2412.0,220.0,146631.0,17811.0,6717.0,628.0,19819.0,2373.0,121335.0,14725.0,4653.0,742.0,90.0,732.0
65,4593.0,1485.0,63502.0,8060.0,3503.0,0.0,11626.0,2067.0,56341.0,7269.0,2579.0,854.0,52.0,732.0
66,1925.0,500.0,60038.0,7117.0,2760.0,239.0,11145.0,1717.0,52970.0,6310.0,1833.0,214.0,52.0,733.0
67,0.0,5405.0,98090.0,13359.0,7690.0,206.0,23547.0,6683.0,79316.0,10607.0,6089.0,1156.0,125.0,733.0
68,0.0,1410.0,103479.0,11419.0,3369.0,80.0,18490.0,1843.0,85560.0,9445.0,3161.0,444.0,69.0,733.0
69,8619.0,2048.0,119863.0,13961.0,5064.0,377.0,18083.0,3098.0,102481.0,11712.0,4664.0,759.0,51.0,733.0
70,6794.0,2247.0,229259.0,30705.0,13208.0,0.0,18765.0,4083.0,188493.0,24923.0,9506.0,251.0,150.0,733.0
71,5127.0,2351.0,126972.0,16287.0,5622.0,0.0,27039.0,3177.0,109587.0,14502.0,4921.0,372.0,51.0,733.0
72,1252.0,1945.0,52746.0,6095.0,3663.0,0.0,17048.0,3811.0,45190.0,5154.0,3148.0,326.0,52.0,733.0
73,8531.0,3825.0,129051.0,14721.0,3967.0,0.0,12746.0,6344.0,106985.0,11909.0,3029.0,970.0,72.0,733.0
74,1573.0,369.0,78168.0,10586.0,3090.0,819.0,20816.0,1653.0,64491.0,8416.0,2123.0,733.0,70.0,733.0
75,6170.0,931.0,140313.0,18098.0,9090.0,0.0,12645.0,1511.0,119456.0,15245.0,7035.0,340.0,71.0,733.0
76,1995.0,2180.0,73763.0,9516.0,3497.0,89.0,21971.0,3424.0,61631.0,7801.0,2517.0,563.0,71.0,733.0
77,1468.0,0.0,66976.0,8960.0,5349.0,0.0,11160.0,949.0,57090.0,7249.0,3895.0,92.0,69.0,734.0
78,599.0,909.0,103861.0,14432.0,5179.0,0.0,11488.0,2433.0,94017.0,12506.0,5264.0,514.0,70.0,734.0
79,0.0,2068.0,92996.0,12333.0,4135.0,489.0,17888.0,2515.0,76556.0,10617.0,3435.0,884.0,69.0,734.0
80,518.0,814.0,117228.0,14256.0,4479.0,606.0,11357.0,1560.0,100017.0,12433.0,4057.0,774.0,70.0,734.0
81,5717.0,2119.0,183182.0,20582.0,7200.0,0.0,20679.0,3544.0,156054.0,17423.0,6784.0,622.0,89.0,734.0
82,2961.0,113.0,146000.0,17979.0,7544.0,0.0,19586.0,2016.0,117786.0,14365.0,6120.0,1138.0,127.0,734.0
83,12366.0,3366.0,387486.0,51305.0,20553.0,0.0,21681.0,3899.0,314334.0,41593.0,18429.0,892.0,128.0,734.0
84,2500.0,2419.0,151313.0,21358.0,9633.0,0.0,9876.0,2702.0,127587.0,17155.0,7087.0,590.0,119.0,734.0
85,3279.0,1387.0,119623.0,15310.0,5033.0,676.0,16606.0,2577.0,104679.0,13271.0,4706.0,836.0,71.0,734.0
86,0.0,465.0,40477.0,4903.0,2116.0,0.0,13394.0,1243.0,36908.0,4412.0,1790.0,168.0,50.0,734.0
87,2702.0,1953.0,56360.0,6078.0,1099.0,396.0,21027.0,3040.0,53721.0,5467.0,1324.0,484.0,59.0,735.0
88,0.0,358.0,92281.0,10547.0,5477.0,0.0,13628.0,2096.0,74327.0,8767.0,4675.0,192.0,128.0,735.0
