,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,9850.0,4625.0,184334.0,23512.0,10370.0,0.0,24993.0,6485.0,169494.0,22347.0,10160.0,210.0,110.0,155.0
1,0.0,3022.0,161325.0,18410.0,6018.0,1343.0,14178.0,4411.0,148553.0,16437.0,5870.0,1400.0,125.0,155.0
2,4746.0,4331.0,139205.0,17305.0,5972.0,0.0,29446.0,5761.0,124068.0,15567.0,4618.0,490.0,92.0,155.0
3,17390.0,5545.0,408694.0,50395.0,20230.0,200.0,44376.0,4893.0,366326.0,45937.0,18748.0,2027.0,131.0,155.0
4,0.0,2873.0,67506.0,10139.0,4870.0,157.0,14989.0,5115.0,61815.0,8915.0,3649.0,798.0,67.0,155.0
5,1337.0,1956.0,76932.0,9356.0,3255.0,0.0,19098.0,2795.0,70022.0,8441.0,2878.0,324.0,65.0,155.0
6,15092.0,6760.0,211507.0,28514.0,10438.0,387.0,27221.0,11686.0,197326.0,26550.0,9025.0,988.0,69.0,157.0
7,4928.0,154.0,47952.0,6999.0,2571.0,529.0,14200.0,1003.0,43956.0,6428.0,3009.0,702.0,62.0,157.0
8,0.0,230.0,63976.0,9748.0,4342.0,64.0,15471.0,1545.0,60102.0,9066.0,4620.0,290.0,67.0,157.0
9,8392.0,2315.0,179192.0,20708.0,6058.0,116.0,28336.0,4479.0,163212.0,18841.0,4887.0,370.0,123.0,157.0
10,9507.0,5547.0,233559.0,28130.0,9056.0,0.0,30029.0,8423.0,212365.0,26139.0,8931.0,601.0,70.0,157.0
11,0.0,751.0,58450.0,8497.0,3636.0,264.0,8486.0,1974.0,54602.0,7746.0,3113.0,273.0,49.0,157.0
12,5481.0,1451.0,122823.0,15005.0,6149.0,210.0,17376.0,3053.0,116251.0,14649.0,5368.0,671.0,65.0,157.0
13,1400.0,495.0,71512.0,9535.0,4560.0,0.0,18228.0,1809.0,65332.0,8414.0,3826.0,157.0,66.0,158.0
14,1279.0,2272.0,62102.0,8679.0,6399.0,324.0,15257.0,4566.0,60079.0,7924.0,6028.0,669.0,66.0,158.0
15,617.0,1559.0,115729.0,13412.0,3252.0,254.0,16784.0,2188.0,99727.0,11409.0,4059.0,372.0,120.0,158.0
16,2179.0,1508.0,98739.0,15891.0,6361.0,921.0,15581.0,2805.0,92112.0,14485.0,6147.0,1009.0,85.0,158.0
17,6486.0,1191.0,145319.0,16845.0,5389.0,0.0,21034.0,1683.0,141020.0,15645.0,4835.0,970.0,67.0,158.0
18,90.0,0.0,78862.0,8501.0,3808.0,297.0,16693.0,870.0,73430.0,8034.0,3209.0,449.0,66.0,158.0
19,2902.0,356.0,154190.0,18493.0,6878.0,989.0,18006.0,3677.0,135874.0,16294.0,5398.0,1017.0,124.0,158.0
20,3178.0,1720.0,200991.0,22717.0,8028.0,0.0,20597.0,3047.0,174896.0,20490.0,7306.0,329.0,84.0,158.0
21,2701.0,2070.0,77957.0,9992.0,3455.0,390.0,9843.0,3131.0,73133.0,9283.0,3456.0,632.0,48.0,159.0
22,0.0,2479.0,133157.0,17102.0,7759.0,547.0,18864.0,3943.0,121794.0,15866.0,6318.0,713.0,66.0,159.0
23,0.0,0.0,30057.0,4339.0,1389.0,14.0,3356.0,1020.0,28664.0,3862.0,1177.0,190.0,46.0,159.0
24,13550.0,1827.0,182258.0,22112.0,7661.0,0.0,39254.0,2830.0,172315.0,20002.0,7974.0,624.0,68.0,159.0
25,1247.0,1279.0,57948.0,7252.0,2731.0,0.0,16516.0,2220.0,52323.0,6488.0,2168.0,293.0,67.0,159.0
26,1039.0,2469.0,114081.0,12962.0,4649.0,191.0,15644.0,4991.0,104670.0,11810.0,4827.0,326.0,68.0,159.0
27,8129.0,1800.0,140403.0,16752.0,5051.0,427.0,21029.0,2233.0,135649.0,15604.0,5674.0,524.0,49.0,159.0
28,845.0,4126.0,89270.0,11499.0,4714.0,417.0,8771.0,7454.0,82116.0,10591.0,5069.0,372.0,67.0,159.0
29,1031.0,75.0,75103.0,10704.0,5253.0,0.0,13158.0,1356.0,69064.0,9427.0,3803.0,255.0,110.0,161.0
30,0.0,729.0,50868.0,6354.0,2011.0,64.0,14933.0,1520.0,49056.0,5928.0,2209.0,143.0,46.0,161.0
31,6885.0,5823.0,110162.0,12688.0,6429.0,196.0,19667.0,8551.0,97709.0,11080.0,4958.0,173.0,68.0,161.0
32,0.0,222.0,62784.0,8373.0,4912.0,104.0,5322.0,1629.0,57455.0,7665.0,3681.0,618.0,50.0,161.0
33,1076.0,2166.0,141279.0,17600.0,4747.0,294.0,17176.0,5310.0,130612.0,16754.0,4687.0,725.0,66.0,162.0
34,0.0,0.0,35356.0,4115.0,1828.0,445.0,11926.0,956.0,34472.0,3975.0,1681.0,431.0,46.0,162.0
35,4405.0,1189.0,30459.0,4935.0,2892.0,0.0,16328.0,2298.0,29406.0,4666.0,1722.0,273.0,47.0,162.0
36,3372.0,61.0,165574.0,20259.0,5699.0,0.0,22583.0,1185.0,144517.0,16962.0,4975.0,688.0,128.0,162.0
37,0.0,3003.0,101052.0,12281.0,4418.0,0.0,18707.0,5106.0,89113.0,10744.0,4412.0,142.0,67.0,162.0
38,349.0,1087.0,70294.0,8066.0,3025.0,270.0,20055.0,2275.0,61258.0,7019.0,2969.0,343.0,67.0,162.0
39,4025.0,1342.0,121862.0,16245.0,7073.0,0.0,20527.0,3302.0,113970.0,14895.0,6427.0,121.0,66.0,162.0
40,1320.0,1256.0,68188.0,8350.0,2519.0,254.0,21466.0,2347.0,62093.0,7633.0,1691.0,630.0,66.0,162.0
41,1814.0,1614.0,38572.0,4617.0,2718.0,0.0,20704.0,2673.0,35267.0,4134.0,2206.0,276.0,65.0,162.0
42,3408.0,970.0,87915.0,12129.0,5036.0,0.0,14000.0,1022.0,79295.0,10840.0,3237.0,243.0,66.0,163.0
43,41599.0,19904.0,729612.0,98500.0,44322.0,1568.0,57262.0,29263.0,640131.0,86155.0,40514.0,2492.0,140.0,163.0
44,685.0,0.0,29581.0,3757.0,784.0,74.0,18783.0,1325.0,26328.0,3497.0,1056.0,132.0,47.0,163.0
45,1179.0,2753.0,65005.0,9619.0,5680.0,1.0,7993.0,4811.0,61202.0,8610.0,5069.0,295.0,61.0,163.0
46,0.0,506.0,33538.0,4297.0,1871.0,273.0,5268.0,1475.0,30691.0,3755.0,1382.0,521.0,63.0,163.0
47,2232.0,961.0,137311.0,15760.0,4115.0,0.0,17752.0,1676.0,124264.0,14614.0,3707.0,254.0,69.0,163.0
48,0.0,781.0,54524.0,5274.0,1274.0,101.0,11268.0,2044.0,52351.0,4775.0,1049.0,230.0,65.0,163.0
49,1963.0,648.0,69710.0,10017.0,5352.0,0.0,16630.0,2167.0,64504.0,8924.0,4499.0,207.0,49.0,164.0
50,0.0,1117.0,139382.0,16085.0,6641.0,89.0,22193.0,1303.0,129594.0,14501.0,6339.0,266.0,82.0,164.0
51,8861.0,2629.0,147631.0,17286.0,6080.0,142.0,29460.0,3445.0,127174.0,14997.0,5337.0,1024.0,128.0,164.0
52,0.0,678.0,44416.0,6166.0,2100.0,555.0,10205.0,2687.0,40284.0,5611.0,2386.0,633.0,66.0,164.0
53,3563.0,6345.0,132949.0,16009.0,4434.0,0.0,13486.0,10521.0,127565.0,15131.0,4023.0,610.0,50.0,165.0
54,651.0,1305.0,109258.0,12192.0,4014.0,243.0,14885.0,2736.0,99646.0,10916.0,3390.0,329.0,70.0,165.0
55,7330.0,1866.0,51298.0,6587.0,1336.0,58.0,19124.0,2273.0,45771.0,6297.0,1240.0,341.0,64.0,165.0
56,0.0,4431.0,113964.0,13632.0,3507.0,178.0,14939.0,8734.0,99595.0,11864.0,2921.0,470.0,71.0,165.0
57,21819.0,4159.0,303166.0,34914.0,10336.0,233.0,57003.0,7754.0,277959.0,31080.0,8259.0,282.0,70.0,165.0
58,0.0,4062.0,136449.0,14290.0,5570.0,0.0,4891.0,5610.0,126247.0,12847.0,5258.0,254.0,67.0,165.0
59,4440.0,247.0,84198.0,8953.0,3725.0,0.0,14472.0,947.0,82045.0,8296.0,3431.0,417.0,63.0,166.0
60,0.0,370.0,81070.0,9898.0,3777.0,46.0,12583.0,2281.0,77659.0,9298.0,3344.0,1000.0,69.0,166.0
61,1284.0,752.0,43004.0,5489.0,1957.0,574.0,9604.0,2123.0,39289.0,5139.0,1030.0,428.0,48.0,166.0
62,11477.0,2820.0,76793.0,10722.0,4124.0,0.0,20862.0,3639.0,72584.0,9571.0,4259.0,334.0,118.0,166.0
63,0.0,1900.0,97574.0,11099.0,3163.0,369.0,16150.0,2519.0,90013.0,10167.0,3004.0,355.0,67.0,166.0
64,0.0,4229.0,180060.0,23456.0,8276.0,377.0,15753.0,4585.0,162772.0,21062.0,9734.0,547.0,111.0,166.0
65,0.0,2247.0,55182.0,6079.0,1773.0,137.0,7144.0,4714.0,48681.0,5206.0,1477.0,338.0,64.0,166.0
66,4423.0,639.0,214756.0,25578.0,9014.0,531.0,16151.0,3743.0,189892.0,22904.0,8377.0,1194.0,127.0,166.0
67,0.0,0.0,26031.0,3633.0,1437.0,0.0,8025.0,1180.0,25325.0,3150.0,1220.0,84.0,46.0,172.0
68,585.0,1336.0,56134.0,8193.0,3612.0,876.0,7141.0,2230.0,50705.0,7255.0,2844.0,854.0,68.0,172.0
69,4869.0,1808.0,99488.0,13284.0,6496.0,0.0,30062.0,3194.0,94955.0,12590.0,6575.0,258.0,69.0,172.0
70,0.0,779.0,36347.0,4447.0,2239.0,68.0,9841.0,1736.0,34168.0,4096.0,1925.0,195.0,49.0,172.0
71,604.0,0.0,62730.0,7631.0,3261.0,0.0,13945.0,680.0,57846.0,7010.0,2417.0,277.0,48.0,172.0
72,4588.0,118.0,96915.0,11014.0,3377.0,161.0,15810.0,1676.0,91892.0,10087.0,3680.0,521.0,66.0,173.0
73,439.0,336.0,26994.0,3804.0,1898.0,77.0,12768.0,1025.0,27374.0,3298.0,1835.0,272.0,43.0,173.0
74,0.0,1759.0,68613.0,8379.0,2098.0,245.0,4030.0,2952.0,63638.0,8149.0,1998.0,609.0,49.0,173.0
75,9574.0,1275.0,224575.0,26754.0,9659.0,29.0,16362.0,1987.0,211148.0,25077.0,8064.0,1136.0,67.0,174.0
76,4338.0,2335.0,133589.0,15310.0,4188.0,0.0,24720.0,4226.0,123447.0,14229.0,3809.0,342.0,69.0,174.0
77,15486.0,1791.0,184881.0,22323.0,7737.0,375.0,26288.0,3167.0,168375.0,19691.0,6690.0,1329.0,113.0,174.0
78,1738.0,255.0,68825.0,7669.0,2439.0,82.0,23688.0,1010.0,65141.0,6613.0,1918.0,306.0,49.0,174.0
79,1990.0,1578.0,42632.0,5660.0,3153.0,0.0,14499.0,2963.0,41444.0,5336.0,2691.0,612.0,48.0,174.0
80,15122.0,5867.0,252756.0,34710.0,16332.0,854.0,40049.0,9535.0,217636.0,29541.0,14561.0,1223.0,123.0,174.0
81,0.0,0.0,109309.0,13745.0,4169.0,166.0,13695.0,352.0,100828.0,12614.0,3559.0,645.0,47.0,174.0
82,4685.0,2521.0,70947.0,7858.0,2451.0,251.0,11519.0,4925.0,65538.0,7294.0,1518.0,577.0,64.0,174.0
83,4376.0,0.0,78176.0,10267.0,4961.0,264.0,19582.0,892.0,73356.0,9550.0,4197.0,447.0,64.0,174.0
84,0.0,766.0,75443.0,8704.0,3734.0,79.0,7062.0,1912.0,68064.0,7982.0,3363.0,384.0,67.0,175.0
85,0.0,590.0,63150.0,7542.0,1389.0,326.0,18346.0,1041.0,59103.0,6301.0,2431.0,369.0,107.0,175.0
86,1114.0,4649.0,217877.0,22263.0,11452.0,740.0,25209.0,10020.0,196454.0,20304.0,11232.0,928.0,68.0,175.0
87,1245.0,1928.0,102776.0,11944.0,4749.0,0.0,11166.0,2545.0,98034.0,11274.0,4017.0,234.0,66.0,175.0
88,0.0,1409.0,81020.0,9503.0,4176.0,74.0,17482.0,2108.0,72044.0,8337.0,2824.0,592.0,67.0,175.0
89,0.0,924.0,88159.0,9949.0,3553.0,718.0,13463.0,1853.0,84252.0,9194.0,3627.0,496.0,47.0,175.0
90,6249.0,863.0,87856.0,10243.0,3482.0,185.0,20436.0,1644.0,80601.0,9538.0,3715.0,316.0,65.0,177.0
91,0.0,2016.0,155654.0,17356.0,5536.0,0.0,11446.0,3434.0,150682.0,16141.0,4490.0,618.0,79.0,177.0
92,5452.0,942.0,194153.0,21710.0,9527.0,89.0,20364.0,2061.0,173854.0,19368.0,8262.0,621.0,125.0,177.0
93,7319.0,1008.0,45183.0,5593.0,2261.0,95.0,19844.0,2278.0,39664.0,5085.0,2575.0,425.0,113.0,177.0
94,471.0,1688.0,117826.0,14380.0,2475.0,632.0,24158.0,2814.0,104955.0,13277.0,1867.0,818.0,66.0,177.0
95,0.0,0.0,53983.0,6382.0,2144.0,59.0,11588.0,1210.0,51409.0,6029.0,2201.0,176.0,63.0,177.0
96,1361.0,123.0,35310.0,4204.0,1066.0,76.0,7638.0,663.0,35688.0,3936.0,967.0,644.0,46.0,177.0
97,0.0,1229.0,55285.0,6376.0,1314.0,457.0,10919.0,2730.0,54146.0,5957.0,1716.0,507.0,63.0,177.0
98,7201.0,1208.0,102844.0,12319.0,4121.0,10.0,12437.0,2292.0,100757.0,11837.0,3781.0,509.0,52.0,179.0
99,0.0,991.0,31513.0,5274.0,2875.0,0.0,8942.0,2243.0,29810.0,4597.0,2621.0,127.0,48.0,179.0
100,987.0,585.0,70961.0,8630.0,3538.0,0.0,16868.0,1183.0,66862.0,8126.0,3751.0,222.0,50.0,179.0
101,1012.0,1079.0,67711.0,8354.0,3110.0,0.0,7168.0,2027.0,61190.0,7243.0,2694.0,103.0,78.0,179.0
102,8564.0,2515.0,237490.0,24836.0,10051.0,0.0,17173.0,5913.0,208331.0,21636.0,9921.0,680.0,126.0,179.0
103,0.0,3411.0,107464.0,13228.0,5813.0,309.0,4547.0,5912.0,98411.0,11693.0,5297.0,628.0,68.0,179.0
104,4928.0,1671.0,70112.0,7794.0,3921.0,342.0,27491.0,3980.0,64348.0,7171.0,2919.0,494.0,66.0,179.0
105,4878.0,2397.0,136424.0,19780.0,9782.0,887.0,18361.0,2522.0,119331.0,17276.0,8551.0,1347.0,126.0,179.0
106,0.0,517.0,39400.0,4677.0,1352.0,0.0,13004.0,1340.0,38646.0,4301.0,954.0,105.0,47.0,180.0
107,1580.0,2209.0,166126.0,21987.0,8784.0,11.0,11941.0,5900.0,153722.0,19663.0,8798.0,771.0,66.0,180.0
108,6331.0,516.0,178408.0,23038.0,8053.0,404.0,23835.0,1111.0,167341.0,21394.0,7819.0,914.0,68.0,180.0
109,2330.0,2548.0,84042.0,11190.0,3644.0,366.0,7702.0,4210.0,76149.0,10152.0,4575.0,553.0,67.0,181.0
110,0.0,445.0,98166.0,11659.0,2315.0,23.0,11220.0,1535.0,89709.0,10072.0,2154.0,394.0,107.0,181.0
111,4850.0,2020.0,80506.0,10660.0,6376.0,34.0,16547.0,4255.0,69437.0,9371.0,4903.0,536.0,108.0,181.0
112,0.0,1391.0,76026.0,8643.0,2969.0,444.0,13261.0,3883.0,72240.0,8388.0,2948.0,495.0,65.0,181.0
113,0.0,348.0,35313.0,3507.0,1868.0,0.0,6053.0,1580.0,34398.0,3784.0,1501.0,97.0,47.0,181.0
114,0.0,189.0,46025.0,5181.0,1936.0,456.0,12185.0,1356.0,45766.0,4760.0,1167.0,411.0,61.0,183.0
115,2018.0,1914.0,64465.0,8030.0,3331.0,0.0,12557.0,3885.0,58625.0,7143.0,2823.0,534.0,49.0,183.0
116,0.0,1939.0,90275.0,10991.0,3647.0,588.0,11472.0,3351.0,80420.0,9306.0,3709.0,758.0,68.0,183.0
117,21539.0,9618.0,258970.0,33506.0,10324.0,887.0,37377.0,15234.0,232624.0,29573.0,8861.0,784.0,110.0,183.0
118,0.0,0.0,136829.0,15588.0,5604.0,0.0,14762.0,1369.0,129332.0,14673.0,4585.0,239.0,49.0,183.0
119,951.0,1005.0,88134.0,11123.0,3802.0,0.0,10908.0,1838.0,82242.0,10254.0,3682.0,434.0,65.0,183.0
120,0.0,0.0,97338.0,12381.0,4980.0,11.0,7331.0,386.0,91247.0,11410.0,4553.0,442.0,67.0,183.0
121,0.0,1071.0,70700.0,8510.0,3725.0,893.0,18456.0,2745.0,66214.0,7698.0,4128.0,716.0,64.0,183.0
122,14067.0,4833.0,236990.0,26893.0,9198.0,496.0,40598.0,5940.0,219934.0,25425.0,9561.0,1768.0,68.0,184.0
123,6021.0,329.0,95092.0,11039.0,3783.0,0.0,13026.0,1434.0,87566.0,10105.0,3702.0,203.0,69.0,184.0
124,3488.0,318.0,142934.0,15750.0,4916.0,653.0,19371.0,2413.0,131159.0,14152.0,4411.0,655.0,51.0,184.0
125,5714.0,0.0,26083.0,2969.0,1318.0,303.0,14745.0,108.0,25770.0,2719.0,715.0,395.0,46.0,184.0
