,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,2419.0,2031.0,220653.0,27589.0,9567.0,815.0,30672.0,5697.0,185294.0,22583.0,8359.0,1504.0,130.0,154.0
1,7105.0,392.0,78229.0,8517.0,2997.0,0.0,13441.0,1773.0,64937.0,7218.0,2230.0,197.0,71.0,155.0
2,4589.0,1245.0,131215.0,17343.0,5302.0,0.0,22816.0,2187.0,112390.0,14495.0,5193.0,380.0,76.0,156.0
3,17088.0,4890.0,213600.0,27296.0,13883.0,1060.0,30735.0,6097.0,185878.0,24107.0,11586.0,921.0,114.0,156.0
4,45628.0,3482.0,522907.0,63070.0,27322.0,0.0,90817.0,5840.0,446535.0,53516.0,23015.0,1041.0,74.0,156.0
5,8949.0,579.0,266939.0,35232.0,9725.0,694.0,17638.0,3217.0,224819.0,29712.0,7190.0,678.0,125.0,156.0
6,8576.0,1783.0,75804.0,8758.0,2235.0,77.0,28339.0,2878.0,64975.0,7593.0,1797.0,576.0,74.0,157.0
7,11499.0,3935.0,138464.0,25077.0,12882.0,486.0,20991.0,6686.0,109507.0,20012.0,9460.0,780.0,92.0,157.0
8,1806.0,831.0,141651.0,16590.0,6239.0,0.0,18914.0,1872.0,123396.0,14000.0,4447.0,257.0,90.0,157.0
9,5372.0,3093.0,91548.0,12777.0,3759.0,0.0,16318.0,5804.0,74011.0,10495.0,3000.0,248.0,70.0,158.0
10,3300.0,1205.0,122373.0,15347.0,4310.0,0.0,14048.0,4446.0,105712.0,12376.0,4333.0,707.0,51.0,158.0
11,4779.0,0.0,102855.0,12038.0,4086.0,131.0,16392.0,1494.0,91327.0,10537.0,3900.0,316.0,77.0,158.0
12,0.0,1833.0,122871.0,17270.0,7225.0,695.0,12429.0,3793.0,100757.0,13894.0,6595.0,664.0,64.0,158.0
13,25264.0,3252.0,490948.0,71959.0,31810.0,1764.0,55454.0,4277.0,392598.0,57489.0,23165.0,2243.0,129.0,158.0
14,0.0,0.0,60789.0,8648.0,4490.0,308.0,10297.0,721.0,49509.0,7019.0,2843.0,585.0,71.0,159.0
15,12880.0,6864.0,219286.0,32761.0,13388.0,909.0,28439.0,9236.0,183181.0,27756.0,11162.0,1993.0,73.0,159.0
16,7544.0,5461.0,226090.0,31078.0,12912.0,0.0,23886.0,7697.0,186239.0,26054.0,9227.0,636.0,76.0,159.0
17,3841.0,2482.0,88015.0,11391.0,3813.0,540.0,15396.0,4422.0,70113.0,9071.0,4167.0,731.0,76.0,159.0
18,882.0,2147.0,77794.0,10096.0,4363.0,194.0,19662.0,3069.0,62865.0,7825.0,3888.0,554.0,128.0,159.0
