,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,6013.0,3965.0,141331.0,16645.0,10786.0,855.0,23599.0,4373.0,112059.0,13610.0,9279.0,931.0,130.0,154.0
1,4011.0,2738.0,126595.0,16392.0,4670.0,637.0,18514.0,4707.0,105573.0,12808.0,4146.0,392.0,71.0,154.0
2,2131.0,3105.0,111809.0,14655.0,6123.0,246.0,22637.0,4172.0,87891.0,12179.0,4664.0,369.0,125.0,154.0
3,0.0,1549.0,84251.0,9423.0,2908.0,0.0,16936.0,2949.0,72204.0,8546.0,2263.0,342.0,69.0,154.0
4,987.0,770.0,43312.0,7293.0,3885.0,365.0,13826.0,1366.0,38829.0,6495.0,3117.0,592.0,53.0,155.0
5,5775.0,650.0,104463.0,13151.0,4081.0,695.0,22461.0,1388.0,84441.0,10572.0,2862.0,685.0,128.0,155.0
6,5660.0,967.0,177448.0,23033.0,8089.0,272.0,21421.0,1661.0,140595.0,18587.0,7157.0,357.0,89.0,155.0
7,28335.0,5899.0,379744.0,42569.0,14712.0,0.0,72862.0,9692.0,304357.0,34253.0,11833.0,406.0,132.0,155.0
8,4852.0,5236.0,196730.0,22461.0,8316.0,0.0,26178.0,11906.0,161433.0,18043.0,7516.0,190.0,135.0,155.0
9,7013.0,1481.0,157170.0,17762.0,6666.0,778.0,18660.0,2781.0,136525.0,15493.0,5556.0,995.0,71.0,155.0
10,12506.0,3045.0,179962.0,24588.0,9022.0,623.0,22695.0,4112.0,150173.0,20335.0,7311.0,699.0,129.0,155.0
11,589.0,1197.0,65337.0,7839.0,2898.0,447.0,16821.0,1831.0,54805.0,6282.0,2346.0,497.0,70.0,155.0
12,0.0,0.0,130023.0,18651.0,10023.0,398.0,13602.0,858.0,108668.0,15499.0,8517.0,1507.0,88.0,155.0
13,271.0,5786.0,126728.0,19627.0,9843.0,378.0,30884.0,9329.0,103042.0,15350.0,8787.0,1568.0,141.0,156.0
14,7684.0,1066.0,126375.0,17223.0,4694.0,0.0,23643.0,2261.0,111476.0,14673.0,4402.0,744.0,87.0,156.0
15,0.0,1137.0,82089.0,9531.0,4277.0,64.0,8741.0,1836.0,69769.0,7940.0,3800.0,226.0,69.0,156.0
16,0.0,0.0,76479.0,10957.0,4517.0,0.0,7837.0,461.0,62996.0,8963.0,3229.0,183.0,71.0,156.0
17,26075.0,0.0,286609.0,35106.0,11805.0,0.0,46316.0,2903.0,238005.0,28839.0,7965.0,196.0,73.0,156.0
18,4913.0,6467.0,125436.0,15090.0,7442.0,517.0,19287.0,7859.0,105461.0,12056.0,6229.0,419.0,126.0,156.0
19,651.0,250.0,158247.0,19132.0,7881.0,68.0,12720.0,1726.0,134801.0,16105.0,6174.0,715.0,72.0,156.0
20,4987.0,730.0,120441.0,15367.0,5401.0,828.0,14784.0,2540.0,106847.0,13349.0,3733.0,983.0,87.0,156.0
21,0.0,1696.0,98130.0,12291.0,4244.0,571.0,7504.0,2659.0,85577.0,10681.0,4372.0,309.0,80.0,158.0
22,5418.0,1379.0,99839.0,13218.0,6425.0,1042.0,21014.0,2036.0,87718.0,11235.0,3931.0,738.0,90.0,158.0
23,6715.0,2065.0,83287.0,11142.0,5481.0,954.0,18423.0,2358.0,71044.0,9525.0,3806.0,524.0,83.0,158.0
24,4464.0,28.0,90554.0,13393.0,6217.0,0.0,13016.0,1602.0,79117.0,12034.0,5690.0,86.0,69.0,158.0
25,2968.0,1432.0,133354.0,16284.0,5078.0,432.0,11636.0,2105.0,115409.0,14187.0,4276.0,749.0,69.0,158.0
26,2451.0,2412.0,92871.0,11131.0,4050.0,85.0,11221.0,3969.0,77976.0,9782.0,3472.0,372.0,67.0,158.0
27,24972.0,7604.0,604311.0,79407.0,31156.0,187.0,44091.0,9154.0,456759.0,60212.0,24273.0,2188.0,149.0,158.0
28,5284.0,1874.0,123796.0,17276.0,7712.0,404.0,17986.0,4377.0,104745.0,14343.0,6351.0,554.0,70.0,158.0
29,11758.0,2405.0,88345.0,12667.0,4170.0,357.0,16337.0,2555.0,75595.0,10389.0,4631.0,608.0,68.0,159.0
30,5573.0,1486.0,110661.0,17283.0,7021.0,555.0,20088.0,3323.0,94355.0,14557.0,6705.0,1470.0,70.0,159.0
31,1179.0,3159.0,101601.0,13587.0,7841.0,0.0,23172.0,2836.0,84683.0,10697.0,5188.0,225.0,76.0,159.0
32,10310.0,2236.0,77095.0,11404.0,3897.0,448.0,17676.0,3280.0,64991.0,9412.0,3495.0,646.0,67.0,159.0
33,1366.0,3763.0,131199.0,18832.0,8617.0,0.0,14412.0,5255.0,110681.0,15902.0,8167.0,385.0,86.0,159.0
34,2191.0,1216.0,168573.0,21225.0,8038.0,0.0,15099.0,2270.0,140091.0,18433.0,6795.0,503.0,75.0,159.0
