,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,1311.0,961.0,43047.0,5794.0,2272.0,188.0,13775.0,1589.0,39184.0,4950.0,1680.0,416.0,66.0,154.0
1,4612.0,0.0,27264.0,3817.0,1140.0,0.0,8939.0,1372.0,24619.0,3312.0,1362.0,215.0,60.0,154.0
2,2423.0,2504.0,156110.0,19898.0,7923.0,691.0,7203.0,4363.0,136045.0,17747.0,5947.0,633.0,70.0,154.0
3,64438.0,10226.0,764722.0,90560.0,26894.0,0.0,95054.0,13686.0,542008.0,63967.0,18648.0,2150.0,197.0,155.0
4,4255.0,2640.0,163642.0,26201.0,12519.0,0.0,18709.0,4000.0,141559.0,22466.0,8247.0,179.0,75.0,155.0
5,0.0,853.0,168018.0,25751.0,12341.0,29.0,13652.0,1950.0,143799.0,20711.0,9946.0,454.0,112.0,156.0
6,3672.0,553.0,52844.0,7028.0,2307.0,399.0,12646.0,1560.0,44725.0,6167.0,1509.0,1020.0,53.0,156.0
7,106.0,959.0,95171.0,11687.0,4342.0,0.0,14496.0,2406.0,81306.0,9620.0,4006.0,272.0,78.0,157.0
8,3575.0,361.0,91392.0,12873.0,4237.0,483.0,13914.0,1455.0,78167.0,11116.0,4071.0,688.0,54.0,157.0
9,3603.0,2237.0,205293.0,25606.0,9302.0,0.0,16634.0,4636.0,172047.0,21357.0,7329.0,261.0,93.0,157.0
10,2712.0,4469.0,147010.0,18507.0,9214.0,281.0,12942.0,6179.0,123678.0,15747.0,7071.0,743.0,87.0,158.0
11,7983.0,6325.0,124043.0,16618.0,6067.0,181.0,21123.0,9604.0,107502.0,14132.0,5281.0,786.0,54.0,158.0
12,1661.0,711.0,115958.0,13064.0,4639.0,0.0,11979.0,2347.0,97931.0,11141.0,4516.0,222.0,126.0,158.0
13,0.0,964.0,119731.0,14961.0,4605.0,19.0,7026.0,2264.0,103103.0,12566.0,5030.0,607.0,70.0,159.0
14,0.0,449.0,95964.0,11701.0,4709.0,369.0,10785.0,2149.0,79144.0,9792.0,4333.0,551.0,52.0,159.0
15,0.0,2264.0,174464.0,25153.0,11079.0,342.0,20566.0,2350.0,142720.0,20191.0,8329.0,1030.0,95.0,160.0
16,0.0,744.0,31229.0,4823.0,2319.0,0.0,11649.0,1496.0,26829.0,3724.0,1802.0,12.0,62.0,161.0
17,7708.0,3115.0,133305.0,20088.0,12206.0,614.0,11457.0,5384.0,110961.0,16391.0,9304.0,1038.0,80.0,161.0
18,0.0,145.0,38945.0,5930.0,3285.0,0.0,7204.0,872.0,35110.0,5780.0,1955.0,385.0,50.0,162.0
19,1177.0,828.0,77387.0,9735.0,3394.0,275.0,12312.0,1974.0,68805.0,8044.0,2961.0,604.0,85.0,162.0
20,0.0,1019.0,111401.0,12860.0,3939.0,767.0,14583.0,2745.0,89703.0,10363.0,3330.0,1090.0,130.0,163.0
21,0.0,0.0,134902.0,17651.0,7635.0,0.0,16880.0,1460.0,111903.0,14856.0,7408.0,252.0,130.0,163.0
22,0.0,0.0,31532.0,4387.0,1671.0,362.0,14294.0,898.0,27587.0,3707.0,1290.0,464.0,49.0,164.0
23,7935.0,1999.0,177895.0,24980.0,12391.0,240.0,27915.0,4098.0,140815.0,19741.0,9539.0,524.0,129.0,164.0
24,19492.0,2258.0,106411.0,13750.0,8305.0,273.0,21360.0,3320.0,81133.0,9999.0,6363.0,541.0,142.0,164.0
25,8544.0,2442.0,128488.0,19764.0,11288.0,62.0,18930.0,5256.0,108351.0,17095.0,10754.0,364.0,74.0,164.0
26,14482.0,2805.0,112436.0,15788.0,7771.0,0.0,33560.0,4264.0,93881.0,13346.0,6645.0,566.0,73.0,164.0
27,10509.0,850.0,94066.0,11732.0,4970.0,14.0,22306.0,2384.0,75578.0,9851.0,3650.0,246.0,127.0,164.0
28,14540.0,2419.0,227218.0,26923.0,10086.0,249.0,24933.0,4950.0,191977.0,22262.0,9238.0,471.0,71.0,166.0
29,1191.0,2704.0,53630.0,7544.0,4043.0,0.0,21541.0,3360.0,41955.0,5217.0,2700.0,427.0,89.0,166.0
30,0.0,539.0,35318.0,4202.0,1756.0,175.0,5960.0,1813.0,30922.0,3635.0,1348.0,266.0,52.0,166.0
31,2405.0,1085.0,58734.0,7018.0,3142.0,411.0,12313.0,2178.0,49452.0,5633.0,1760.0,313.0,68.0,167.0
32,2606.0,2466.0,86609.0,12087.0,4848.0,0.0,14111.0,3230.0,68585.0,9851.0,4001.0,88.0,72.0,167.0
33,19080.0,2518.0,122438.0,17238.0,6973.0,1337.0,22453.0,2545.0,104450.0,14668.0,5948.0,1249.0,86.0,167.0
34,4429.0,4863.0,180364.0,23710.0,16335.0,320.0,16019.0,6779.0,148318.0,19604.0,12218.0,686.0,149.0,167.0
35,5269.0,3273.0,165904.0,23292.0,13004.0,559.0,19614.0,6006.0,136505.0,19145.0,10593.0,696.0,71.0,167.0
36,18533.0,4111.0,289115.0,42998.0,19973.0,0.0,41413.0,6014.0,239766.0,36004.0,17421.0,400.0,107.0,167.0
37,13288.0,4560.0,85863.0,11503.0,5041.0,176.0,33244.0,7456.0,71861.0,9219.0,3842.0,587.0,73.0,168.0
38,1102.0,3279.0,191424.0,24543.0,7685.0,0.0,17814.0,4297.0,149946.0,18762.0,6546.0,392.0,143.0,168.0
39,26264.0,5573.0,364977.0,48283.0,20190.0,0.0,57837.0,7106.0,303853.0,40066.0,17750.0,507.0,115.0,168.0
40,5394.0,2990.0,299009.0,35815.0,12280.0,942.0,14797.0,4553.0,259634.0,30609.0,12805.0,1577.0,89.0,169.0
41,237.0,48.0,109004.0,13488.0,4292.0,213.0,17232.0,2268.0,95248.0,11372.0,3450.0,449.0,126.0,169.0
42,2953.0,2771.0,193954.0,26900.0,11260.0,314.0,10334.0,4482.0,156920.0,21251.0,10233.0,810.0,74.0,169.0
43,3283.0,4219.0,114136.0,17624.0,12052.0,905.0,12682.0,6853.0,100219.0,15637.0,9927.0,1441.0,73.0,169.0
44,2355.0,1478.0,96006.0,13255.0,5634.0,155.0,16816.0,4826.0,79128.0,10507.0,4619.0,97.0,71.0,169.0
45,0.0,410.0,255667.0,36235.0,13071.0,0.0,13279.0,1929.0,212072.0,28986.0,10017.0,513.0,129.0,169.0
46,3420.0,5662.0,144006.0,18340.0,10812.0,0.0,20923.0,8844.0,119951.0,15244.0,10000.0,312.0,91.0,170.0
47,0.0,1232.0,48104.0,6817.0,4747.0,53.0,6550.0,1797.0,44107.0,6152.0,4126.0,601.0,61.0,171.0
48,10037.0,1623.0,189533.0,22343.0,7966.0,1122.0,19062.0,2604.0,158376.0,18979.0,6738.0,1538.0,111.0,171.0
49,8241.0,1543.0,87738.0,14488.0,9699.0,273.0,14288.0,4619.0,74410.0,12474.0,9769.0,475.0,70.0,172.0
50,7911.0,7410.0,156739.0,20154.0,8081.0,91.0,14975.0,11218.0,127835.0,16588.0,7995.0,705.0,115.0,172.0
51,7905.0,3839.0,290062.0,41075.0,17587.0,424.0,18781.0,6160.0,214347.0,29895.0,13864.0,1134.0,114.0,172.0
52,0.0,1.0,84126.0,10142.0,4068.0,333.0,8939.0,882.0,70891.0,8228.0,3149.0,757.0,54.0,173.0
53,4330.0,0.0,114338.0,16073.0,8425.0,53.0,13176.0,1264.0,101031.0,13889.0,8124.0,702.0,127.0,174.0
54,0.0,557.0,143541.0,19273.0,8729.0,0.0,15266.0,1222.0,116013.0,15327.0,7520.0,130.0,72.0,176.0
55,594.0,1950.0,91272.0,12815.0,6215.0,430.0,14563.0,2449.0,77155.0,10790.0,4842.0,833.0,70.0,176.0
56,0.0,1953.0,129354.0,19692.0,10690.0,0.0,14448.0,3252.0,113421.0,17089.0,9718.0,611.0,52.0,176.0
57,0.0,3203.0,281843.0,39842.0,18486.0,395.0,11258.0,5148.0,202749.0,28694.0,12386.0,1055.0,127.0,176.0
58,26720.0,3325.0,321864.0,45970.0,21077.0,103.0,59250.0,3993.0,269335.0,38058.0,14882.0,237.0,127.0,177.0
59,13897.0,3116.0,139800.0,18874.0,6819.0,0.0,17356.0,3486.0,113256.0,14828.0,5652.0,436.0,73.0,177.0
60,457.0,89.0,66091.0,8030.0,2844.0,29.0,11025.0,1032.0,56525.0,6638.0,2783.0,560.0,52.0,178.0
