,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,1432.0,4431.0,85894.0,10090.0,2681.0,264.0,11718.0,8175.0,81854.0,8266.0,2692.0,378.0,67.0,155.0
1,0.0,4049.0,229640.0,26201.0,8059.0,0.0,17940.0,5268.0,221150.0,24552.0,8336.0,596.0,88.0,155.0
2,3548.0,1082.0,61651.0,7842.0,3016.0,456.0,24828.0,2375.0,59507.0,7336.0,2208.0,443.0,64.0,155.0
3,177.0,1734.0,68742.0,7290.0,2236.0,106.0,9758.0,4041.0,67309.0,7007.0,1132.0,539.0,70.0,155.0
4,1111.0,2064.0,92198.0,11843.0,5170.0,170.0,20021.0,2863.0,84209.0,11005.0,5624.0,310.0,50.0,155.0
5,1675.0,672.0,87323.0,10165.0,3332.0,613.0,18247.0,2271.0,80093.0,9395.0,2656.0,580.0,49.0,155.0
6,13543.0,3699.0,176531.0,22384.0,7697.0,519.0,29881.0,4947.0,166795.0,20840.0,6505.0,681.0,66.0,156.0
7,0.0,1694.0,57739.0,7819.0,3730.0,670.0,13730.0,2538.0,53441.0,7029.0,3107.0,1047.0,64.0,156.0
8,0.0,1043.0,111553.0,13875.0,5855.0,167.0,19681.0,2240.0,94896.0,11072.0,4182.0,727.0,123.0,156.0
9,4110.0,463.0,40324.0,4303.0,1683.0,88.0,14473.0,1905.0,37038.0,3930.0,1110.0,120.0,49.0,156.0
10,0.0,1415.0,60266.0,8269.0,2993.0,196.0,12090.0,3178.0,57138.0,7943.0,2248.0,642.0,49.0,157.0
11,12473.0,3344.0,259257.0,33677.0,17680.0,1050.0,22547.0,4972.0,238083.0,31633.0,16685.0,872.0,120.0,157.0
12,5525.0,3306.0,126839.0,15082.0,4978.0,0.0,19731.0,4627.0,121732.0,14274.0,5225.0,507.0,48.0,157.0
13,0.0,2599.0,49365.0,6289.0,2688.0,106.0,17837.0,4063.0,44355.0,5630.0,2113.0,185.0,49.0,157.0
14,0.0,2643.0,93257.0,11110.0,4548.0,0.0,9292.0,3691.0,83646.0,9923.0,3901.0,251.0,106.0,157.0
15,16141.0,4980.0,90830.0,9397.0,2786.0,429.0,25335.0,4686.0,85454.0,8771.0,1828.0,485.0,119.0,157.0
16,1861.0,864.0,109888.0,11084.0,3043.0,0.0,12773.0,1438.0,98573.0,9355.0,2871.0,329.0,67.0,157.0
17,3736.0,1027.0,31797.0,3622.0,691.0,0.0,16773.0,2414.0,32458.0,3667.0,880.0,263.0,50.0,157.0
18,1926.0,151.0,92629.0,11141.0,3185.0,0.0,12393.0,1815.0,80491.0,9387.0,3064.0,323.0,66.0,158.0
19,0.0,602.0,87945.0,10496.0,3497.0,0.0,12560.0,2122.0,80846.0,9521.0,2524.0,208.0,50.0,158.0
20,1654.0,3695.0,128997.0,16351.0,5966.0,454.0,21888.0,5510.0,124025.0,15233.0,6007.0,506.0,68.0,158.0
21,4544.0,1764.0,132972.0,17826.0,9756.0,0.0,18740.0,3537.0,116723.0,16145.0,8433.0,539.0,123.0,160.0
22,0.0,542.0,58868.0,7477.0,3415.0,242.0,11550.0,1489.0,53097.0,6781.0,3147.0,218.0,49.0,160.0
23,0.0,1586.0,167161.0,16424.0,7252.0,395.0,15181.0,2556.0,148059.0,14183.0,5846.0,810.0,110.0,160.0
24,9397.0,1273.0,90755.0,10703.0,3469.0,0.0,19406.0,2843.0,84232.0,9960.0,3612.0,315.0,66.0,161.0
25,6940.0,1459.0,88355.0,11534.0,5862.0,0.0,15832.0,3229.0,73303.0,9724.0,4848.0,335.0,71.0,161.0
26,5216.0,2401.0,145904.0,16532.0,6586.0,0.0,16337.0,4755.0,133217.0,14873.0,5954.0,241.0,70.0,161.0
27,4277.0,1691.0,102370.0,11505.0,4286.0,94.0,21841.0,4568.0,97978.0,10500.0,3524.0,462.0,69.0,161.0
